stock  init_maturity_per_szgroup
0 0
0 0.0293
0 0.0759
0 0.1824
0 0.3775
0 0.6225
0 0.8176
0 0.9241
0 0.9707
0 0.989
0 0.9959
0 0.9985
0 0.9994
0 0.9998
1 0
1 0.7503
1 0.8909
1 0.9569
1 0.9837
1 0.9939
1 0.9978
1 0.9992
1 0.9997
1 0.9999
1 1
1 1
1 1
1 1
2 0
2 0.0041
2 0.011
2 0.0293
2 0.0759
2 0.1824
2 0.3775
2 0.6225
2 0.8176
2 0.9241
2 0.9707
2 0.989
2 0.9959
2 0.9985
3 0
3 0.1301
3 0.2891
3 0.525
3 0.7503
3 0.8909
3 0.9569
3 0.9837
3 0.9939
3 0.9978
3 0.9992
3 0.9997
3 0.9999
3 1
4 0
4 0.2891
4 0.525
4 0.7503
4 0.8909
4 0.9569
4 0.9837
4 0.9939
4 0.9978
4 0.9992
4 0.9997
4 0.9999
4 1
4 1
5 0
5 0.1545
5 0.3318
5 0.5744
5 0.7858
5 0.9089
5 0.9644
5 0.9866
5 0.995
5 0.9982
5 0.9993
5 0.9998
5 0.9999
5 1
6 0
6 0.0015
6 0.0041
6 0.011
6 0.0293
6 0.0759
6 0.1824
6 0.3775
6 0.6225
6 0.8176
6 0.9241
6 0.9707
6 0.989
6 0.9959
7 0
7 0.0015
7 0.0041
7 0.011
7 0.0293
7 0.0759
7 0.1824
7 0.3775
7 0.6225
7 0.8176
7 0.9241
7 0.9707
7 0.989
7 0.9959
8 0
8 0.0015
8 0.0041
8 0.011
8 0.0293
8 0.0759
8 0.1824
8 0.3775
8 0.6225
8 0.8176
8 0.9241
8 0.9707
8 0.989
8 0.9959
