stock  init_pops_per_szgroup
0 49.76189
0 43.26728
0 36.08044
0 33.26283
0 28.32744
0 24.44444
0 20.39775
0 14.80977
0 9.699913
0 8.263687
0 6.686676
0 3.070791
0 0.02379762
0 0
1 14736.14
1 14717.29
1 16669.35
1 16622.94
1 11333.79
1 13069.79
1 9253.536
1 0.07826843
1 0
1 0
1 0
1 0
1 0
1 0
2 3548.65
2 2884.3
2 1736.375
2 1393.826
2 1010.82
2 785.875
2 622.7943
2 486.2336
2 279.7172
2 187.7307
2 113.908
2 49.6093
2 14.0735
2 1.0883
3 3485.319
3 3418.634
3 2306.082
3 1744.052
3 1599.293
3 2043.23
3 581.9506
3 0
3 0
3 0
3 0
3 0
3 0
3 0
4 4503.615
4 3457.497
4 2662.214
4 1956.57
4 345.5417
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
5 4254.234
5 2543.79
5 1978.716
5 1873.076
5 999.3493
5 335.6346
5 135.1991
5 0
5 0
5 0
5 0
5 0
5 0
5 0
6 5.29845
6 4.716575
6 4.580225
6 4.549075
6 4.437125
6 4.2541
6 4.055975
6 3.775825
6 3.362975
6 2.817475
6 2.054475
6 1.00005
6 0.097625
6 0.00005
7 5.3025
7 4.72125
7 4.5811
7 4.557875
7 4.44905
7 4.257175
7 4.05385
7 3.770325
7 3.3724
7 2.813275
7 2.0366
7 0.99135
7 0.0932
7 0.00005
8 5.32
8 4.73275
8 4.569475
8 4.536875
8 4.449525
8 4.23815
8 4.057775
8 3.76295
8 3.363075
8 2.818575
8 2.208275
8 5.715775
8 5.119475
8 0.107325
