stock  init_weight_per_szgroup
0 0.0001870883
0 0.005247095
0 0.02472527
0 0.06864063
0 0.1471604
0 0.2705559
0 0.4491788
0 0.693447
0 1.013834
0 1.420864
0 1.925101
0 2.537149
0 3.26765
0 4.127273
1 0.00003681897
1 0.000477267
1 0.001570842
1 0.003442836
1 0.006186586
1 0.009878548
1 0.01458437
1 0.02036209
1 0.02726398
1 0.03533785
1 0.04462786
1 0.05517515
1 0.06701833
1 0.0801938
2 0.00007746197
2 0.002480557
2 0.01243222
2 0.035944
2 0.07943464
2 0.1496218
2 0.2534627
2 0.3981157
2 0.5909137
2 0.8393436
2 1.151031
2 1.533728
2 1.995302
2 2.543728
3 0.0001182715
3 0.003390741
3 0.01614187
3 0.04511454
3 0.09720961
3 0.1794395
3 0.2989038
3 0.4627734
3 0.6782805
3 0.9527102
3 1.293395
3 1.707709
3 2.203066
3 2.786915
4 0.0001401123
4 0.004273666
4 0.02093978
4 0.05964532
4 0.1303541
4 0.2433599
4 0.4092175
4 0.6386991
4 0.942764
4 1.332536
4 1.819284
4 2.414414
4 3.129448
4 3.976025
5 0.0002074774
5 0.005395911
5 0.02454969
5 0.06659584
5 0.1403326
5 0.2544705
5 0.4176528
5 0.6384691
5 0.9254635
5 1.287141
5 1.731973
5 2.268399
5 2.904833
5 3.649662
