pt_graph abundance
129 0.00000545
129 0.00001377
129 0.00001377
129 0.00001377
130 0.00000545
130 0.00001377
130 0.00001377
130 0.00001377
151 0.00000545
151 0.00001377
151 0.00001377
151 0.00001377
152 0.00000545
152 0.00001377
152 0.00001377
152 0.00001377
153 0.00000545
153 0.00001377
153 0.00001377
153 0.00001377
154 0.00000545
154 0.00001377
154 0.00001377
154 0.00001377
155 0.00000545
155 0.00001377
155 0.00001377
155 0.00001377
173 0.00000545
173 0.00001377
173 0.00001377
173 0.00001377
175 0.00000545
175 0.00001377
175 0.00001377
175 0.00001377
176 0.00000545
176 0.00001377
176 0.00001377
176 0.00001377
177 0.00000545
177 0.00001377
177 0.00001377
177 0.00001377
178 0.00000545
178 0.00001377
178 0.00001377
178 0.00001377
179 0.00000545
179 0.00001377
179 0.00001377
179 0.00001377
180 0.00000545
180 0.00001377
180 0.00001377
180 0.00001377
181 0.00000545
181 0.00001377
181 0.00001377
181 0.00001377
182 0.00000545
182 0.00001377
182 0.00001377
182 0.00001377
200 0.00000545
200 0.00001377
200 0.00001377
200 0.00001377
201 0.00000545
201 0.00001377
201 0.00001377
201 0.00001377
202 0.00000545
202 0.00001377
202 0.00001377
202 0.00001377
203 0.00000545
203 0.00001377
203 0.00001377
203 0.00001377
204 0.00000545
204 0.00001377
204 0.00001377
204 0.00001377
205 0.00000545
205 0.00001377
205 0.00001377
205 0.00001377
206 0.00000545
206 0.00001377
206 0.00001377
206 0.00001377
207 0.00000545
207 0.00001377
207 0.00001377
207 0.00001377
208 0.00000545
208 0.00001377
208 0.00001377
208 0.00001377
209 0.00000545
209 0.00001377
209 0.00001377
209 0.00001377
210 0.00000545
210 0.00001377
210 0.00001377
210 0.00001377
211 0.00000545
211 0.00001377
211 0.00001377
211 0.00001377
229 0.00000545
229 0.00001377
229 0.00001377
229 0.00001377
230 0.00000545
230 0.00001377
230 0.00001377
230 0.00001377
231 0.00000545
231 0.00001377
231 0.00001377
231 0.00001377
232 0.00000545
232 0.00001377
232 0.00001377
232 0.00001377
233 0.00000545
233 0.00001377
233 0.00001377
233 0.00001377
234 0.00000545
234 0.00001377
234 0.00001377
234 0.00001377
235 0.00000545
235 0.00001377
235 0.00001377
235 0.00001377
236 0.00000545
236 0.00001377
236 0.00001377
236 0.00001377
237 0.00000545
237 0.00001377
237 0.00001377
237 0.00001377
238 0.00000545
238 0.00001377
238 0.00001377
238 0.00001377
239 0.00000545
239 0.00001377
239 0.00001377
239 0.00001377
240 0.00000545
240 0.00001377
240 0.00001377
240 0.00001377
241 0.00000545
241 0.00001377
241 0.00001377
241 0.00001377
242 0.00000545
242 0.00001377
242 0.00001377
242 0.00001377
270 0.00000545
270 0.00001377
270 0.00001377
270 0.00001377
271 0.00000545
271 0.00001377
271 0.00001377
271 0.00001377
272 0.00000545
272 0.00001377
272 0.00001377
272 0.00001377
273 0.00000545
273 0.00001377
273 0.00001377
273 0.00001377
274 0.00000545
274 0.00001377
274 0.00001377
274 0.00001377
275 0.00000545
275 0.00001377
275 0.00001377
275 0.00001377
