pt_graph coeff
129 0.5
129 0.5
129 0.1
129 0.1
129 0.1
129 0.1
129 0.5
129 0.5
129 0.1
129 0.1
129 0.1
129 0.1
129 0.1
129 0.1
130 0.5
130 0.5
130 0.1
130 0.1
130 0.1
130 0.1
130 0.5
130 0.5
130 0.1
130 0.1
130 0.1
130 0.1
130 0.1
130 0.1
151 0.5
151 0.5
151 0.1
151 0.1
151 0.1
151 0.1
151 0.5
151 0.5
151 0.1
151 0.1
151 0.1
151 0.1
151 0.1
151 0.1
152 0.5
152 0.5
152 0.1
152 0.1
152 0.1
152 0.1
152 0.5
152 0.5
152 0.1
152 0.1
152 0.1
152 0.1
152 0.1
152 0.1
153 0.5
153 0.5
153 0.1
153 0.1
153 0.1
153 0.1
153 0.5
153 0.5
153 0.1
153 0.1
153 0.1
153 0.1
153 0.1
153 0.1
154 0.5
154 0.5
154 0.1
154 0.1
154 0.1
154 0.1
154 0.5
154 0.5
154 0.1
154 0.1
154 0.1
154 0.1
154 0.1
154 0.1
155 0.5
155 0.5
155 0.1
155 0.1
155 0.1
155 0.1
155 0.5
155 0.5
155 0.1
155 0.1
155 0.1
155 0.1
155 0.1
155 0.1
173 0.5
173 0.5
173 0.1
173 0.1
173 0.1
173 0.1
173 0.5
173 0.5
173 0.1
173 0.1
173 0.1
173 0.1
173 0.1
173 0.1
175 0.5
175 0.5
175 0.1
175 0.1
175 0.1
175 0.1
175 0.5
175 0.5
175 0.1
175 0.1
175 0.1
175 0.1
175 0.1
175 0.1
176 0.5
176 0.5
176 0.1
176 0.1
176 0.1
176 0.1
176 0.5
176 0.5
176 0.1
176 0.1
176 0.1
176 0.1
176 0.1
176 0.1
177 0.5
177 0.5
177 0.1
177 0.1
177 0.1
177 0.1
177 0.5
177 0.5
177 0.1
177 0.1
177 0.1
177 0.1
177 0.1
177 0.1
178 0.5
178 0.5
178 0.1
178 0.1
178 0.1
178 0.1
178 0.5
178 0.5
178 0.1
178 0.1
178 0.1
178 0.1
178 0.1
178 0.1
179 0.5
179 0.5
179 0.1
179 0.1
179 0.1
179 0.1
179 0.5
179 0.5
179 0.1
179 0.1
179 0.1
179 0.1
179 0.1
179 0.1
180 0.5
180 0.5
180 0.1
180 0.1
180 0.1
180 0.1
180 0.5
180 0.5
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
180 0.1
181 0.5
181 0.5
181 0.1
181 0.1
181 0.1
181 0.1
181 0.5
181 0.5
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
181 0.1
182 0.5
182 0.5
182 0.1
182 0.1
182 0.1
182 0.1
182 0.5
182 0.5
182 0.1
182 0.1
182 0.1
182 0.1
182 0.1
182 0.1
200 0.5
200 0.5
200 0.1
200 0.1
200 0.1
200 0.1
200 0.5
200 0.5
200 0.1
200 0.1
200 0.1
200 0.1
200 0.1
200 0.1
201 0.5
201 0.5
201 0.1
201 0.1
201 0.1
201 0.1
201 0.5
201 0.5
201 0.1
201 0.1
201 0.1
201 0.1
201 0.1
201 0.1
202 0.5
202 0.5
202 0.1
202 0.1
202 0.1
202 0.1
202 0.5
202 0.5
202 0.1
202 0.1
202 0.1
202 0.1
202 0.1
202 0.1
203 0.5
203 0.5
203 0.1
203 0.1
203 0.1
203 0.1
203 0.5
203 0.5
203 0.1
203 0.1
203 0.1
203 0.1
203 0.1
203 0.1
204 0.5
204 0.5
204 0.1
204 0.1
204 0.1
204 0.1
204 0.5
204 0.5
204 0.1
204 0.1
204 0.1
204 0.1
204 0.1
204 0.1
205 0.5
205 0.5
205 0.1
205 0.1
205 0.1
205 0.1
205 0.5
205 0.5
205 0.1
205 0.1
205 0.1
205 0.1
205 0.1
205 0.1
206 0.5
206 0.5
206 0.1
206 0.1
206 0.1
206 0.1
206 0.5
206 0.5
206 0.1
206 0.1
206 0.1
206 0.1
206 0.1
206 0.1
207 0.5
207 0.5
207 0.1
207 0.1
207 0.1
207 0.1
207 0.5
207 0.5
207 0.1
207 0.1
207 0.1
207 0.1
207 0.1
207 0.1
208 0.5
208 0.5
208 0.1
208 0.1
208 0.1
208 0.1
208 0.5
208 0.5
208 0.1
208 0.1
208 0.1
208 0.1
208 0.1
208 0.1
209 0.5
209 0.5
209 0.1
209 0.1
209 0.1
209 0.1
209 0.5
209 0.5
209 0.1
209 0.1
209 0.1
209 0.1
209 0.1
209 0.1
210 0.5
210 0.5
210 0.1
210 0.1
210 0.1
210 0.1
210 0.5
210 0.5
210 0.1
210 0.1
210 0.1
210 0.1
210 0.1
210 0.1
211 0.5
211 0.5
211 0.1
211 0.1
211 0.1
211 0.1
211 0.5
211 0.5
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
211 0.1
229 0.5
229 0.5
229 0.1
229 0.1
229 0.1
229 0.1
229 0.5
229 0.5
229 0.1
229 0.1
229 0.1
229 0.1
229 0.1
229 0.1
230 0.5
230 0.5
230 0.1
230 0.1
230 0.1
230 0.1
230 0.5
230 0.5
230 0.1
230 0.1
230 0.1
230 0.1
230 0.1
230 0.1
231 0.5
231 0.5
231 0.1
231 0.1
231 0.1
231 0.1
231 0.5
231 0.5
231 0.1
231 0.1
231 0.1
231 0.1
231 0.1
231 0.1
232 0.5
232 0.5
232 0.1
232 0.1
232 0.1
232 0.1
232 0.5
232 0.5
232 0.1
232 0.1
232 0.1
232 0.1
232 0.1
232 0.1
233 0.5
233 0.5
233 0.1
233 0.1
233 0.1
233 0.1
233 0.5
233 0.5
233 0.1
233 0.1
233 0.1
233 0.1
233 0.1
233 0.1
234 0.5
234 0.5
234 0.1
234 0.1
234 0.1
234 0.1
234 0.5
234 0.5
234 0.1
234 0.1
234 0.1
234 0.1
234 0.1
234 0.1
235 0.5
235 0.5
235 0.1
235 0.1
235 0.1
235 0.1
235 0.5
235 0.5
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
235 0.1
236 0.5
236 0.5
236 0.1
236 0.1
236 0.1
236 0.1
236 0.5
236 0.5
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
236 0.1
237 0.5
237 0.5
237 0.1
237 0.1
237 0.1
237 0.1
237 0.5
237 0.5
237 0.1
237 0.1
237 0.1
237 0.1
237 0.1
237 0.1
238 0.5
238 0.5
238 0.1
238 0.1
238 0.1
238 0.1
238 0.5
238 0.5
238 0.1
238 0.1
238 0.1
238 0.1
238 0.1
238 0.1
239 0.5
239 0.5
239 0.1
239 0.1
239 0.1
239 0.1
239 0.5
239 0.5
239 0.1
239 0.1
239 0.1
239 0.1
239 0.1
239 0.1
240 0.5
240 0.5
240 0.1
240 0.1
240 0.1
240 0.1
240 0.5
240 0.5
240 0.1
240 0.1
240 0.1
240 0.1
240 0.1
240 0.1
241 0.5
241 0.5
241 0.1
241 0.1
241 0.1
241 0.1
241 0.5
241 0.5
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
241 0.1
242 0.5
242 0.5
242 0.1
242 0.1
242 0.1
242 0.1
242 0.5
242 0.5
242 0.1
242 0.1
242 0.1
242 0.1
242 0.1
242 0.1
270 0.5
270 0.5
270 0.1
270 0.1
270 0.1
270 0.1
270 0.5
270 0.5
270 0.1
270 0.1
270 0.1
270 0.1
270 0.1
270 0.1
271 0.5
271 0.5
271 0.1
271 0.1
271 0.1
271 0.1
271 0.5
271 0.5
271 0.1
271 0.1
271 0.1
271 0.1
271 0.1
271 0.1
272 0.5
272 0.5
272 0.1
272 0.1
272 0.1
272 0.1
272 0.5
272 0.5
272 0.1
272 0.1
272 0.1
272 0.1
272 0.1
272 0.1
273 0.5
273 0.5
273 0.1
273 0.1
273 0.1
273 0.1
273 0.5
273 0.5
273 0.1
273 0.1
273 0.1
273 0.1
273 0.1
273 0.1
274 0.5
274 0.5
274 0.1
274 0.1
274 0.1
274 0.1
274 0.5
274 0.5
274 0.1
274 0.1
274 0.1
274 0.1
274 0.1
274 0.1
275 0.5
