pt_graph met
4201 0
4203 0
4266 0
4322 0
4323 0
4461 0
4547 0
4590 0
4633 0
4676 0
4716 0
4753 0
4755 0
4790 0
4794 0
4795 0
4833 0
4834 0
4835 0
4836 0
4873 0
4874 0
4875 0
4876 0
4919 0
4921 0
4922 0
4969 0
4970 0
4971 0
4972 0
4973 0
4974 0
5027 0
5028 0
5029 0
5030 0
5085 0
5086 0
5145 0
5198 0
5200 0
5247 0
5248 0
5249 0
5297 0
5345 0
5346 0
5395 0
5396 0
5445 0
5446 0
5447 0
5497 0
5498 0
5547 0
5549 0
5600 0
5601 0
5653 0
5705 0
5757 0
5810 0
5864 0
5916 0
5973 0
6029 0
6142 0
6199 0
6203 0
6204 0
6261 0
6322 0
6379 0
6382 0
6383 0
6444 0
6445 0
6502 0
6506 0
6567 0
6568 0
6569 0
6625 0
6629 0
6686 0
6689 0
6747 0
6748 0
6749 0
6806 0
6807 0
6808 0
6864 0
6865 0
6920 0
6923 0
6924 0
6982 0
6983 0
7042 0
7043 0
