pt_graph cpue_kghour
4203 1.14
4203 0
4203 2.61
4203 2.37
4203 2.88
4203 2.56
4203 0
4203 0
4203 0
4200 1.14
4200 0
4200 2.61
4200 2.37
4200 2.88
4200 2.56
4200 0
4200 0
4200 0
4266 1.14
4266 0
4266 2.61
4266 2.37
4266 2.88
4266 2.56
4266 0
4266 0
4266 0
4264 1.14
4264 0
4264 2.61
4264 2.37
4264 2.88
4264 2.56
4264 0
4264 0
4264 0
4265 1.14
4265 0
4265 2.61
4265 2.37
4265 2.88
4265 2.56
4265 0
4265 0
4265 0
4323 1.14
4323 0
4323 2.61
4323 2.37
4323 2.88
4323 2.56
4323 0
4323 0
4323 0
4321 1.14
4321 0
4321 2.61
4321 2.37
4321 2.88
4321 2.56
4321 0
4321 0
4321 0
4322 1.14
4322 0
4322 2.61
4322 2.37
4322 2.88
4322 2.56
4322 0
4322 0
4322 0
4418 1.14
4418 0
4418 2.61
4418 2.37
4418 2.88
4418 2.56
4418 0
4418 0
4418 0
4416 1.14
4416 0
4416 2.61
4416 2.37
4416 2.88
4416 2.56
4416 0
4416 0
4416 0
4504 1.14
4504 0
4504 2.61
4504 2.37
4504 2.88
4504 2.56
4504 0
4504 0
4504 0
4547 1.14
4547 0
4547 2.61
4547 2.37
4547 2.88
4547 2.56
4547 0
4547 0
4547 0
4590 1.14
4590 0
4590 2.61
4590 2.37
4590 2.88
4590 2.56
4590 0
4590 0
4590 0
4589 1.14
4589 0
4589 2.61
4589 2.37
4589 2.88
4589 2.56
4589 0
4589 0
4589 0
4587 1.14
4587 0
4587 2.61
4587 2.37
4587 2.88
4587 2.56
4587 0
4587 0
4587 0
4676 1.14
4676 0
4676 2.61
4676 2.37
4676 2.88
4676 2.56
4676 0
4676 0
4676 0
4716 1.14
4716 0
4716 2.61
4716 2.37
4716 2.88
4716 2.56
4716 0
4716 0
4716 0
4755 1.14
4755 0
4755 2.61
4755 2.37
4755 2.88
4755 2.56
4755 0
4755 0
4755 0
4753 1.14
4753 0
4753 2.61
4753 2.37
4753 2.88
4753 2.56
4753 0
4753 0
4753 0
4795 1.14
4795 0
4795 2.61
4795 2.37
4795 2.88
4795 2.56
4795 0
4795 0
4795 0
4794 1.14
4794 0
4794 2.61
4794 2.37
4794 2.88
4794 2.56
4794 0
4794 0
4794 0
4836 1.14
4836 0
4836 2.61
4836 2.37
4836 2.88
4836 2.56
4836 0
4836 0
4836 0
4834 1.14
4834 0
4834 2.61
4834 2.37
4834 2.88
4834 2.56
4834 0
4834 0
4834 0
4835 1.14
4835 0
4835 2.61
4835 2.37
4835 2.88
4835 2.56
4835 0
4835 0
4835 0
4876 1.14
4876 0
4876 2.61
4876 2.37
4876 2.88
4876 2.56
4876 0
4876 0
4876 0
4875 1.14
4875 0
4875 2.61
4875 2.37
4875 2.88
4875 2.56
4875 0
4875 0
4875 0
4874 1.14
4874 0
4874 2.61
4874 2.37
4874 2.88
4874 2.56
4874 0
4874 0
4874 0
4922 1.14
4922 0
4922 2.61
4922 2.37
4922 2.88
4922 2.56
4922 0
4922 0
4922 0
4921 1.14
4921 0
4921 2.61
4921 2.37
4921 2.88
4921 2.56
4921 0
4921 0
4921 0
4919 1.14
4919 0
4919 2.61
4919 2.37
4919 2.88
4919 2.56
4919 0
4919 0
4919 0
4915 1.14
4915 0
4915 2.61
4915 2.37
4915 2.88
4915 2.56
4915 0
4915 0
4915 0
4974 1.14
4974 0
4974 2.61
4974 2.37
4974 2.88
4974 2.56
4974 0
4974 0
4974 0
4973 1.14
4973 0
4973 2.61
4973 2.37
4973 2.88
4973 2.56
4973 0
4973 0
4973 0
4972 1.14
4972 0
4972 2.61
4972 2.37
4972 2.88
4972 2.56
4972 0
4972 0
4972 0
4970 1.14
4970 0
4970 2.61
4970 2.37
4970 2.88
4970 2.56
4970 0
4970 0
4970 0
5030 1.14
5030 0
5030 2.61
5030 2.37
5030 2.88
5030 2.56
5030 0
5030 0
5030 0
5029 1.14
5029 0
5029 2.61
5029 2.37
5029 2.88
5029 2.56
5029 0
5029 0
5029 0
5028 1.14
5028 0
5028 2.61
5028 2.37
5028 2.88
5028 2.56
5028 0
5028 0
5028 0
5086 1.14
5086 0
5086 2.61
5086 2.37
5086 2.88
5086 2.56
5086 0
5086 0
5086 0
5198 1.14
5198 0
5198 2.61
5198 2.37
5198 2.88
5198 2.56
5198 0
5198 0
5198 0
5248 1.14
5248 0
5248 2.61
5248 2.37
5248 2.88
5248 2.56
5248 0
5248 0
5248 0
5249 1.14
5249 0
5249 2.61
5249 2.37
5249 2.88
5249 2.56
5249 0
5249 0
5249 0
5297 1.14
5297 0
5297 2.61
5297 2.37
5297 2.88
5297 2.56
5297 0
5297 0
5297 0
5345 1.14
5345 0
5345 2.61
5345 2.37
5345 2.88
5345 2.56
5345 0
5345 0
5345 0
5346 1.14
5346 0
5346 2.61
5346 2.37
5346 2.88
5346 2.56
5346 0
5346 0
5346 0
5396 1.14
5396 0
5396 2.61
5396 2.37
5396 2.88
5396 2.56
5396 0
5396 0
5396 0
5392 1.14
5392 0
5392 2.61
5392 2.37
5392 2.88
5392 2.56
5392 0
5392 0
5392 0
5445 1.14
5445 0
5445 2.61
5445 2.37
5445 2.88
5445 2.56
5445 0
5445 0
5445 0
5651 1.14
5651 0
5651 2.61
5651 2.37
5651 2.88
5651 2.56
5651 0
5651 0
5651 0
5652 1.14
5652 0
5652 2.61
5652 2.37
5652 2.88
5652 2.56
5652 0
5652 0
5652 0
5653 1.14
5653 0
5653 2.61
5653 2.37
5653 2.88
5653 2.56
5653 0
5653 0
5653 0
5864 1.14
5864 0
5864 2.61
5864 2.37
5864 2.88
5864 2.56
5864 0
5864 0
5864 0
5862 1.14
5862 0
5862 2.61
5862 2.37
5862 2.88
5862 2.56
5862 0
5862 0
5862 0
6083 1.14
6083 0
6083 2.61
6083 2.37
6083 2.88
6083 2.56
6083 0
6083 0
6083 0
6142 1.14
6142 0
6142 2.61
6142 2.37
6142 2.88
6142 2.56
6142 0
6142 0
6142 0
6199 1.14
6199 0
6199 2.61
6199 2.37
6199 2.88
6199 2.56
6199 0
6199 0
6199 0
6264 1.14
6264 0
6264 2.61
6264 2.37
6264 2.88
6264 2.56
6264 0
6264 0
6264 0
6261 1.14
6261 0
6261 2.61
6261 2.37
6261 2.88
6261 2.56
6261 0
6261 0
6261 0
6323 1.14
6323 0
6323 2.61
6323 2.37
6323 2.88
6323 2.56
6323 0
6323 0
6323 0
6382 1.14
6382 0
6382 2.61
6382 2.37
6382 2.88
6382 2.56
6382 0
6382 0
6382 0
6445 1.14
6445 0
6445 2.61
6445 2.37
6445 2.88
6445 2.56
6445 0
6445 0
6445 0
6443 1.14
6443 0
6443 2.61
6443 2.37
6443 2.88
6443 2.56
6443 0
6443 0
6443 0
6507 1.14
6507 0
6507 2.61
6507 2.37
6507 2.88
6507 2.56
6507 0
6507 0
6507 0
6505 1.14
6505 0
6505 2.61
6505 2.37
6505 2.88
6505 2.56
6505 0
6505 0
6505 0
6504 1.14
6504 0
6504 2.61
6504 2.37
6504 2.88
6504 2.56
6504 0
6504 0
6504 0
6568 1.14
6568 0
6568 2.61
6568 2.37
6568 2.88
6568 2.56
6568 0
6568 0
6568 0
6569 1.14
6569 0
6569 2.61
6569 2.37
6569 2.88
6569 2.56
6569 0
6569 0
6569 0
6567 1.14
6567 0
6567 2.61
6567 2.37
6567 2.88
6567 2.56
6567 0
6567 0
6567 0
6629 1.14
6629 0
6629 2.61
6629 2.37
6629 2.88
6629 2.56
6629 0
6629 0
6629 0
6627 1.14
6627 0
6627 2.61
6627 2.37
6627 2.88
6627 2.56
6627 0
6627 0
6627 0
6625 1.14
6625 0
6625 2.61
6625 2.37
6625 2.88
6625 2.56
6625 0
6625 0
6625 0
6689 1.14
6689 0
6689 2.61
6689 2.37
6689 2.88
6689 2.56
6689 0
6689 0
6689 0
6748 1.14
6748 0
6748 2.61
6748 2.37
6748 2.88
6748 2.56
6748 0
6748 0
6748 0
6807 1.14
6807 0
6807 2.61
6807 2.37
6807 2.88
6807 2.56
6807 0
6807 0
6807 0
6808 1.14
6808 0
6808 2.61
6808 2.37
6808 2.88
6808 2.56
6808 0
6808 0
6808 0
6802 1.14
6802 0
6802 2.61
6802 2.37
6802 2.88
6802 2.56
6802 0
6802 0
6802 0
6866 1.14
6866 0
6866 2.61
6866 2.37
6866 2.88
6866 2.56
6866 0
6866 0
6866 0
6924 1.14
6924 0
6924 2.61
6924 2.37
6924 2.88
6924 2.56
6924 0
6924 0
6924 0
6983 1.14
6983 0
6983 2.61
6983 2.37
6983 2.88
6983 2.56
6983 0
6983 0
6983 0
6982 1.14
6982 0
6982 2.61
6982 2.37
6982 2.88
6982 2.56
6982 0
6982 0
6982 0
7043 1.14
7043 0
7043 2.61
7043 2.37
7043 2.88
7043 2.56
7043 0
7043 0
7043 0
7042 1.14
7042 0
7042 2.61
7042 2.37
7042 2.88
7042 2.56
7042 0
7042 0
7042 0
