pt_graph shape
3569 1
3569 1
3569 1
3569 1
3569 1
3569 1
3569 1
3569 1
3569 1
3642 1
3642 1
3642 1
3642 1
3642 1
3642 1
3642 1
3642 1
3642 1
3735 1
3735 1
3735 1
3735 1
3735 1
3735 1
3735 1
3735 1
3735 1
3732 1
3732 1
3732 1
3732 1
3732 1
3732 1
3732 1
3732 1
3732 1
3725 1
3725 1
3725 1
3725 1
3725 1
3725 1
3725 1
3725 1
3725 1
3812 1
3812 1
3812 1
3812 1
3812 1
3812 1
3812 1
3812 1
3812 1
3805 1
3805 1
3805 1
3805 1
3805 1
3805 1
3805 1
3805 1
3805 1
3799 1
3799 1
3799 1
3799 1
3799 1
3799 1
3799 1
3799 1
3799 1
3794 1
3794 1
3794 1
3794 1
3794 1
3794 1
3794 1
3794 1
3794 1
3947 1
3947 1
3947 1
3947 1
3947 1
3947 1
3947 1
3947 1
3947 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4076 1
4076 1
4076 1
4076 1
4076 1
4076 1
4076 1
4076 1
4076 1
4152 1
4152 1
4152 1
4152 1
4152 1
4152 1
4152 1
4152 1
4152 1
4211 1
4211 1
4211 1
4211 1
4211 1
4211 1
4211 1
4211 1
4211 1
4270 1
4270 1
4270 1
4270 1
4270 1
4270 1
4270 1
4270 1
4270 1
4265 1
4265 1
4265 1
4265 1
4265 1
4265 1
4265 1
4265 1
4265 1
4418 1
4418 1
4418 1
4418 1
4418 1
4418 1
4418 1
4418 1
4418 1
4462 1
4462 1
4462 1
4462 1
4462 1
4462 1
4462 1
4462 1
4462 1
4459 1
4459 1
4459 1
4459 1
4459 1
4459 1
4459 1
4459 1
4459 1
4505 1
4505 1
4505 1
4505 1
4505 1
4505 1
4505 1
4505 1
4505 1
4503 1
4503 1
4503 1
4503 1
4503 1
4503 1
4503 1
4503 1
4503 1
4553 1
4553 1
4553 1
4553 1
4553 1
4553 1
4553 1
4553 1
4553 1
4605 1
4605 1
4605 1
4605 1
4605 1
4605 1
4605 1
4605 1
4605 1
4690 1
4690 1
4690 1
4690 1
4690 1
4690 1
4690 1
4690 1
4690 1
4678 1
4678 1
4678 1
4678 1
4678 1
4678 1
4678 1
4678 1
4678 1
4676 1
4676 1
4676 1
4676 1
4676 1
4676 1
4676 1
4676 1
4676 1
4722 1
4722 1
4722 1
4722 1
4722 1
4722 1
4722 1
4722 1
4722 1
4752 1
4752 1
4752 1
4752 1
4752 1
4752 1
4752 1
4752 1
4752 1
4805 1
