pt_graph freq
3412 1
3493 1
3571 1
3644 1
3649 1
3650 1
3651 1
3725 1
3726 1
3728 1
3797 1
3800 1
3802 1
3805 1
3806 1
3870 1
3871 1
3872 1
3878 1
3882 1
3942 1
3943 1
3946 1
3949 1
3951 1
4010 1
4012 1
4013 1
4014 1
4016 1
4017 1
4018 1
4019 1
4022 1
4073 1
4074 1
4075 1
4076 1
4077 1
4078 1
4080 1
4081 1
4082 1
4084 1
4085 1
4086 1
4140 1
4141 1
4142 1
4143 1
4144 1
4145 1
4146 1
4149 1
4150 1
4203 1
4204 1
4205 1
4206 1
4207 1
4208 1
4210 1
4264 1
4265 1
4266 1
4269 1
4271 1
4272 1
4320 1
4322 1
4323 1
4324 1
4325 1
4375 1
4377 1
4416 1
4420 1
4422 1
4461 1
4462 1
4464 1
4504 1
4508 1
4510 1
4545 1
4546 1
4547 1
4549 1
4565 1
4566 1
4592 1
4593 1
4634 1
4636 1
4649 1
4674 1
4675 1
4679 1
4680 1
4690 1
4716 1
4717 1
4719 1
4720 1
4753 1
4755 1
4757 1
4758 1
4759 1
4766 1
4767 1
4768 1
4793 1
4794 1
4795 1
4797 1
4798 1
4799 1
4801 1
4803 1
4806 1
4808 1
4832 1
4834 1
4835 1
4836 1
4837 1
4838 1
4839 1
4841 1
4845 1
4873 1
4874 1
4875 1
4876 1
4877 1
4878 1
4879 1
4882 1
4883 1
4884 1
4885 1
4887 1
4918 1
4919 1
4921 1
4922 1
4923 1
4924 1
4925 1
4930 1
4932 1
4971 1
4972 1
4973 1
4974 1
4975 1
4976 1
4977 1
4978 1
4980 1
4981 1
4982 1
4983 1
4984 1
5027 1
5028 1
5029 1
5030 1
5031 1
5032 1
5033 1
5034 1
5036 1
5039 1
5040 1
5085 1
5086 1
5089 1
5090 1
5091 1
5092 1
5093 1
5094 1
5095 1
5096 1
5097 1
5144 1
5145 1
5147 1
5148 1
5149 1
5150 1
5151 1
5152 1
5198 1
5199 1
5200 1
5246 1
5247 1
5248 1
5249 1
5297 1
5345 1
5346 1
5393 1
5396 1
5442 1
5444 1
5447 1
5496 1
5497 1
5548 1
5549 1
5601 1
5652 1
5653 1
5704 1
5705 1
5810 1
5864 1
5917 1
5972 1
5973 1
6029 1
6085 1
6142 1
6203 1
6204 1
6260 1
6263 1
6264 1
6322 1
6323 1
6324 1
6383 1
6384 1
6444 1
6445 1
6500 1
6502 1
6503 1
6507 1
6567 1
6568 1
6627 1
6628 1
6688 1
6689 1
6743 1
6747 1
6749 1
6803 1
6808 1
6863 1
6865 1
6922 1
6923 1
6924 1
6981 1
6982 1
6983 1
7041 1
7042 1
7043 1
7104 1
7166 1
7226 1
7227 1
7228 1
7229 1
7290 1
7292 1
7353 1
7354 1
7355 1
7418 1
7419 1
7481 1
7482 1
7483 1
7542 1
7545 1
7546 1
7547 1
7609 1
7610 1
7611 1
7674 1
7675 1
7676 1
7727 1
7738 1
7740 1
7741 1
7801 1
7803 1
7805 1
7806 1
7858 1
7859 1
7865 1
7867 1
7868 1
7869 1
7870 1
7925 1
7926 1
7928 1
7929 1
7930 1
7931 1
7932 1
7933 1
7934 1
7990 1
7993 1
7994 1
7995 1
7996 1
7997 1
7998 1
8053 1
8058 1
8059 1
8060 1
8061 1
8115 1
8116 1
8117 1
8118 1
8119 1
8120 1
8121 1
8122 1
8123 1
8124 1
8180 1
8181 1
8182 1
8183 1
8184 1
8185 1
8186 1
8244 1
8245 1
8246 1
19516 1
