pt_graph shape
2687 1
2687 1
2687 1
2687 1
2687 1
2687 1
2687 1
2687 1
2687 1
2685 1
2685 1
2685 1
2685 1
2685 1
2685 1
2685 1
2685 1
2685 1
2772 1
2772 1
2772 1
2772 1
2772 1
2772 1
2772 1
2772 1
2772 1
2771 1
2771 1
2771 1
2771 1
2771 1
2771 1
2771 1
2771 1
2771 1
2945 1
2945 1
2945 1
2945 1
2945 1
2945 1
2945 1
2945 1
2945 1
2944 1
2944 1
2944 1
2944 1
2944 1
2944 1
2944 1
2944 1
2944 1
2943 1
2943 1
2943 1
2943 1
2943 1
2943 1
2943 1
2943 1
2943 1
3031 1
3031 1
3031 1
3031 1
3031 1
3031 1
3031 1
3031 1
3031 1
3030 1
3030 1
3030 1
3030 1
3030 1
3030 1
3030 1
3030 1
3030 1
3029 1
3029 1
3029 1
3029 1
3029 1
3029 1
3029 1
3029 1
3029 1
3028 1
3028 1
3028 1
3028 1
3028 1
3028 1
3028 1
3028 1
3028 1
3115 1
3115 1
3115 1
3115 1
3115 1
3115 1
3115 1
3115 1
3115 1
3114 1
3114 1
3114 1
3114 1
3114 1
3114 1
3114 1
3114 1
3114 1
3112 1
3112 1
3112 1
3112 1
3112 1
3112 1
3112 1
3112 1
3112 1
3277 1
3277 1
3277 1
3277 1
3277 1
3277 1
3277 1
3277 1
3277 1
3362 1
3362 1
3362 1
3362 1
3362 1
3362 1
3362 1
3362 1
3362 1
3360 1
3360 1
3360 1
3360 1
3360 1
3360 1
3360 1
3360 1
3360 1
3359 1
3359 1
3359 1
3359 1
3359 1
3359 1
3359 1
3359 1
3359 1
3358 1
3358 1
3358 1
3358 1
3358 1
3358 1
3358 1
3358 1
3358 1
3443 1
3443 1
3443 1
3443 1
3443 1
3443 1
3443 1
3443 1
3443 1
3442 1
3442 1
3442 1
3442 1
3442 1
3442 1
3442 1
3442 1
3442 1
3441 1
3441 1
3441 1
3441 1
3441 1
3441 1
3441 1
3441 1
3441 1
3440 1
3440 1
3440 1
3440 1
3440 1
3440 1
3440 1
3440 1
3440 1
3601 1
3601 1
3601 1
3601 1
3601 1
3601 1
3601 1
3601 1
3601 1
3574 1
3574 1
3574 1
3574 1
3574 1
3574 1
3574 1
3574 1
3574 1
3682 1
3682 1
3682 1
3682 1
3682 1
3682 1
3682 1
3682 1
3682 1
3680 1
3680 1
3680 1
3680 1
3680 1
3680 1
3680 1
3680 1
3680 1
3679 1
3679 1
3679 1
3679 1
3679 1
3679 1
3679 1
3679 1
3679 1
3676 1
3676 1
3676 1
3676 1
3676 1
3676 1
3676 1
3676 1
3676 1
3757 1
3757 1
3757 1
3757 1
3757 1
3757 1
3757 1
3757 1
3757 1
3756 1
3756 1
3756 1
3756 1
3756 1
3756 1
3756 1
3756 1
3756 1
3834 1
3834 1
3834 1
3834 1
3834 1
3834 1
3834 1
3834 1
3834 1
3833 1
3833 1
3833 1
3833 1
3833 1
3833 1
3833 1
3833 1
3833 1
3910 1
3910 1
3910 1
3910 1
3910 1
3910 1
3910 1
3910 1
3910 1
3908 1
3908 1
3908 1
3908 1
3908 1
3908 1
3908 1
3908 1
3908 1
3906 1
3906 1
3906 1
3906 1
3906 1
3906 1
3906 1
3906 1
3906 1
3905 1
3905 1
3905 1
3905 1
3905 1
3905 1
3905 1
3905 1
3905 1
3904 1
3904 1
3904 1
3904 1
3904 1
3904 1
3904 1
3904 1
3904 1
3977 1
3977 1
3977 1
3977 1
3977 1
3977 1
3977 1
3977 1
3977 1
3974 1
3974 1
3974 1
3974 1
3974 1
3974 1
3974 1
3974 1
3974 1
4042 1
4042 1
4042 1
4042 1
4042 1
4042 1
4042 1
4042 1
4042 1
4041 1
4041 1
4041 1
4041 1
4041 1
4041 1
4041 1
4041 1
4041 1
4112 1
4112 1
4112 1
4112 1
4112 1
4112 1
4112 1
4112 1
4112 1
4111 1
4111 1
4111 1
4111 1
4111 1
4111 1
4111 1
4111 1
4111 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4108 1
4108 1
4108 1
4108 1
4108 1
4108 1
4108 1
4108 1
4108 1
4107 1
4107 1
4107 1
4107 1
4107 1
4107 1
4107 1
4107 1
4107 1
4106 1
4106 1
4106 1
4106 1
4106 1
4106 1
4106 1
4106 1
4106 1
4176 1
4176 1
4176 1
4176 1
4176 1
4176 1
4176 1
4176 1
4176 1
4173 1
4173 1
4173 1
4173 1
4173 1
4173 1
4173 1
4173 1
4173 1
4170 1
4170 1
4170 1
4170 1
4170 1
4170 1
4170 1
4170 1
4170 1
4168 1
4168 1
4168 1
4168 1
4168 1
4168 1
4168 1
4168 1
4168 1
4236 1
4236 1
4236 1
4236 1
4236 1
4236 1
4236 1
4236 1
4236 1
4235 1
4235 1
4235 1
4235 1
4235 1
4235 1
4235 1
4235 1
4235 1
4234 1
4234 1
4234 1
4234 1
4234 1
4234 1
4234 1
4234 1
4234 1
4233 1
4233 1
4233 1
4233 1
4233 1
4233 1
4233 1
4233 1
4233 1
4232 1
4232 1
4232 1
4232 1
4232 1
4232 1
4232 1
4232 1
4232 1
4231 1
4231 1
4231 1
4231 1
4231 1
4231 1
4231 1
4231 1
4231 1
4230 1
4230 1
4230 1
4230 1
4230 1
4230 1
4230 1
4230 1
4230 1
4215 1
4215 1
4215 1
4215 1
4215 1
4215 1
4215 1
4215 1
4215 1
4295 1
4295 1
4295 1
4295 1
4295 1
4295 1
4295 1
4295 1
4295 1
4294 1
4294 1
4294 1
4294 1
4294 1
4294 1
4294 1
4294 1
4294 1
4293 1
4293 1
4293 1
4293 1
4293 1
4293 1
4293 1
4293 1
4293 1
4292 1
4292 1
4292 1
4292 1
4292 1
4292 1
4292 1
4292 1
4292 1
4291 1
4291 1
4291 1
4291 1
4291 1
4291 1
4291 1
4291 1
4291 1
4290 1
4290 1
4290 1
4290 1
4290 1
4290 1
4290 1
4290 1
4290 1
4349 1
4349 1
4349 1
4349 1
4349 1
4349 1
4349 1
4349 1
4349 1
4465 1
4465 1
4465 1
4465 1
4465 1
4465 1
4465 1
4465 1
4465 1
4507 1
4507 1
4507 1
4507 1
4507 1
4507 1
4507 1
4507 1
4507 1
4566 1
4566 1
4566 1
4566 1
4566 1
4566 1
4566 1
4566 1
4566 1
4649 1
4649 1
4649 1
4649 1
4649 1
4649 1
4649 1
4649 1
4649 1
4648 1
4648 1
4648 1
4648 1
4648 1
4648 1
4648 1
4648 1
4648 1
4679 1
4679 1
4679 1
4679 1
4679 1
4679 1
4679 1
4679 1
4679 1
4678 1
4678 1
4678 1
4678 1
4678 1
4678 1
4678 1
4678 1
4678 1
4718 1
4718 1
4718 1
4718 1
4718 1
4718 1
4718 1
4718 1
4718 1
4766 1
4766 1
4766 1
4766 1
4766 1
4766 1
4766 1
4766 1
4766 1
4760 1
4760 1
4760 1
4760 1
4760 1
4760 1
4760 1
4760 1
4760 1
4759 1
4759 1
4759 1
4759 1
4759 1
4759 1
4759 1
4759 1
4759 1
4757 1
4757 1
4757 1
4757 1
4757 1
4757 1
4757 1
4757 1
4757 1
4808 1
4808 1
4808 1
4808 1
4808 1
4808 1
4808 1
4808 1
4808 1
4802 1
4802 1
4802 1
4802 1
4802 1
4802 1
4802 1
4802 1
4802 1
4800 1
4800 1
4800 1
4800 1
4800 1
4800 1
4800 1
4800 1
4800 1
4799 1
4799 1
4799 1
4799 1
4799 1
4799 1
4799 1
4799 1
4799 1
4797 1
4797 1
4797 1
4797 1
4797 1
4797 1
4797 1
4797 1
4797 1
4842 1
4842 1
4842 1
4842 1
4842 1
4842 1
4842 1
4842 1
4842 1
4839 1
4839 1
4839 1
4839 1
4839 1
4839 1
4839 1
4839 1
4839 1
4887 1
4887 1
4887 1
4887 1
4887 1
4887 1
4887 1
4887 1
4887 1
4885 1
4885 1
4885 1
4885 1
4885 1
4885 1
4885 1
4885 1
4885 1
4881 1
4881 1
4881 1
4881 1
4881 1
4881 1
4881 1
4881 1
4881 1
4879 1
4879 1
4879 1
4879 1
4879 1
4879 1
4879 1
4879 1
4879 1
4877 1
4877 1
4877 1
4877 1
4877 1
4877 1
4877 1
4877 1
4877 1
4876 1
4876 1
4876 1
4876 1
4876 1
4876 1
4876 1
4876 1
4876 1
4875 1
4875 1
4875 1
4875 1
4875 1
4875 1
4875 1
4875 1
4875 1
4932 1
