pt_graph met
2602 0
2685 0
2687 0
2771 0
2772 0
2773 0
2854 0
2859 0
2943 0
2944 0
2946 0
3027 0
3028 0
3029 0
3114 0
3197 0
3199 0
3277 0
3278 0
3358 0
3359 0
3360 0
3440 0
3441 0
3443 0
3523 0
3601 0
3602 0
3652 0
3679 0
3680 0
3681 0
3728 0
3729 0
3756 0
3758 0
3804 0
3812 0
3833 0
3834 0
3835 0
3836 0
3877 0
3904 0
3905 0
3906 0
3907 0
3973 0
3974 0
3975 0
3976 0
3977 0
4040 0
4041 0
4042 0
4044 0
4105 0
4106 0
4107 0
4108 0
4110 0
4111 0
4167 0
4168 0
4170 0
4171 0
4172 0
4173 0
4176 0
4211 0
4230 0
4231 0
4232 0
4233 0
4234 0
4235 0
4236 0
4290 0
4291 0
4292 0
4293 0
4294 0
4295 0
4344 0
4349 0
4420 0
4423 0
4505 0
4506 0
4549 0
4566 0
4593 0
4594 0
4635 0
4636 0
4638 0
4649 0
4678 0
4680 0
4720 0
4757 0
4758 0
4759 0
4768 0
4797 0
4799 0
4808 0
4836 0
4837 0
4838 0
4841 0
4846 0
4875 0
4876 0
4877 0
4887 0
4921 0
4922 0
4923 0
4924 0
4925 0
4932 0
4972 0
4973 0
4974 0
4975 0
4976 0
4977 0
4982 0
4984 0
5029 0
5030 0
5031 0
5032 0
5033 0
5034 0
5038 0
5039 0
5089 0
5090 0
5091 0
5092 0
5093 0
5095 0
5096 0
5097 0
5147 0
5148 0
5149 0
5150 0
5151 0
5152 0
19516 0
