pt_graph freq
1460 1
1595 1
1673 1
1755 1
1843 1
1930 1
2014 1
2017 1
2100 1
2265 1
2346 1
2625 1
2685 1
2687 1
2690 1
2770 1
2772 1
2796 1
2797 1
2855 1
2856 1
2859 1
2883 1
2884 1
2943 1
2944 1
2945 1
2966 1
2967 1
2968 1
3027 1
3028 1
3029 1
3051 1
3052 1
3053 1
3054 1
3111 1
3114 1
3115 1
3137 1
3215 1
3217 1
3296 1
3297 1
3328 1
3358 1
3359 1
3360 1
3378 1
3379 1
3441 1
3443 1
3458 1
3459 1
3460 1
3461 1
3538 1
3539 1
3540 1
3572 1
3601 1
3603 1
3617 1
3618 1
3641 1
3644 1
3645 1
3679 1
3680 1
3682 1
3723 1
3725 1
3727 1
3732 1
3756 1
3757 1
3797 1
3798 1
3800 1
3801 1
3803 1
3804 1
3833 1
3834 1
3835 1
3846 1
3867 1
3870 1
3871 1
3872 1
3875 1
3876 1
3878 1
3904 1
3905 1
3906 1
3907 1
3908 1
3909 1
3918 1
3919 1
3941 1
3942 1
3943 1
3947 1
3949 1
3952 1
3972 1
3974 1
3975 1
3976 1
3977 1
3986 1
3987 1
3988 1
4010 1
4012 1
4013 1
4016 1
4018 1
4039 1
4041 1
4048 1
4050 1
4053 1
4054 1
4073 1
4074 1
4075 1
4076 1
4077 1
4078 1
4082 1
4084 1
4105 1
4106 1
4107 1
4108 1
4111 1
4112 1
4114 1
4115 1
4116 1
4118 1
4119 1
4140 1
4141 1
4142 1
4143 1
4144 1
4146 1
4148 1
4149 1
4170 1
4172 1
4173 1
4175 1
4177 1
4179 1
4180 1
4181 1
4182 1
4203 1
4204 1
4205 1
4206 1
4207 1
4208 1
4210 1
4211 1
4230 1
4231 1
4232 1
4233 1
4234 1
4236 1
4237 1
4238 1
4239 1
4240 1
4241 1
4264 1
4265 1
4266 1
4269 1
4270 1
4288 1
4290 1
4291 1
4292 1
4293 1
4294 1
4295 1
4296 1
4297 1
4298 1
4299 1
4300 1
4322 1
4323 1
4324 1
4325 1
4344 1
4349 1
4351 1
4352 1
4353 1
4373 1
4374 1
4375 1
4376 1
4377 1
4396 1
4416 1
4418 1
4421 1
4438 1
4461 1
4462 1
4463 1
4503 1
4504 1
4506 1
4508 1
4545 1
4547 1
4549 1
4550 1
4564 1
4566 1
4596 1
4597 1
4632 1
4636 1
4649 1
4675 1
4676 1
4678 1
4680 1
4681 1
4690 1
4716 1
4717 1
4719 1
4755 1
4757 1
4758 1
4760 1
4768 1
4793 1
4794 1
4795 1
4798 1
4799 1
4801 1
4802 1
4805 1
4806 1
4807 1
4808 1
4834 1
4835 1
4836 1
4837 1
4838 1
4841 1
4843 1
4847 1
4874 1
4875 1
4876 1
4877 1
4878 1
4880 1
4887 1
4916 1
4921 1
4922 1
4923 1
4924 1
4925 1
4926 1
4927 1
4928 1
4929 1
4930 1
4932 1
4971 1
4972 1
4973 1
4974 1
4975 1
4976 1
4977 1
4978 1
4980 1
4983 1
4984 1
5028 1
5029 1
5030 1
5031 1
5032 1
5033 1
5034 1
5035 1
5036 1
5037 1
5038 1
5039 1
5040 1
5086 1
5089 1
5090 1
5091 1
5092 1
5093 1
5094 1
5095 1
5096 1
5097 1
5145 1
5147 1
5148 1
5149 1
5150 1
5151 1
5152 1
19516 1
