pt_graph cpue_kghour
1393 1.08
1393 0
1393 2.89
1393 2.09
1393 2
1393 2.48
1393 0
1393 0
1393 0
1529 1.08
1529 0
1529 2.89
1529 2.09
1529 2
1529 2.48
1529 0
1529 0
1529 0
1527 1.08
1527 0
1527 2.89
1527 2.09
1527 2
1527 2.48
1527 0
1527 0
1527 0
1595 1.08
1595 0
1595 2.89
1595 2.09
1595 2
1595 2.48
1595 0
1595 0
1595 0
1674 1.08
1674 0
1674 2.89
1674 2.09
1674 2
1674 2.48
1674 0
1674 0
1674 0
1755 1.08
1755 0
1755 2.89
1755 2.09
1755 2
1755 2.48
1755 0
1755 0
1755 0
1754 1.08
1754 0
1754 2.89
1754 2.09
1754 2
1754 2.48
1754 0
1754 0
1754 0
1843 1.08
1843 0
1843 2.89
1843 2.09
1843 2
1843 2.48
1843 0
1843 0
1843 0
1837 1.08
1837 0
1837 2.89
1837 2.09
1837 2
1837 2.48
1837 0
1837 0
1837 0
2014 1.08
2014 0
2014 2.89
2014 2.09
2014 2
2014 2.48
2014 0
2014 0
2014 0
2100 1.08
2100 0
2100 2.89
2100 2.09
2100 2
2100 2.48
2100 0
2100 0
2100 0
2184 1.08
2184 0
2184 2.89
2184 2.09
2184 2
2184 2.48
2184 0
2184 0
2184 0
2346 1.08
2346 0
2346 2.89
2346 2.09
2346 2
2346 2.48
2346 0
2346 0
2346 0
2625 1.08
2625 0
2625 2.89
2625 2.09
2625 2
2625 2.48
2625 0
2625 0
2625 0
2603 1.08
2603 0
2603 2.89
2603 2.09
2603 2
2603 2.48
2603 0
2603 0
2603 0
2602 1.08
2602 0
2602 2.89
2602 2.09
2602 2
2602 2.48
2602 0
2602 0
2602 0
2711 1.08
2711 0
2711 2.89
2711 2.09
2711 2
2711 2.48
2711 0
2711 0
2711 0
2774 1.08
2774 0
2774 2.89
2774 2.09
2774 2
2774 2.48
2774 0
2774 0
2774 0
2772 1.08
2772 0
2772 2.89
2772 2.09
2772 2
2772 2.48
2772 0
2772 0
2772 0
2884 1.08
2884 0
2884 2.89
2884 2.09
2884 2
2884 2.48
2884 0
2884 0
2884 0
2881 1.08
2881 0
2881 2.89
2881 2.09
2881 2
2881 2.48
2881 0
2881 0
2881 0
2859 1.08
2859 0
2859 2.89
2859 2.09
2859 2
2859 2.48
2859 0
2859 0
2859 0
2967 1.08
2967 0
2967 2.89
2967 2.09
2967 2
2967 2.48
2967 0
2967 0
2967 0
2944 1.08
2944 0
2944 2.89
2944 2.09
2944 2
2944 2.48
2944 0
2944 0
2944 0
2943 1.08
2943 0
2943 2.89
2943 2.09
2943 2
2943 2.48
2943 0
2943 0
2943 0
3054 1.08
3054 0
3054 2.89
3054 2.09
3054 2
3054 2.48
3054 0
3054 0
3054 0
3052 1.08
3052 0
3052 2.89
3052 2.09
3052 2
3052 2.48
3052 0
3052 0
3052 0
3029 1.08
3029 0
3029 2.89
3029 2.09
3029 2
3029 2.48
3029 0
3029 0
3029 0
3028 1.08
3028 0
3028 2.89
3028 2.09
3028 2
3028 2.48
3028 0
3028 0
3028 0
3027 1.08
3027 0
3027 2.89
3027 2.09
3027 2
3027 2.48
3027 0
3027 0
3027 0
3217 1.08
3217 0
3217 2.89
3217 2.09
3217 2
3217 2.48
3217 0
3217 0
3217 0
3297 1.08
3297 0
3297 2.89
3297 2.09
3297 2
3297 2.48
3297 0
3297 0
3297 0
3276 1.08
3276 0
3276 2.89
3276 2.09
3276 2
3276 2.48
3276 0
3276 0
3276 0
3379 1.08
3379 0
3379 2.89
3379 2.09
3379 2
3379 2.48
3379 0
3379 0
3379 0
3378 1.08
3378 0
3378 2.89
3378 2.09
3378 2
3378 2.48
3378 0
3378 0
3378 0
3358 1.08
3358 0
3358 2.89
3358 2.09
3358 2
3358 2.48
3358 0
3358 0
3358 0
3461 1.08
3461 0
3461 2.89
3461 2.09
3461 2
3461 2.48
3461 0
3461 0
3461 0
3460 1.08
3460 0
3460 2.89
3460 2.09
3460 2
3460 2.48
3460 0
3460 0
3460 0
3459 1.08
3459 0
3459 2.89
3459 2.09
3459 2
3459 2.48
3459 0
3459 0
3459 0
3458 1.08
3458 0
3458 2.89
3458 2.09
3458 2
3458 2.48
3458 0
3458 0
3458 0
3442 1.08
3442 0
3442 2.89
3442 2.09
3442 2
3442 2.48
3442 0
3442 0
3442 0
3441 1.08
3441 0
3441 2.89
3441 2.09
3441 2
3441 2.48
3441 0
3441 0
3441 0
3540 1.08
3540 0
3540 2.89
3540 2.09
3540 2
3540 2.48
3540 0
3540 0
3540 0
3539 1.08
3539 0
3539 2.89
3539 2.09
3539 2
3539 2.48
3539 0
3539 0
3539 0
3538 1.08
3538 0
3538 2.89
3538 2.09
3538 2
3538 2.48
3538 0
3538 0
3538 0
3537 1.08
3537 0
3537 2.89
3537 2.09
3537 2
3537 2.48
3537 0
3537 0
3537 0
3618 1.08
3618 0
3618 2.89
3618 2.09
3618 2
3618 2.48
3618 0
3618 0
3618 0
3617 1.08
3617 0
3617 2.89
3617 2.09
3617 2
3617 2.48
3617 0
3617 0
3617 0
3603 1.08
3603 0
3603 2.89
3603 2.09
3603 2
3603 2.48
3603 0
3603 0
3603 0
3601 1.08
3601 0
3601 2.89
3601 2.09
3601 2
3601 2.48
3601 0
3601 0
3601 0
3680 1.08
3680 0
3680 2.89
3680 2.09
3680 2
3680 2.48
3680 0
3680 0
3680 0
3679 1.08
3679 0
3679 2.89
3679 2.09
3679 2
3679 2.48
3679 0
3679 0
3679 0
3646 1.08
3646 0
3646 2.89
3646 2.09
3646 2
3646 2.48
3646 0
3646 0
3646 0
3644 1.08
3644 0
3644 2.89
3644 2.09
3644 2
3644 2.48
3644 0
3644 0
3644 0
3757 1.08
3757 0
3757 2.89
3757 2.09
3757 2
3757 2.48
3757 0
3757 0
3757 0
3756 1.08
3756 0
3756 2.89
3756 2.09
3756 2
3756 2.48
3756 0
3756 0
3756 0
3733 1.08
3733 0
3733 2.89
3733 2.09
3733 2
3733 2.48
3733 0
3733 0
3733 0
3729 1.08
3729 0
3729 2.89
3729 2.09
3729 2
3729 2.48
3729 0
3729 0
3729 0
3728 1.08
3728 0
3728 2.89
3728 2.09
3728 2
3728 2.48
3728 0
3728 0
3728 0
3727 1.08
3727 0
3727 2.89
3727 2.09
3727 2
3727 2.48
3727 0
3727 0
3727 0
3720 1.08
3720 0
3720 2.89
3720 2.09
3720 2
3720 2.48
3720 0
3720 0
3720 0
3716 1.08
3716 0
3716 2.89
3716 2.09
3716 2
3716 2.48
3716 0
3716 0
3716 0
3847 1.08
3847 0
3847 2.89
3847 2.09
3847 2
3847 2.48
3847 0
3847 0
3847 0
3834 1.08
3834 0
3834 2.89
3834 2.09
3834 2
3834 2.48
3834 0
3834 0
3834 0
3833 1.08
3833 0
3833 2.89
3833 2.09
3833 2
3833 2.48
3833 0
3833 0
3833 0
3805 1.08
3805 0
3805 2.89
3805 2.09
3805 2
3805 2.48
3805 0
3805 0
3805 0
3802 1.08
3802 0
3802 2.89
3802 2.09
3802 2
3802 2.48
3802 0
3802 0
3802 0
3797 1.08
3797 0
3797 2.89
3797 2.09
3797 2
3797 2.48
3797 0
3797 0
3797 0
3919 1.08
3919 0
3919 2.89
3919 2.09
3919 2
3919 2.48
3919 0
3919 0
3919 0
3918 1.08
3918 0
3918 2.89
3918 2.09
3918 2
3918 2.48
3918 0
3918 0
3918 0
3907 1.08
3907 0
3907 2.89
3907 2.09
3907 2
3907 2.48
3907 0
3907 0
3907 0
3906 1.08
3906 0
3906 2.89
3906 2.09
3906 2
3906 2.48
3906 0
3906 0
3906 0
3905 1.08
3905 0
3905 2.89
3905 2.09
3905 2
3905 2.48
3905 0
3905 0
3905 0
3904 1.08
3904 0
3904 2.89
