pt_graph cpue_kghour
11149 1
11149 0
11149 2
11149 3.5
11149 2
11149 2
11149 0
11149 0
11149 0
11274 1
11274 0
11274 2
11274 3.5
11274 2
11274 2
11274 0
11274 0
11274 0
11275 1
11275 0
11275 2
11275 3.5
11275 2
11275 2
11275 0
11275 0
11275 0
11271 1
11271 0
11271 2
11271 3.5
11271 2
11271 2
11271 0
11271 0
11271 0
11270 1
11270 0
11270 2
11270 3.5
11270 2
11270 2
11270 0
11270 0
11270 0
11399 1
11399 0
11399 2
11399 3.5
11399 2
11399 2
11399 0
11399 0
11399 0
11400 1
11400 0
11400 2
11400 3.5
11400 2
11400 2
11400 0
11400 0
11400 0
11397 1
11397 0
11397 2
11397 3.5
11397 2
11397 2
11397 0
11397 0
11397 0
11398 1
11398 0
11398 2
11398 3.5
11398 2
11398 2
11398 0
11398 0
11398 0
11395 1
11395 0
11395 2
11395 3.5
11395 2
11395 2
11395 0
11395 0
11395 0
11396 1
11396 0
11396 2
11396 3.5
11396 2
11396 2
11396 0
11396 0
11396 0
11391 1
11391 0
11391 2
11391 3.5
11391 2
11391 2
11391 0
11391 0
11391 0
11393 1
11393 0
11393 2
11393 3.5
11393 2
11393 2
11393 0
11393 0
11393 0
11536 1
11536 0
11536 2
11536 3.5
11536 2
11536 2
11536 0
11536 0
11536 0
11532 1
11532 0
11532 2
11532 3.5
11532 2
11532 2
11532 0
11532 0
11532 0
11533 1
11533 0
11533 2
11533 3.5
11533 2
11533 2
11533 0
11533 0
11533 0
11528 1
11528 0
11528 2
11528 3.5
11528 2
11528 2
11528 0
11528 0
11528 0
11529 1
11529 0
11529 2
11529 3.5
11529 2
11529 2
11529 0
11529 0
11529 0
11527 1
11527 0
11527 2
11527 3.5
11527 2
11527 2
11527 0
11527 0
11527 0
11522 1
11522 0
11522 2
11522 3.5
11522 2
11522 2
11522 0
11522 0
11522 0
11520 1
11520 0
11520 2
11520 3.5
11520 2
11520 2
11520 0
11520 0
11520 0
11521 1
11521 0
11521 2
11521 3.5
11521 2
11521 2
11521 0
11521 0
11521 0
11664 1
11664 0
11664 2
11664 3.5
11664 2
11664 2
11664 0
11664 0
11664 0
11661 1
11661 0
11661 2
11661 3.5
11661 2
11661 2
11661 0
11661 0
11661 0
11657 1
11657 0
11657 2
11657 3.5
11657 2
11657 2
11657 0
11657 0
11657 0
11655 1
11655 0
11655 2
11655 3.5
11655 2
11655 2
11655 0
11655 0
11655 0
11656 1
11656 0
11656 2
11656 3.5
11656 2
11656 2
11656 0
11656 0
11656 0
11648 1
11648 0
11648 2
11648 3.5
11648 2
11648 2
11648 0
11648 0
11648 0
11649 1
11649 0
11649 2
11649 3.5
11649 2
11649 2
11649 0
11649 0
11649 0
11645 1
11645 0
11645 2
11645 3.5
11645 2
11645 2
11645 0
11645 0
11645 0
11646 1
11646 0
11646 2
11646 3.5
11646 2
11646 2
11646 0
11646 0
11646 0
11647 1
11647 0
11647 2
11647 3.5
11647 2
11647 2
11647 0
11647 0
11647 0
11826 1
11826 0
11826 2
11826 3.5
11826 2
11826 2
11826 0
11826 0
11826 0
11797 1
11797 0
11797 2
11797 3.5
11797 2
11797 2
11797 0
11797 0
11797 0
11789 1
11789 0
11789 2
11789 3.5
11789 2
11789 2
11789 0
11789 0
11789 0
11787 1
11787 0
11787 2
11787 3.5
11787 2
11787 2
11787 0
11787 0
11787 0
11785 1
11785 0
11785 2
11785 3.5
11785 2
11785 2
11785 0
11785 0
11785 0
11786 1
11786 0
11786 2
11786 3.5
11786 2
11786 2
11786 0
11786 0
11786 0
11782 1
11782 0
11782 2
11782 3.5
11782 2
11782 2
11782 0
11782 0
11782 0
11783 1
11783 0
11783 2
11783 3.5
11783 2
11783 2
11783 0
11783 0
11783 0
11784 1
11784 0
11784 2
11784 3.5
11784 2
11784 2
11784 0
11784 0
11784 0
11779 1
11779 0
11779 2
11779 3.5
11779 2
11779 2
11779 0
11779 0
11779 0
11780 1
11780 0
11780 2
11780 3.5
11780 2
11780 2
11780 0
11780 0
11780 0
11781 1
11781 0
11781 2
11781 3.5
11781 2
11781 2
11781 0
11781 0
11781 0
11776 1
11776 0
11776 2
11776 3.5
11776 2
11776 2
11776 0
11776 0
11776 0
11777 1
11777 0
11777 2
11777 3.5
11777 2
11777 2
11777 0
11777 0
11777 0
11926 1
11926 0
11926 2
11926 3.5
11926 2
11926 2
11926 0
11926 0
11926 0
11925 1
11925 0
11925 2
11925 3.5
11925 2
11925 2
11925 0
11925 0
11925 0
11919 1
11919 0
11919 2
11919 3.5
11919 2
11919 2
11919 0
11919 0
11919 0
11920 1
11920 0
11920 2
11920 3.5
11920 2
11920 2
11920 0
11920 0
11920 0
11917 1
11917 0
11917 2
11917 3.5
11917 2
11917 2
11917 0
11917 0
11917 0
11918 1
11918 0
11918 2
11918 3.5
11918 2
11918 2
11918 0
11918 0
11918 0
11915 1
11915 0
11915 2
11915 3.5
11915 2
11915 2
11915 0
11915 0
11915 0
11916 1
11916 0
11916 2
11916 3.5
11916 2
11916 2
11916 0
11916 0
11916 0
11911 1
11911 0
11911 2
11911 3.5
11911 2
11911 2
11911 0
11911 0
11911 0
11912 1
11912 0
11912 2
11912 3.5
11912 2
11912 2
