pt_graph shape
11043 1
11043 1
11043 1
11043 1
11043 1
11043 1
11043 1
11043 1
11043 1
11157 1
11157 1
11157 1
11157 1
11157 1
11157 1
11157 1
11157 1
11157 1
11404 1
11404 1
11404 1
11404 1
11404 1
11404 1
11404 1
11404 1
11404 1
11401 1
11401 1
11401 1
11401 1
11401 1
11401 1
11401 1
11401 1
11401 1
11402 1
11402 1
11402 1
11402 1
11402 1
11402 1
11402 1
11402 1
11402 1
11538 1
11538 1
11538 1
11538 1
11538 1
11538 1
11538 1
11538 1
11538 1
11536 1
11536 1
11536 1
11536 1
11536 1
11536 1
11536 1
11536 1
11536 1
11534 1
11534 1
11534 1
11534 1
11534 1
11534 1
11534 1
11534 1
11534 1
11533 1
11533 1
11533 1
11533 1
11533 1
11533 1
11533 1
11533 1
11533 1
11664 1
11664 1
11664 1
11664 1
11664 1
11664 1
11664 1
11664 1
11664 1
11661 1
11661 1
11661 1
11661 1
11661 1
11661 1
11661 1
11661 1
11661 1
11660 1
11660 1
11660 1
11660 1
11660 1
11660 1
11660 1
11660 1
11660 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11793 1
11793 1
11793 1
11793 1
11793 1
11793 1
11793 1
11793 1
11793 1
11791 1
11791 1
11791 1
11791 1
11791 1
11791 1
11791 1
11791 1
11791 1
11792 1
11792 1
11792 1
11792 1
11792 1
11792 1
11792 1
11792 1
11792 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
11923 1
11923 1
11923 1
11923 1
11923 1
11923 1
11923 1
11923 1
11923 1
11924 1
11924 1
11924 1
11924 1
11924 1
11924 1
11924 1
11924 1
11924 1
11921 1
11921 1
11921 1
11921 1
11921 1
11921 1
11921 1
11921 1
11921 1
11922 1
11922 1
11922 1
11922 1
11922 1
11922 1
11922 1
11922 1
11922 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12047 1
12047 1
12047 1
12047 1
12047 1
12047 1
12047 1
12047 1
12047 1
12048 1
12048 1
12048 1
12048 1
12048 1
12048 1
12048 1
12048 1
12048 1
12046 1
12046 1
12046 1
12046 1
12046 1
12046 1
12046 1
12046 1
12046 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12171 1
12171 1
12171 1
12171 1
12171 1
12171 1
12171 1
12171 1
12171 1
12169 1
12169 1
12169 1
12169 1
12169 1
12169 1
12169 1
12169 1
12169 1
12170 1
12170 1
12170 1
12170 1
12170 1
12170 1
12170 1
12170 1
12170 1
12168 1
12168 1
12168 1
12168 1
12168 1
12168 1
12168 1
12168 1
12168 1
12302 1
12302 1
12302 1
12302 1
12302 1
12302 1
12302 1
12302 1
12302 1
12297 1
12297 1
12297 1
12297 1
12297 1
12297 1
12297 1
12297 1
12297 1
12296 1
12296 1
12296 1
12296 1
12296 1
12296 1
12296 1
12296 1
12296 1
12295 1
12295 1
12295 1
12295 1
12295 1
12295 1
12295 1
12295 1
12295 1
12293 1
12293 1
12293 1
12293 1
12293 1
12293 1
12293 1
12293 1
12293 1
12294 1
12294 1
12294 1
12294 1
12294 1
12294 1
12294 1
12294 1
12294 1
12292 1
12292 1
12292 1
12292 1
12292 1
12292 1
12292 1
12292 1
12292 1
12429 1
12429 1
12429 1
12429 1
12429 1
12429 1
12429 1
12429 1
12429 1
12427 1
12427 1
12427 1
12427 1
12427 1
12427 1
12427 1
12427 1
12427 1
12425 1
12425 1
12425 1
12425 1
12425 1
12425 1
12425 1
12425 1
12425 1
12426 1
12426 1
12426 1
12426 1
12426 1
12426 1
12426 1
12426 1
12426 1
12423 1
12423 1
12423 1
12423 1
12423 1
12423 1
12423 1
12423 1
12423 1
12424 1
12424 1
12424 1
12424 1
12424 1
12424 1
12424 1
12424 1
12424 1
12559 1
12559 1
12559 1
12559 1
12559 1
12559 1
12559 1
12559 1
12559 1
12558 1
12558 1
12558 1
12558 1
12558 1
12558 1
12558 1
12558 1
12558 1
12556 1
12556 1
12556 1
12556 1
12556 1
12556 1
12556 1
12556 1
12556 1
12557 1
12557 1
12557 1
12557 1
12557 1
12557 1
12557 1
12557 1
12557 1
12554 1
12554 1
12554 1
12554 1
