pt_graph met
10264 2
10432 2
10530 2
11037 2
11040 2
11150 2
11151 2
11152 2
11153 2
11154 2
11155 2
11268 2
11269 2
11270 2
11271 2
11272 2
11274 2
11275 2
11276 2
11277 2
11390 2
11392 2
11397 2
11398 2
11400 2
11401 2
11402 2
11520 2
11522 2
11523 2
11524 2
11526 2
11529 2
11530 2
11531 2
11532 2
11533 2
11534 2
11643 2
11644 2
11646 2
11647 2
11651 2
11655 2
11656 2
11658 2
11778 2
11781 2
11786 2
11787 2
11788 2
11790 2
11792 2
11793 2
11794 2
11903 2
11908 2
11910 2
11912 2
11914 2
11915 2
11923 2
11924 2
11926 2
11962 2
12036 2
12039 2
12042 2
12043 2
12044 2
12048 2
12050 2
12155 2
12156 2
12158 2
12160 2
12162 2
12163 2
12165 2
12166 2
12169 2
12170 2
12171 2
12173 2
12200 2
12279 2
12280 2
12283 2
12288 2
12289 2
12294 2
12295 2
12296 2
12297 2
12405 2
12411 2
12412 2
12414 2
12415 2
12418 2
12421 2
12422 2
12423 2
12424 2
12426 2
12427 2
12439 2
12459 2
12460 2
12536 2
12538 2
12539 2
12540 2
12541 2
12542 2
12543 2
12544 2
12545 2
12546 2
12547 2
12548 2
12549 2
12553 2
12555 2
12557 2
12558 2
12559 2
12561 2
12563 2
12587 2
12597 2
12598 2
12661 2
12664 2
12665 2
12666 2
12667 2
12669 2
12670 2
12671 2
12672 2
12676 2
12677 2
12679 2
12680 2
12681 2
12682 2
12689 2
12697 2
12715 2
12716 2
12719 2
12720 2
12787 2
12788 2
12789 2
12790 2
12792 2
12794 2
12795 2
12796 2
12797 2
12798 2
12799 2
12804 2
12816 2
12818 2
12834 2
12905 2
12906 2
12907 2
12910 2
12911 2
12912 2
12913 2
12914 2
12916 2
12918 2
12925 2
12929 2
12936 2
12948 2
12956 2
13022 2
13023 2
13025 2
13026 2
13027 2
13028 2
13030 2
13035 2
13053 2
13061 2
13138 2
13146 2
13156 2
13164 2
13240 2
13251 2
13252 2
13255 2
13259 2
13265 2
13337 2
13339 2
13347 2
13352 2
13420 2
13425 2
13427 2
13432 2
13498 2
