pt_graph freq
10432 1
10434 1
10727 1
10933 1
11037 1
11040 1
11149 1
11150 1
11151 1
11152 1
11153 1
11154 1
11155 1
11268 1
11269 1
11270 1
11271 1
11274 1
11275 1
11276 1
11277 1
11389 1
11390 1
11391 1
11392 1
11396 1
11397 1
11398 1
11399 1
11400 1
11401 1
11402 1
11520 1
11521 1
11522 1
11525 1
11526 1
11527 1
11530 1
11531 1
11533 1
11534 1
11643 1
11644 1
11645 1
11646 1
11647 1
11649 1
11650 1
11653 1
11654 1
11656 1
11659 1
11660 1
11661 1
11664 1
11773 1
11774 1
11775 1
11776 1
11777 1
11778 1
11779 1
11781 1
11784 1
11786 1
11787 1
11789 1
11790 1
11791 1
11792 1
11793 1
11794 1
11903 1
11904 1
11906 1
11907 1
11911 1
11913 1
11915 1
11916 1
11917 1
11918 1
11919 1
11920 1
11921 1
11922 1
11923 1
11924 1
11925 1
11929 1
12029 1
12032 1
12036 1
12038 1
12039 1
12042 1
12043 1
12044 1
12045 1
12046 1
12047 1
12048 1
12049 1
12050 1
12154 1
12158 1
12162 1
12163 1
12164 1
12165 1
12166 1
12168 1
12169 1
12170 1
12171 1
12174 1
12176 1
12274 1
12276 1
12278 1
12280 1
12282 1
12285 1
12286 1
12287 1
12288 1
12289 1
12290 1
12291 1
12292 1
12293 1
12294 1
12295 1
12296 1
12300 1
12302 1
12330 1
12336 1
12406 1
12411 1
12412 1
12413 1
12414 1
12415 1
12416 1
12417 1
12419 1
12420 1
12421 1
12422 1
12423 1
12424 1
12425 1
12426 1
12427 1
12458 1
12459 1
12460 1
12467 1
12536 1
12537 1
12538 1
12539 1
12540 1
12541 1
12542 1
12543 1
12544 1
12545 1
12546 1
12547 1
12548 1
12549 1
12550 1
12552 1
12553 1
12555 1
12557 1
12558 1
12559 1
12561 1
12563 1
12591 1
12593 1
12594 1
12597 1
12598 1
12661 1
12662 1
12664 1
12665 1
12666 1
12667 1
12669 1
12670 1
12671 1
12672 1
12673 1
12674 1
12675 1
12676 1
12677 1
12678 1
12679 1
12680 1
12681 1
12682 1
12683 1
12709 1
12711 1
12715 1
12716 1
12720 1
12784 1
12787 1
12788 1
12789 1
12790 1
12792 1
12793 1
12794 1
12795 1
12796 1
12797 1
12798 1
12799 1
12800 1
12813 1
12824 1
12828 1
12832 1
12833 1
12834 1
12838 1
12905 1
12906 1
12907 1
12908 1
12909 1
12910 1
12911 1
12912 1
12913 1
12914 1
12916 1
12917 1
12918 1
12930 1
12934 1
12936 1
12937 1
12956 1
12957 1
13022 1
13023 1
13025 1
13026 1
13027 1
13028 1
13029 1
13030 1
13036 1
13043 1
13054 1
13058 1
13061 1
13139 1
13142 1
13152 1
13153 1
13156 1
13158 1
13164 1
13170 1
13171 1
13243 1
13244 1
13255 1
13264 1
13337 1
13347 1
13348 1
13349 1
13350 1
13352 1
13418 1
13420 1
13421 1
13422 1
13423 1
13424 1
13426 1
13427 1
13428 1
13429 1
13430 1
13432 1
13495 1
13496 1
