pt_graph cpue_kghour
14263 1.05
14263 0
14263 2.38
14263 2.13
14263 2.32
14263 2.25
14263 0
14263 0
14263 0
14264 1.05
14264 0
14264 2.38
14264 2.13
14264 2.32
14264 2.25
14264 0
14264 0
14264 0
14310 1.05
14310 0
14310 2.38
14310 2.13
14310 2.32
14310 2.25
14310 0
14310 0
14310 0
14352 1.05
14352 0
14352 2.38
14352 2.13
14352 2.32
14352 2.25
14352 0
14352 0
14352 0
14355 1.05
14355 0
14355 2.38
14355 2.13
14355 2.32
14355 2.25
14355 0
14355 0
14355 0
14392 1.05
14392 0
14392 2.38
14392 2.13
14392 2.32
14392 2.25
14392 0
14392 0
14392 0
14394 1.05
14394 0
14394 2.38
14394 2.13
14394 2.32
14394 2.25
14394 0
14394 0
14394 0
14396 1.05
14396 0
14396 2.38
14396 2.13
14396 2.32
14396 2.25
14396 0
14396 0
14396 0
14397 1.05
14397 0
14397 2.38
14397 2.13
14397 2.32
14397 2.25
14397 0
14397 0
14397 0
14433 1.05
14433 0
14433 2.38
14433 2.13
14433 2.32
14433 2.25
14433 0
14433 0
14433 0
14436 1.05
14436 0
14436 2.38
14436 2.13
14436 2.32
14436 2.25
14436 0
14436 0
14436 0
14437 1.05
14437 0
14437 2.38
14437 2.13
14437 2.32
14437 2.25
14437 0
14437 0
14437 0
14438 1.05
14438 0
14438 2.38
14438 2.13
14438 2.32
14438 2.25
14438 0
14438 0
14438 0
14473 1.05
14473 0
14473 2.38
14473 2.13
14473 2.32
14473 2.25
14473 0
14473 0
14473 0
14475 1.05
14475 0
14475 2.38
14475 2.13
14475 2.32
14475 2.25
14475 0
14475 0
14475 0
14507 1.05
14507 0
14507 2.38
14507 2.13
14507 2.32
14507 2.25
14507 0
14507 0
14507 0
14508 1.05
14508 0
14508 2.38
14508 2.13
14508 2.32
14508 2.25
14508 0
14508 0
14508 0
14569 1.05
14569 0
14569 2.38
14569 2.13
14569 2.32
14569 2.25
14569 0
14569 0
14569 0
14571 1.05
14571 0
14571 2.38
14571 2.13
14571 2.32
14571 2.25
14571 0
14571 0
14571 0
14573 1.05
14573 0
14573 2.38
14573 2.13
14573 2.32
14573 2.25
14573 0
14573 0
14573 0
14604 1.05
14604 0
14604 2.38
14604 2.13
14604 2.32
14604 2.25
14604 0
14604 0
14604 0
14605 1.05
14605 0
14605 2.38
14605 2.13
14605 2.32
14605 2.25
14605 0
14605 0
14605 0
14606 1.05
14606 0
14606 2.38
14606 2.13
14606 2.32
14606 2.25
14606 0
14606 0
14606 0
14641 1.05
14641 0
14641 2.38
14641 2.13
14641 2.32
14641 2.25
14641 0
14641 0
14641 0
14670 1.05
14670 0
14670 2.38
14670 2.13
14670 2.32
14670 2.25
14670 0
14670 0
14670 0
14671 1.05
14671 0
14671 2.38
14671 2.13
14671 2.32
14671 2.25
14671 0
14671 0
14671 0
14673 1.05
14673 0
14673 2.38
14673 2.13
14673 2.32
14673 2.25
14673 0
14673 0
14673 0
14674 1.05
14674 0
14674 2.38
14674 2.13
14674 2.32
14674 2.25
14674 0
14674 0
14674 0
14702 1.05
14702 0
14702 2.38
14702 2.13
14702 2.32
14702 2.25
14702 0
14702 0
14702 0
14705 1.05
14705 0
14705 2.38
14705 2.13
14705 2.32
14705 2.25
14705 0
14705 0
14705 0
14706 1.05
14706 0
14706 2.38
14706 2.13
14706 2.32
14706 2.25
14706 0
14706 0
14706 0
14707 1.05
14707 0
14707 2.38
14707 2.13
14707 2.32
14707 2.25
14707 0
14707 0
14707 0
14768 1.05
14768 0
14768 2.38
14768 2.13
14768 2.32
14768 2.25
14768 0
14768 0
14768 0
14769 1.05
14769 0
14769 2.38
14769 2.13
14769 2.32
14769 2.25
14769 0
14769 0
14769 0
14796 1.05
14796 0
14796 2.38
14796 2.13
14796 2.32
14796 2.25
14796 0
14796 0
14796 0
14797 1.05
14797 0
14797 2.38
14797 2.13
14797 2.32
14797 2.25
14797 0
14797 0
14797 0
14798 1.05
14798 0
14798 2.38
14798 2.13
14798 2.32
14798 2.25
14798 0
14798 0
14798 0
14801 1.05
14801 0
14801 2.38
14801 2.13
14801 2.32
14801 2.25
14801 0
14801 0
14801 0
14828 1.05
14828 0
14828 2.38
14828 2.13
14828 2.32
14828 2.25
14828 0
14828 0
14828 0
14829 1.05
14829 0
14829 2.38
14829 2.13
14829 2.32
14829 2.25
14829 0
14829 0
14829 0
14830 1.05
14830 0
14830 2.38
14830 2.13
14830 2.32
14830 2.25
14830 0
14830 0
14830 0
14831 1.05
14831 0
14831 2.38
14831 2.13
14831 2.32
14831 2.25
14831 0
14831 0
14831 0
15574 1.05
15574 0
15574 2.38
15574 2.13
15574 2.32
15574 2.25
15574 0
15574 0
15574 0
