pt_graph freq
12520 1
12521 1
12522 1
12523 1
12524 1
12525 1
12526 1
12527 1
12528 1
12529 1
12530 1
12531 1
12532 1
12644 1
12646 1
12648 1
12649 1
12650 1
12651 1
12652 1
12654 1
12655 1
12656 1
12657 1
12658 1
12659 1
12660 1
12661 1
12764 1
12765 1
12768 1
12769 1
12881 1
12883 1
12887 1
12888 1
12889 1
13003 1
13006 1
13007 1
13008 1
13009 1
13010 1
13111 1
13119 1
13123 1
13215 1
13225 1
13226 1
13313 1
13316 1
13318 1
13319 1
13320 1
13322 1
13323 1
13324 1
13390 1
13391 1
13400 1
13404 1
13406 1
13407 1
13408 1
13409 1
13481 1
13483 1
13485 1
13490 1
13552 1
13553 1
13556 1
13558 1
13559 1
13608 1
13609 1
13610 1
13613 1
13614 1
13615 1
13616 1
13617 1
13618 1
13619 1
13656 1
13670 1
13671 1
13672 1
13673 1
13674 1
13675 1
13676 1
13709 1
13715 1
13717 1
13724 1
13725 1
13726 1
13727 1
13728 1
13729 1
13730 1
13731 1
13764 1
13766 1
13780 1
13781 1
13783 1
13784 1
13785 1
13822 1
13826 1
13829 1
13831 1
13832 1
13833 1
13834 1
13835 1
13836 1
13837 1
13838 1
13880 1
13887 1
13888 1
13889 1
13890 1
13892 1
13893 1
13928 1
13936 1
13944 1
13945 1
13946 1
13947 1
13948 1
13949 1
13950 1
13951 1
13952 1
13986 1
13999 1
14002 1
14003 1
14004 1
14005 1
14006 1
14007 1
14008 1
14009 1
14045 1
14055 1
14057 1
14058 1
14059 1
14060 1
14061 1
14062 1
14064 1
14092 1
14107 1
14108 1
14109 1
14110 1
14113 1
14114 1
14115 1
14145 1
14152 1
14155 1
14160 1
14161 1
14163 1
14164 1
14169 1
14193 1
14195 1
14201 1
14210 1
14211 1
14212 1
14214 1
14241 1
14242 1
14247 1
14249 1
14250 1
14253 1
14254 1
14255 1
14256 1
14257 1
14258 1
14259 1
14261 1
14264 1
14287 1
14291 1
14293 1
14299 1
14300 1
14301 1
14302 1
14303 1
14305 1
14306 1
14307 1
14309 1
14311 1
14331 1
14337 1
14338 1
14343 1
14344 1
14346 1
14349 1
14350 1
14351 1
14352 1
14353 1
14355 1
14375 1
14380 1
14381 1
14385 1
14386 1
14390 1
14391 1
14392 1
14394 1
14395 1
14397 1
14422 1
14423 1
14425 1
14426 1
14427 1
14428 1
14432 1
14433 1
14435 1
14436 1
14437 1
14438 1
14463 1
14464 1
14466 1
14467 1
14468 1
14469 1
14470 1
14472 1
14473 1
14475 1
14495 1
14496 1
14499 1
14500 1
14501 1
14503 1
14504 1
14506 1
14507 1
14508 1
14509 1
14531 1
14533 1
14538 1
14540 1
14559 1
14561 1
14565 1
14568 1
14569 1
14570 1
14571 1
14572 1
14573 1
14593 1
14598 1
14600 1
14601 1
14603 1
14604 1
14605 1
14606 1
14607 1
14626 1
14629 1
14631 1
14634 1
14636 1
14637 1
14640 1
14641 1
14661 1
14662 1
14665 1
14666 1
14667 1
14670 1
14672 1
14673 1
14674 1
14694 1
14699 1
14701 1
14703 1
14706 1
14707 1
14731 1
14732 1
14733 1
14737 1
14738 1
14739 1
14758 1
14761 1
14762 1
14765 1
14766 1
14767 1
14768 1
14770 1
14793 1
14794 1
14795 1
14797 1
14798 1
14799 1
14800 1
14801 1
14802 1
14825 1
14826 1
14827 1
14828 1
14830 1
14831 1
14855 1
14857 1
14879 1
14884 1
14885 1
14886 1
14887 1
14912 1
14915 1
14964 1
14988 1
14990 1
15011 1
15014 1
15037 1
15038 1
15039 1
15040 1
15043 1
15061 1
15064 1
15065 1
15066 1
15067 1
15068 1
15070 1
15094 1
15095 1
15096 1
15097 1
15098 1
15099 1
15100 1
15126 1
15130 1
15131 1
15132 1
15133 1
15134 1
15135 1
15136 1
15137 1
15169 1
15173 1
15174 1
15175 1
15176 1
15177 1
15178 1
15212 1
15214 1
15216 1
15217 1
15218 1
15219 1
15220 1
15221 1
15222 1
15260 1
15262 1
15263 1
15265 1
15266 1
15267 1
15268 1
15269 1
15270 1
15311 1
15312 1
15313 1
15314 1
15315 1
15316 1
15317 1
15318 1
15364 1
15365 1
15366 1
15367 1
15368 1
15369 1
15370 1
15371 1
15372 1
15425 1
15426 1
15427 1
15428 1
15429 1
15430 1
15431 1
15487 1
15490 1
15491 1
15492 1
15493 1
15494 1
15553 1
15555 1
15556 1
15557 1
15558 1
15615 1
15618 1
15619 1
15620 1
15621 1
15622 1
15680 1
15682 1
15683 1
15685 1
15686 1
15751 1
15752 1
15753 1
15754 1
15815 1
15818 1
15819 1
15820 1
15822 1
15878 1
15879 1
15881 1
15882 1
15884 1
15885 1
15886 1
15887 1
15943 1
15945 1
15946 1
15948 1
15949 1
15950 1
15951 1
15998 1
15999 1
16000 1
16001 1
16002 1
16003 1
16004 1
16005 1
16006 1
16007 1
16048 1
16050 1
16052 1
16053 1
16054 1
16055 1
16056 1
16057 1
16058 1
16059 1
16100 1
16101 1
16102 1
16103 1
16104 1
16105 1
16106 1
16107 1
16150 1
16151 1
16152 1
16153 1
16154 1
16155 1
16196 1
16197 1
16198 1
16199 1
16200 1
16201 1
16202 1
16243 1
16244 1
16246 1
16247 1
16248 1
16292 1
16294 1
16338 1
16339 1
16340 1
16341 1
16383 1
16384 1
16426 1
