pt_graph freq
10431 1
10628 1
11071 1
11157 1
11280 1
11442 1
11444 1
11446 1
11964 1
12204 1
12459 1
12460 1
12574 1
12584 1
12591 1
12594 1
12598 1
12712 1
12715 1
12716 1
12717 1
12718 1
12719 1
12720 1
12818 1
12819 1
12820 1
12834 1
12838 1
12936 1
12937 1
12941 1
12951 1
12953 1
12956 1
13053 1
13054 1
13059 1
13061 1
13062 1
13065 1
13067 1
13168 1
13169 1
13171 1
13259 1
13260 1
13262 1
13263 1
13265 1
13347 1
13348 1
13349 1
13351 1
13352 1
13426 1
13427 1
13428 1
13430 1
13431 1
13432 1
