pt_graph shape
10434 1
10434 1
10434 1
10434 1
10434 1
10434 1
10434 1
10434 1
10434 1
11575 1
11575 1
11575 1
11575 1
11575 1
11575 1
11575 1
11575 1
11575 1
11703 1
11703 1
11703 1
11703 1
11703 1
11703 1
11703 1
11703 1
11703 1
11830 1
11830 1
11830 1
11830 1
11830 1
11830 1
11830 1
11830 1
11830 1
12200 1
12200 1
12200 1
12200 1
12200 1
12200 1
12200 1
12200 1
12200 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12456 1
12456 1
12456 1
12456 1
12456 1
12456 1
12456 1
12456 1
12456 1
12720 1
12720 1
12720 1
12720 1
12720 1
12720 1
12720 1
12720 1
12720 1
12717 1
12717 1
12717 1
12717 1
12717 1
12717 1
12717 1
12717 1
12717 1
12715 1
12715 1
12715 1
12715 1
12715 1
12715 1
12715 1
12715 1
12715 1
12706 1
12706 1
12706 1
12706 1
12706 1
12706 1
12706 1
12706 1
12706 1
12698 1
12698 1
12698 1
12698 1
12698 1
12698 1
12698 1
12698 1
12698 1
12834 1
12834 1
12834 1
12834 1
12834 1
12834 1
12834 1
12834 1
12834 1
12829 1
12829 1
12829 1
12829 1
12829 1
12829 1
12829 1
12829 1
12829 1
12820 1
12820 1
12820 1
12820 1
12820 1
12820 1
12820 1
12820 1
12820 1
12817 1
12817 1
12817 1
12817 1
12817 1
12817 1
12817 1
12817 1
12817 1
12816 1
12816 1
12816 1
12816 1
12816 1
12816 1
12816 1
12816 1
12816 1
12938 1
12938 1
12938 1
12938 1
12938 1
12938 1
12938 1
12938 1
12938 1
13067 1
13067 1
13067 1
13067 1
13067 1
13067 1
13067 1
13067 1
13067 1
13053 1
13053 1
13053 1
13053 1
13053 1
13053 1
13053 1
13053 1
13053 1
13169 1
13169 1
13169 1
13169 1
13169 1
13169 1
13169 1
13169 1
13169 1
13262 1
13262 1
13262 1
13262 1
13262 1
13262 1
13262 1
13262 1
13262 1
13352 1
13352 1
13352 1
13352 1
13352 1
13352 1
13352 1
13352 1
13352 1
13347 1
13347 1
13347 1
13347 1
13347 1
13347 1
13347 1
13347 1
13347 1
13432 1
13432 1
13432 1
13432 1
13432 1
13432 1
13432 1
13432 1
13432 1
13427 1
13427 1
13427 1
13427 1
13427 1
13427 1
13427 1
13427 1
13427 1
13426 1
13426 1
13426 1
13426 1
13426 1
13426 1
13426 1
13426 1
13426 1
