pt_graph met
8547 4
8599 4
8828 4
8873 4
8874 4
8875 4
8916 4
8917 4
8956 4
8998 4
9000 4
9035 4
9036 4
9037 4
9075 4
9076 4
9077 4
9078 4
9115 4
9116 4
9117 4
9118 4
9119 4
9157 4
9159 4
9160 4
9161 4
9169 4
9197 4
9200 4
9202 4
9213 4
9246 4
9257 4
9290 4
9294 4
9305 4
9306 4
9338 4
9356 4
9357 4
9410 4
9411 4
9597 4
9736 4
9887 4
9904 4
10052 4
10068 4
10141 4
10313 4
10400 4
10504 4
10517 4
10595 4
10712 4
10713 4
10814 4
10916 4
10917 4
11024 4
11109 4
11134 4
11135 4
11136 4
11250 4
11255 4
11257 4
11377 4
11378 4
11485 4
11758 4
11888 4
11892 4
12016 4
12263 4
12392 4
12393 4
12495 4
12885 4
13004 4
13008 4
13121 4
13122 4
13223 4
13318 4
13319 4
13321 4
13322 4
13323 4
13391 4
13401 4
13402 4
13403 4
13404 4
13405 4
13406 4
13481 4
13483 4
13484 4
13485 4
13486 4
13553 4
13554 4
13555 4
13556 4
13557 4
13558 4
13614 4
13615 4
13616 4
13617 4
13618 4
13671 4
13672 4
13673 4
13674 4
13726 4
13727 4
13773 4
13780 4
13781 4
13782 4
13783 4
13816 4
13874 4
13891 4
13922 4
13943 4
13946 4
13948 4
13999 4
14000 4
14001 4
14004 4
14005 4
14033 4
14034 4
14055 4
14061 4
14062 4
14089 4
14111 4
14114 4
14115 4
14163 4
14164 4
14168 4
14216 4
14217 4
14240 4
14255 4
14256 4
14259 4
14260 4
14261 4
14288 4
14290 4
14302 4
14303 4
14307 4
14308 4
14309 4
14336 4
14346 4
14351 4
14352 4
14387 4
14421 4
14426 4
14428 4
14429 4
14430 4
14431 4
14464 4
14466 4
14467 4
14468 4
14500 4
14501 4
14504 4
14505 4
14534 4
14535 4
14536 4
14537 4
14564 4
14565 4
14598 4
14631 4
14632 4
14664 4
14665 4
19542 4
