pt_graph cpue_kghour
9196 1.23
9196 0
9196 3.02
9196 2.52
9196 3.46
9196 2.92
9196 0.01
9196 0
9196 0
9581 1.23
9581 0
9581 3.02
9581 2.52
9581 3.46
9581 2.92
9581 0.01
9581 0
9581 0
9584 1.23
9584 0
9584 3.02
9584 2.52
9584 3.46
9584 2.92
9584 0.01
9584 0
9584 0
9731 1.23
9731 0
9731 3.02
9731 2.52
9731 3.46
9731 2.92
9731 0.01
9731 0
9731 0
9734 1.23
9734 0
9734 3.02
9734 2.52
9734 3.46
9734 2.92
9734 0.01
9734 0
9734 0
9814 1.23
9814 0
9814 3.02
9814 2.52
9814 3.46
9814 2.92
9814 0.01
9814 0
9814 0
9818 1.23
9818 0
9818 3.02
9818 2.52
9818 3.46
9818 2.92
9818 0.01
9818 0
9818 0
9823 1.23
9823 0
9823 3.02
9823 2.52
9823 3.46
9823 2.92
9823 0.01
9823 0
9823 0
9885 1.23
9885 0
9885 3.02
9885 2.52
9885 3.46
9885 2.92
9885 0.01
9885 0
9885 0
9891 1.23
9891 0
9891 3.02
9891 2.52
9891 3.46
9891 2.92
9891 0.01
9891 0
9891 0
9899 1.23
9899 0
9899 3.02
9899 2.52
9899 3.46
9899 2.92
9899 0.01
9899 0
9899 0
9966 1.23
9966 0
9966 3.02
9966 2.52
9966 3.46
9966 2.92
9966 0.01
9966 0
9966 0
9970 1.23
9970 0
9970 3.02
9970 2.52
9970 3.46
9970 2.92
9970 0.01
9970 0
9970 0
9973 1.23
9973 0
9973 3.02
9973 2.52
9973 3.46
9973 2.92
9973 0.01
9973 0
9973 0
10048 1.23
10048 0
10048 3.02
10048 2.52
10048 3.46
10048 2.92
10048 0.01
10048 0
10048 0
10064 1.23
10064 0
10064 3.02
10064 2.52
10064 3.46
10064 2.92
10064 0.01
10064 0
10064 0
10125 1.23
10125 0
10125 3.02
10125 2.52
10125 3.46
10125 2.92
10125 0.01
10125 0
10125 0
10309 1.23
10309 0
10309 3.02
10309 2.52
10309 3.46
10309 2.92
10309 0.01
10309 0
10309 0
10310 1.23
10310 0
10310 3.02
10310 2.52
10310 3.46
10310 2.92
10310 0.01
10310 0
10310 0
10384 1.23
10384 0
10384 3.02
10384 2.52
10384 3.46
10384 2.92
10384 0.01
10384 0
10384 0
10487 1.23
10487 0
10487 3.02
10487 2.52
10487 3.46
10487 2.92
10487 0.01
10487 0
10487 0
10489 1.23
10489 0
10489 3.02
10489 2.52
10489 3.46
10489 2.92
10489 0.01
10489 0
10489 0
10497 1.23
10497 0
10497 3.02
10497 2.52
10497 3.46
10497 2.92
10497 0.01
10497 0
10497 0
10581 1.23
10581 0
10581 3.02
10581 2.52
10581 3.46
10581 2.92
10581 0.01
10581 0
10581 0
10690 1.23
10690 0
10690 3.02
10690 2.52
10690 3.46
10690 2.92
10690 0.01
10690 0
10690 0
10697 1.23
10697 0
10697 3.02
10697 2.52
10697 3.46
10697 2.92
10697 0.01
10697 0
10697 0
10791 1.23
10791 0
10791 3.02
10791 2.52
10791 3.46
10791 2.92
10791 0.01
10791 0
10791 0
10795 1.23
10795 0
10795 3.02
10795 2.52
10795 3.46
10795 2.92
10795 0.01
10795 0
10795 0
10890 1.23
10890 0
10890 3.02
10890 2.52
10890 3.46
10890 2.92
10890 0.01
10890 0
10890 0
11227 1.23
11227 0
11227 3.02
11227 2.52
11227 3.46
11227 2.92
11227 0.01
11227 0
11227 0
11482 1.23
11482 0
11482 3.02
11482 2.52
11482 3.46
11482 2.92
11482 0.01
11482 0
11482 0
11607 1.23
11607 0
11607 3.02
11607 2.52
11607 3.46
11607 2.92
11607 0.01
11607 0
11607 0
11740 1.23
11740 0
11740 3.02
11740 2.52
11740 3.46
11740 2.92
11740 0.01
11740 0
11740 0
11863 1.23
11863 0
11863 3.02
11863 2.52
11863 3.46
11863 2.92
11863 0.01
11863 0
11863 0
11868 1.23
11868 0
11868 3.02
11868 2.52
11868 3.46
11868 2.92
11868 0.01
11868 0
11868 0
11872 1.23
11872 0
11872 3.02
11872 2.52
11872 3.46
11872 2.92
11872 0.01
11872 0
11872 0
11873 1.23
11873 0
11873 3.02
11873 2.52
11873 3.46
11873 2.92
11873 0.01
11873 0
11873 0
12238 1.23
12238 0
12238 3.02
12238 2.52
12238 3.46
12238 2.92
12238 0.01
12238 0
12238 0
12240 1.23
12240 0
12240 3.02
12240 2.52
12240 3.46
12240 2.92
12240 0.01
12240 0
12240 0
12242 1.23
12242 0
12242 3.02
12242 2.52
12242 3.46
12242 2.92
12242 0.01
12242 0
12242 0
12366 1.23
12366 0
12366 3.02
12366 2.52
12366 3.46
12366 2.92
12366 0.01
12366 0
12366 0
12371 1.23
12371 0
12371 3.02
12371 2.52
12371 3.46
12371 2.92
12371 0.01
12371 0
12371 0
12628 1.23
12628 0
12628 3.02
12628 2.52
12628 3.46
12628 2.92
12628 0.01
12628 0
12628 0
12630 1.23
12630 0
12630 3.02
12630 2.52
12630 3.46
12630 2.92
12630 0.01
12630 0
12630 0
12747 1.23
12747 0
12747 3.02
12747 2.52
12747 3.46
12747 2.92
12747 0.01
12747 0
12747 0
13103 1.23
13103 0
13103 3.02
13103 2.52
13103 3.46
13103 2.92
13103 0.01
13103 0
13103 0
13208 1.23
13208 0
13208 3.02
13208 2.52
13208 3.46
13208 2.92
13208 0.01
13208 0
13208 0
13211 1.23
13211 0
13211 3.02
13211 2.52
13211 3.46
13211 2.92
13211 0.01
13211 0
13211 0
13293 1.23
13293 0
13293 3.02
13293 2.52
13293 3.46
13293 2.92
13293 0.01
13293 0
13293 0
13304 1.23
13304 0
13304 3.02
13304 2.52
13304 3.46
13304 2.92
13304 0.01
13304 0
13304 0
13530 1.23
13530 0
13530 3.02
13530 2.52
13530 3.46
13530 2.92
13530 0.01
13530 0
13530 0
13763 1.23
13763 0
13763 3.02
13763 2.52
13763 3.46
13763 2.92
13763 0.01
13763 0
13763 0
13764 1.23
13764 0
13764 3.02
13764 2.52
13764 3.46
13764 2.92
13764 0.01
13764 0
13764 0
13766 1.23
13766 0
13766 3.02
13766 2.52
13766 3.46
13766 2.92
13766 0.01
13766 0
13766 0
13921 1.23
13921 0
13921 3.02
13921 2.52
13921 3.46
13921 2.92
13921 0.01
13921 0
13921 0
13982 1.23
13982 0
13982 3.02
13982 2.52
13982 3.46
13982 2.92
13982 0.01
13982 0
13982 0
13985 1.23
13985 0
13985 3.02
13985 2.52
13985 3.46
13985 2.92
13985 0.01
13985 0
13985 0
14036 1.23
14036 0
14036 3.02
14036 2.52
14036 3.46
14036 2.92
14036 0.01
14036 0
14036 0
