pt_graph shape
8332 1
8332 1
8332 1
8332 1
8332 1
8332 1
8332 1
8332 1
8332 1
8495 1
8495 1
8495 1
8495 1
8495 1
8495 1
8495 1
8495 1
8495 1
8496 1
8496 1
8496 1
8496 1
8496 1
8496 1
8496 1
8496 1
8496 1
8547 1
8547 1
8547 1
8547 1
8547 1
8547 1
8547 1
8547 1
8547 1
8550 1
8550 1
8550 1
8550 1
8550 1
8550 1
8550 1
8550 1
8550 1
8551 1
8551 1
8551 1
8551 1
8551 1
8551 1
8551 1
8551 1
8551 1
8598 1
8598 1
8598 1
8598 1
8598 1
8598 1
8598 1
8598 1
8598 1
8600 1
8600 1
8600 1
8600 1
8600 1
8600 1
8600 1
8600 1
8600 1
8601 1
8601 1
8601 1
8601 1
8601 1
8601 1
8601 1
8601 1
8601 1
8602 1
8602 1
8602 1
8602 1
8602 1
8602 1
8602 1
8602 1
8602 1
8603 1
8603 1
8603 1
8603 1
8603 1
8603 1
8603 1
8603 1
8603 1
8645 1
8645 1
8645 1
8645 1
8645 1
8645 1
8645 1
8645 1
8645 1
8649 1
8649 1
8649 1
8649 1
8649 1
8649 1
8649 1
8649 1
8649 1
8650 1
8650 1
8650 1
8650 1
8650 1
8650 1
8650 1
8650 1
8650 1
8780 1
8780 1
8780 1
8780 1
8780 1
8780 1
8780 1
8780 1
8780 1
8784 1
8784 1
8784 1
8784 1
8784 1
8784 1
8784 1
8784 1
8784 1
8829 1
8829 1
8829 1
8829 1
8829 1
8829 1
8829 1
8829 1
8829 1
8873 1
8873 1
8873 1
8873 1
8873 1
8873 1
8873 1
8873 1
8873 1
8875 1
8875 1
8875 1
8875 1
8875 1
8875 1
8875 1
8875 1
8875 1
8916 1
8916 1
8916 1
8916 1
8916 1
8916 1
8916 1
8916 1
8916 1
8955 1
8955 1
8955 1
8955 1
8955 1
8955 1
8955 1
8955 1
8955 1
8956 1
8956 1
8956 1
8956 1
8956 1
8956 1
8956 1
8956 1
8956 1
8957 1
8957 1
8957 1
8957 1
8957 1
8957 1
8957 1
8957 1
8957 1
8958 1
8958 1
8958 1
8958 1
8958 1
8958 1
8958 1
8958 1
8958 1
8997 1
8997 1
8997 1
8997 1
8997 1
8997 1
8997 1
8997 1
8997 1
8999 1
8999 1
8999 1
8999 1
8999 1
8999 1
8999 1
8999 1
8999 1
9036 1
9036 1
9036 1
9036 1
9036 1
9036 1
9036 1
9036 1
9036 1
9037 1
9037 1
9037 1
9037 1
9037 1
9037 1
9037 1
9037 1
9037 1
9038 1
9038 1
9038 1
9038 1
9038 1
9038 1
9038 1
9038 1
9038 1
9071 1
9071 1
9071 1
9071 1
9071 1
9071 1
9071 1
9071 1
9071 1
9074 1
9074 1
9074 1
9074 1
9074 1
9074 1
9074 1
9074 1
9074 1
9076 1
9076 1
9076 1
9076 1
9076 1
9076 1
9076 1
9076 1
9076 1
9077 1
9077 1
9077 1
9077 1
9077 1
9077 1
9077 1
9077 1
9077 1
9078 1
9078 1
9078 1
9078 1
9078 1
9078 1
9078 1
9078 1
9078 1
9115 1
9115 1
9115 1
9115 1
9115 1
9115 1
9115 1
9115 1
9115 1
9116 1
9116 1
9116 1
9116 1
9116 1
9116 1
9116 1
9116 1
9116 1
9117 1
9117 1
9117 1
9117 1
9117 1
9117 1
9117 1
9117 1
9117 1
9118 1
9118 1
9118 1
9118 1
9118 1
9118 1
9118 1
9118 1
9118 1
9119 1
9119 1
9119 1
9119 1
9119 1
9119 1
9119 1
9119 1
9119 1
9127 1
9127 1
9127 1
9127 1
9127 1
9127 1
9127 1
9127 1
9127 1
9133 1
9133 1
9133 1
9133 1
9133 1
9133 1
9133 1
9133 1
9133 1
9157 1
9157 1
9157 1
9157 1
9157 1
9157 1
9157 1
9157 1
9157 1
9160 1
9160 1
9160 1
9160 1
9160 1
9160 1
9160 1
9160 1
9160 1
9176 1
9176 1
9176 1
9176 1
9176 1
9176 1
9176 1
9176 1
9176 1
9204 1
9204 1
9204 1
9204 1
9204 1
9204 1
9204 1
9204 1
9204 1
9208 1
9208 1
9208 1
9208 1
9208 1
9208 1
9208 1
9208 1
9208 1
9218 1
9218 1
9218 1
9218 1
9218 1
9218 1
9218 1
9218 1
9218 1
9242 1
9242 1
9242 1
9242 1
9242 1
9242 1
9242 1
9242 1
9242 1
9243 1
9243 1
9243 1
9243 1
9243 1
9243 1
9243 1
9243 1
9243 1
9244 1
9244 1
9244 1
9244 1
9244 1
9244 1
9244 1
9244 1
9244 1
9245 1
9245 1
9245 1
9245 1
9245 1
9245 1
9245 1
9245 1
9245 1
9263 1
9263 1
9263 1
9263 1
9263 1
9263 1
9263 1
9263 1
9263 1
9290 1
9290 1
9290 1
9290 1
9290 1
9290 1
9290 1
9290 1
9290 1
9291 1
9291 1
9291 1
9291 1
9291 1
9291 1
9291 1
9291 1
9291 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9296 1
9296 1
9296 1
9296 1
9296 1
9296 1
9296 1
9296 1
9296 1
9306 1
9306 1
9306 1
9306 1
9306 1
9306 1
9306 1
9306 1
9306 1
9308 1
9308 1
9308 1
9308 1
9308 1
9308 1
9308 1
9308 1
9308 1
9341 1
9341 1
9341 1
9341 1
9341 1
9341 1
9341 1
9341 1
9341 1
9351 1
9351 1
9351 1
9351 1
9351 1
9351 1
9351 1
9351 1
9351 1
9362 1
9362 1
9362 1
9362 1
9362 1
9362 1
9362 1
9362 1
9362 1
9363 1
9363 1
9363 1
9363 1
9363 1
9363 1
9363 1
9363 1
9363 1
9364 1
9364 1
9364 1
9364 1
9364 1
9364 1
9364 1
9364 1
9364 1
9394 1
9394 1
9394 1
9394 1
9394 1
9394 1
9394 1
9394 1
9394 1
9413 1
9413 1
9413 1
9413 1
9413 1
9413 1
9413 1
9413 1
9413 1
9416 1
9416 1
9416 1
9416 1
9416 1
9416 1
9416 1
9416 1
9416 1
9417 1
9417 1
9417 1
9417 1
9417 1
9417 1
9417 1
9417 1
9417 1
9418 1
9418 1
9418 1
9418 1
9418 1
9418 1
9418 1
9418 1
9418 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9452 1
9452 1
9452 1
9452 1
9452 1
9452 1
9452 1
9452 1
9452 1
9453 1
9453 1
9453 1
9453 1
9453 1
9453 1
9453 1
9453 1
9453 1
9474 1
9474 1
9474 1
9474 1
9474 1
9474 1
9474 1
9474 1
9474 1
9476 1
9476 1
9476 1
9476 1
9476 1
9476 1
9476 1
9476 1
9476 1
9477 1
9477 1
9477 1
9477 1
9477 1
9477 1
9477 1
9477 1
9477 1
9504 1
9504 1
9504 1
9504 1
9504 1
9504 1
9504 1
9504 1
9504 1
9510 1
9510 1
9510 1
9510 1
9510 1
9510 1
9510 1
9510 1
9510 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9515 1
9515 1
9515 1
9515 1
9515 1
9515 1
9515 1
9515 1
9515 1
9536 1
9536 1
9536 1
9536 1
9536 1
9536 1
9536 1
9536 1
9536 1
9538 1
9538 1
9538 1
9538 1
9538 1
9538 1
9538 1
9538 1
9538 1
9539 1
9539 1
9539 1
9539 1
9539 1
9539 1
9539 1
9539 1
9539 1
9575 1
9575 1
9575 1
9575 1
9575 1
9575 1
9575 1
9575 1
9575 1
9582 1
9582 1
9582 1
9582 1
9582 1
9582 1
9582 1
9582 1
9582 1
9583 1
9583 1
9583 1
9583 1
9583 1
9583 1
9583 1
9583 1
9583 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9602 1
9602 1
9602 1
9602 1
9602 1
9602 1
9602 1
9602 1
9602 1
9605 1
9605 1
9605 1
