pt_graph freq
8439 1
8495 1
8598 1
8737 1
8920 1
8997 1
9116 1
9158 1
9208 1
9214 1
9242 1
9250 1
9285 1
9336 1
9358 1
9455 1
9531 1
9573 1
9584 1
9601 1
9667 1
9741 1
9835 1
9843 1
9887 1
9971 1
9975 1
9976 1
10055 1
10072 1
10138 1
10170 1
10290 1
10306 1
10310 1
10385 1
10389 1
10486 1
10582 1
10586 1
10690 1
10783 1
10897 1
10994 1
11008 1
11988 1
12006 1
12007 1
12009 1
12118 1
12257 1
12382 1
12389 1
12393 1
12394 1
12507 1
12518 1
12621 1
12647 1
12749 1
12754 1
12767 1
12875 1
12880 1
12881 1
12885 1
12889 1
13108 1
13122 1
13384 1
13394 1
13488 1
13551 1
13553 1
13619 1
13722 1
13724 1
13774 1
13777 1
13821 1
13830 1
13868 1
13886 1
13987 1
14003 1
14007 1
14043 1
14086 1
14098 1
14112 1
14150 1
14156 1
14159 1
14247 1
14303 1
14308 1
14345 1
14389 1
14422 1
14499 1
14501 1
14535 1
14538 1
14671 1
14724 1
14726 1
14852 1
