pt_graph met
8412 3
8413 3
8454 3
8520 3
8559 3
8560 3
8561 3
8610 3
8611 3
8612 3
8655 3
8656 3
8657 3
8667 3
8699 3
8701 3
8710 3
8712 3
8743 3
8744 3
8745 3
8746 3
8755 3
8789 3
8794 3
8800 3
8835 3
8836 3
8842 3
8844 3
8881 3
8882 3
8885 3
8888 3
8925 3
8926 3
8929 3
8966 3
8969 3
9079 3
9125 3
9129 3
9130 3
9168 3
9172 3
9210 3
9214 3
9216 3
9254 3
9259 3
9261 3
9306 3
9307 3
9308 3
9309 3
9354 3
9357 3
9359 3
9360 3
9361 3
9411 3
9413 3
9414 3
9416 3
9469 3
9471 3
9472 3
9473 3
9530 3
9531 3
9532 3
9533 3
9534 3
9583 3
9598 3
9599 3
9601 3
9602 3
9603 3
9604 3
9605 3
9606 3
9608 3
9660 3
9674 3
9675 3
9677 3
9681 3
9683 3
9684 3
9686 3
9747 3
9748 3
9749 3
9752 3
9758 3
9759 3
9761 3
9762 3
9764 3
9811 3
9826 3
9831 3
9833 3
9834 3
9835 3
9843 3
9844 3
9845 3
9846 3
9899 3
9913 3
9916 3
9919 3
9922 3
9923 3
9924 3
9925 3
9927 3
9988 3
9991 3
9993 3
9994 3
9998 3
10002 3
10005 3
10006 3
10007 3
10008 3
10009 3
10051 3
10072 3
10074 3
10075 3
10084 3
10085 3
10086 3
10088 3
10090 3
10091 3
10092 3
10154 3
10155 3
10157 3
10158 3
10164 3
10168 3
10169 3
10173 3
10237 3
10238 3
10240 3
10250 3
10252 3
10254 3
10255 3
10256 3
10257 3
10318 3
10319 3
10321 3
10323 3
10327 3
10330 3
10336 3
10338 3
10409 3
10418 3
10419 3
10420 3
10423 3
10425 3
10426 3
10427 3
10506 3
10508 3
10516 3
10517 3
10518 3
10519 3
10521 3
10522 3
10523 3
10524 3
10599 3
10603 3
10606 3
10610 3
10611 3
10612 3
10613 3
10620 3
10621 3
10622 3
10709 3
10711 3
10712 3
10717 3
10719 3
10720 3
10721 3
10801 3
10802 3
10803 3
10805 3
10813 3
10814 3
10817 3
10819 3
10821 3
10822 3
10823 3
10824 3
10902 3
10903 3
10904 3
10905 3
10910 3
10912 3
10914 3
10917 3
10919 3
10921 3
10922 3
10923 3
10924 3
10925 3
11019 3
11022 3
11024 3
11025 3
11026 3
11028 3
11030 3
11031 3
11032 3
11033 3
11121 3
11128 3
11129 3
11130 3
11131 3
11133 3
11136 3
11138 3
11139 3
11141 3
11142 3
11143 3
11144 3
11242 3
11245 3
11249 3
11253 3
11255 3
11256 3
11260 3
11261 3
11262 3
11264 3
11364 3
11366 3
11368 3
11376 3
11377 3
11380 3
11383 3
11384 3
11488 3
11490 3
11492 3
11495 3
11502 3
11506 3
11508 3
11509 3
11511 3
11512 3
11617 3
11618 3
11619 3
11620 3
11621 3
11627 3
11629 3
11630 3
11632 3
11634 3
11635 3
11636 3
11639 3
11640 3
11657 3
11746 3
11751 3
11753 3
11754 3
11755 3
11760 3
11761 3
11764 3
11765 3
11767 3
11768 3
11769 3
11876 3
11877 3
11878 3
11882 3
11886 3
11889 3
11890 3
11891 3
11892 3
11893 3
11894 3
11895 3
11898 3
11900 3
12008 3
12010 3
12012 3
12013 3
12014 3
12015 3
12016 3
12017 3
12018 3
12020 3
12021 3
12022 3
12023 3
12024 3
12119 3
12121 3
12122 3
12123 3
12127 3
12131 3
12133 3
12134 3
12137 3
12145 3
12243 3
12247 3
12254 3
12257 3
12378 3
12381 3
12382 3
12384 3
12385 3
12386 3
12387 3
12511 3
12512 3
12518 3
12519 3
12553 3
12635 3
12639 3
12648 3
12751 3
12752 3
12756 3
12757 3
12760 3
12761 3
12872 3
12877 3
12878 3
12879 3
12880 3
12882 3
12883 3
12993 3
12994 3
12995 3
12999 3
13000 3
13002 3
13107 3
13110 3
13113 3
13116 3
13218 3
13219 3
13221 3
13254 3
13256 3
13314 3
13315 3
13316 3
13394 3
13399 3
13479 3
13481 3
13545 3
13547 3
13549 3
13551 3
13552 3
13553 3
13606 3
13607 3
13610 3
13611 3
13612 3
13664 3
13669 3
13671 3
13715 3
13716 3
13718 3
13721 3
13723 3
13724 3
13725 3
13773 3
13774 3
13778 3
13779 3
13825 3
13830 3
13884 3
13886 3
13887 3
13941 3
13943 3
13944 3
13983 3
13998 3
14000 3
14001 3
14035 3
14036 3
14039 3
14044 3
14047 3
14055 3
14057 3
14096 3
14101 3
14103 3
14105 3
14110 3
14111 3
14112 3
14146 3
14157 3
14158 3
14165 3
14166 3
14167 3
14204 3
14213 3
14214 3
14215 3
14242 3
14251 3
14261 3
14262 3
14288 3
14309 3
14310 3
14352 3
14353 3
14395 3
14396 3
14468 3
14471 3
14535 3
14536 3
14565 3
14601 3
14602 3
14791 3
14822 3
14882 3
14883 3
15009 3
15061 3
15125 3
15130 3
15132 3
15167 3
15173 3
15174 3
15210 3
15215 3
15256 3
15264 3
15266 3
15305 3
15306 3
15310 3
15311 3
15312 3
15314 3
15359 3
15427 3
15489 3
15546 3
15552 3
15554 3
15611 3
15674 3
15683 3
15805 3
15884 3
15945 3
15949 3
15998 3
16001 3
16053 3
16149 3
16198 3
16199 3
16246 3
16292 3
16338 3
16381 3
16411 3
16412 3
16421 3
16422 3
16456 3
16466 3
16468 3
16502 3
16510 3
16511 3
16512 3
16513 3
16545 3
16546 3
16590 3
16592 3
16593 3
16594 3
16595 3
16597 3
16637 3
16638 3
16639 3
16640 3
16682 3
16683 3
16685 3
19523 3
