pt_graph cpue_kghour
10094 1
10094 0
10094 2
10094 3.5
10094 2
10094 2
10094 0
10094 0
10094 0
10173 1
10173 0
10173 2
10173 3.5
10173 2
10173 2
10173 0
10173 0
10173 0
10176 1
10176 0
10176 2
10176 3.5
10176 2
10176 2
10176 0
10176 0
10176 0
10232 1
10232 0
10232 2
10232 3.5
10232 2
10232 2
10232 0
10232 0
10232 0
10260 1
10260 0
10260 2
10260 3.5
10260 2
10260 2
10260 0
10260 0
10260 0
10261 1
10261 0
10261 2
10261 3.5
10261 2
10261 2
10261 0
10261 0
10261 0
10313 1
10313 0
10313 2
10313 3.5
10313 2
10313 2
10313 0
10313 0
10313 0
10343 1
10343 0
10343 2
10343 3.5
10343 2
10343 2
10343 0
10343 0
10343 0
10400 1
10400 0
10400 2
10400 3.5
10400 2
10400 2
10400 0
10400 0
10400 0
10429 1
10429 0
10429 2
10429 3.5
10429 2
10429 2
10429 0
10429 0
10429 0
10504 1
10504 0
10504 2
10504 3.5
10504 2
10504 2
10504 0
10504 0
10504 0
10526 1
10526 0
10526 2
10526 3.5
10526 2
10526 2
10526 0
10526 0
10526 0
10527 1
10527 0
10527 2
10527 3.5
10527 2
10527 2
10527 0
10527 0
10527 0
10625 1
10625 0
10625 2
10625 3.5
10625 2
10625 2
10625 0
10625 0
10625 0
10723 1
10723 0
10723 2
10723 3.5
10723 2
10723 2
10723 0
10723 0
10723 0
10724 1
10724 0
10724 2
10724 3.5
10724 2
10724 2
10724 0
10724 0
10724 0
10725 1
10725 0
10725 2
10725 3.5
10725 2
10725 2
10725 0
10725 0
10725 0
10823 1
10823 0
10823 2
10823 3.5
10823 2
10823 2
10823 0
10823 0
10823 0
10825 1
10825 0
10825 2
10825 3.5
10825 2
10825 2
10825 0
10825 0
10825 0
10826 1
10826 0
10826 2
10826 3.5
10826 2
10826 2
10826 0
10826 0
10826 0
10926 1
10926 0
10926 2
10926 3.5
10926 2
10926 2
10926 0
10926 0
10926 0
10927 1
10927 0
10927 2
10927 3.5
10927 2
10927 2
10927 0
10927 0
10927 0
11033 1
11033 0
11033 2
11033 3.5
11033 2
11033 2
11033 0
11033 0
11033 0
11036 1
11036 0
11036 2
11036 3.5
11036 2
11036 2
11036 0
11036 0
