pt_graph shape
10176 1
10176 1
10176 1
10176 1
10176 1
10176 1
10176 1
10176 1
10176 1
10260 1
10260 1
10260 1
10260 1
10260 1
10260 1
10260 1
10260 1
10260 1
10331 1
10331 1
10331 1
10331 1
10331 1
10331 1
10331 1
10331 1
10331 1
10343 1
10343 1
10343 1
10343 1
10343 1
10343 1
10343 1
10343 1
10343 1
10400 1
10400 1
10400 1
10400 1
10400 1
10400 1
10400 1
10400 1
10400 1
10504 1
10504 1
10504 1
10504 1
10504 1
10504 1
10504 1
10504 1
10504 1
10517 1
10517 1
10517 1
10517 1
10517 1
10517 1
10517 1
10517 1
10517 1
10521 1
10521 1
10521 1
10521 1
10521 1
10521 1
10521 1
10521 1
10521 1
10595 1
10595 1
10595 1
10595 1
10595 1
10595 1
10595 1
10595 1
10595 1
10711 1
10711 1
10711 1
10711 1
10711 1
10711 1
10711 1
10711 1
10711 1
10712 1
10712 1
10712 1
10712 1
10712 1
10712 1
10712 1
10712 1
10712 1
10720 1
10720 1
10720 1
10720 1
10720 1
10720 1
10720 1
10720 1
10720 1
10721 1
10721 1
10721 1
10721 1
10721 1
10721 1
10721 1
10721 1
10721 1
10814 1
10814 1
10814 1
10814 1
10814 1
10814 1
10814 1
10814 1
10814 1
10817 1
10817 1
10817 1
10817 1
10817 1
10817 1
10817 1
10817 1
10817 1
10824 1
10824 1
10824 1
10824 1
10824 1
10824 1
10824 1
10824 1
10824 1
10826 1
10826 1
10826 1
10826 1
10826 1
10826 1
10826 1
10826 1
10826 1
10918 1
10918 1
10918 1
10918 1
10918 1
10918 1
10918 1
10918 1
10918 1
10923 1
10923 1
10923 1
10923 1
10923 1
10923 1
10923 1
10923 1
10923 1
11026 1
11026 1
11026 1
11026 1
11026 1
11026 1
11026 1
11026 1
11026 1
11030 1
11030 1
11030 1
11030 1
11030 1
11030 1
11030 1
11030 1
11030 1
11149 1
11149 1
11149 1
11149 1
11149 1
11149 1
11149 1
11149 1
11149 1
11150 1
11150 1
11150 1
11150 1
11150 1
11150 1
11150 1
11150 1
11150 1
11151 1
11151 1
11151 1
11151 1
11151 1
11151 1
11151 1
11151 1
11151 1
11134 1
11134 1
11134 1
11134 1
11134 1
11134 1
11134 1
11134 1
11134 1
11148 1
11148 1
11148 1
11148 1
11148 1
11148 1
11148 1
11148 1
11148 1
11135 1
11135 1
11135 1
11135 1
11135 1
11135 1
11135 1
11135 1
