pt_graph freq
9611 1
9677 1
9682 1
9684 1
9690 1
9765 1
9822 1
9924 1
9925 1
10005 1
10006 1
10071 1
10256 1
10340 1
10343 1
10400 1
10402 1
10620 1
10624 1
10724 1
10798 1
10802 1
10902 1
10928 1
11359 1
11398 1
11512 1
11527 1
11533 1
11629 1
11781 1
11785 1
11923 1
12030 1
12114 1
12129 1
12130 1
12138 1
12150 1
12288 1
12382 1
12391 1
12396 1
12401 1
12511 1
12517 1
12522 1
12526 1
12529 1
12545 1
12546 1
12549 1
12552 1
12557 1
12643 1
12659 1
12662 1
12672 1
12754 1
12759 1
12767 1
12790 1
12796 1
12864 1
12887 1
12913 1
12914 1
13005 1
13006 1
13109 1
13114 1
13122 1
13208 1
13304 1
13323 1
13379 1
13405 1
13408 1
13478 1
13554 1
13556 1
13602 1
13650 1
13674 1
13714 1
13717 1
13718 1
13726 1
13727 1
13826 1
13833 1
13837 1
13838 1
13874 1
13889 1
14002 1
14059 1
14113 1
14203 1
14204 1
14205 1
14216 1
14283 1
14337 1
14342 1
14346 1
14348 1
14375 1
14386 1
14390 1
14392 1
14437 1
14531 1
14566 1
14635 1
14640 1
14701 1
14707 1
14731 1
14797 1
14821 1
14915 1
14961 1
14989 1
15099 1
15174 1
15262 1
15269 1
15493 1
15511 1
15556 1
15574 1
