pt_graph cpue_kghour
9547 1.08
9547 0
9547 2.59
9547 2.2
9547 2.5
9547 2.39
9547 0
9547 0
9547 0
9854 1.08
9854 0
9854 2.59
9854 2.2
9854 2.5
9854 2.39
9854 0
9854 0
9854 0
10016 1.08
10016 0
10016 2.59
10016 2.2
10016 2.5
10016 2.39
10016 0
10016 0
10016 0
10454 1.08
10454 0
10454 2.59
10454 2.2
10454 2.5
10454 2.39
10454 0
10454 0
10454 0
10529 1.08
10529 0
10529 2.59
10529 2.2
10529 2.5
10529 2.39
10529 0
10529 0
10529 0
10762 1.08
10762 0
10762 2.59
10762 2.2
10762 2.5
10762 2.39
10762 0
10762 0
10762 0
10865 1.08
10865 0
10865 2.59
10865 2.2
10865 2.5
10865 2.39
10865 0
10865 0
10865 0
10971 1.08
10971 0
10971 2.59
10971 2.2
10971 2.5
10971 2.39
10971 0
10971 0
10971 0
10958 1.08
10958 0
10958 2.59
10958 2.2
10958 2.5
10958 2.39
10958 0
10958 0
10958 0
11084 1.08
11084 0
11084 2.59
11084 2.2
11084 2.5
11084 2.39
11084 0
11084 0
11084 0
11082 1.08
11082 0
11082 2.59
11082 2.2
11082 2.5
11082 2.39
11082 0
11082 0
11082 0
11075 1.08
11075 0
11075 2.59
11075 2.2
11075 2.5
11075 2.39
11075 0
11075 0
11075 0
11325 1.08
11325 0
11325 2.59
11325 2.2
11325 2.5
11325 2.39
11325 0
11325 0
11325 0
11311 1.08
11311 0
11311 2.59
11311 2.2
11311 2.5
11311 2.39
11311 0
11311 0
11311 0
11451 1.08
11451 0
11451 2.59
11451 2.2
11451 2.5
11451 2.39
11451 0
11451 0
11451 0
11445 1.08
11445 0
11445 2.59
11445 2.2
11445 2.5
11445 2.39
11445 0
11445 0
11445 0
11702 1.08
11702 0
11702 2.59
11702 2.2
11702 2.5
11702 2.39
11702 0
11702 0
11702 0
11964 1.08
11964 0
11964 2.59
11964 2.2
11964 2.5
11964 2.39
11964 0
11964 0
11964 0
11961 1.08
11961 0
11961 2.59
11961 2.2
11961 2.5
11961 2.39
11961 0
11961 0
11961 0
12329 1.08
12329 0
12329 2.59
12329 2.2
12329 2.5
12329 2.39
12329 0
12329 0
12329 0
