pt_graph met
9545 0
9546 0
9547 0
9616 0
9617 0
9618 0
9619 0
9620 0
9621 0
9622 0
9623 0
9692 0
9693 0
9694 0
9695 0
9696 0
9697 0
9698 0
9699 0
9700 0
9769 0
9770 0
9771 0
9772 0
9773 0
9774 0
9775 0
9776 0
9777 0
9778 0
9851 0
9852 0
9853 0
9854 0
9855 0
9856 0
9857 0
9858 0
9859 0
9860 0
9933 0
9935 0
9939 0
9940 0
9941 0
10014 0
10015 0
10016 0
10018 0
10019 0
10020 0
10021 0
10022 0
10097 0
10098 0
10179 0
10180 0
10265 0
10346 0
10359 0
10360 0
10432 0
10434 0
10450 0
10453 0
10454 0
10546 0
10549 0
10550 0
10551 0
10552 0
10628 0
10650 0
10752 0
10753 0
10754 0
10756 0
10764 0
10765 0
10853 0
10858 0
11085 0
11207 0
11440 0
11446 0
11448 0
11450 0
11452 0
11453 0
11455 0
11576 0
11580 0
11581 0
11582 0
11583 0
11702 0
11703 0
11706 0
11708 0
11709 0
11711 0
11712 0
11836 0
11841 0
11962 0
11964 0
12327 0
12334 0
12336 0
12457 0
12459 0
12460 0
12464 0
12468 0
12591 0
12592 0
12594 0
12595 0
12596 0
12597 0
12598 0
12715 0
12716 0
12717 0
12719 0
12720 0
12834 0
12835 0
12836 0
12837 0
12838 0
12956 0
12957 0
