pt_graph freq
8508 1
8509 1
8559 1
8560 1
8561 1
8610 1
8612 1
8656 1
8657 1
8699 1
8700 1
8701 1
8710 1
8711 1
8743 1
8744 1
8745 1
8746 1
8755 1
8756 1
8789 1
8790 1
8791 1
8835 1
8836 1
8842 1
8843 1
8881 1
8882 1
8886 1
8925 1
8926 1
8928 1
8964 1
8965 1
8968 1
9007 1
9069 1
9129 1
9130 1
9150 1
9162 1
9163 1
9168 1
9171 1
9172 1
9173 1
9174 1
9192 1
9210 1
9214 1
9216 1
9217 1
9236 1
9259 1
9260 1
9261 1
9308 1
9309 1
9310 1
9331 1
9332 1
9357 1
9359 1
9360 1
9361 1
9362 1
9385 1
9411 1
9412 1
9413 1
9414 1
9415 1
9416 1
9419 1
9439 1
9440 1
9455 1
9456 1
9468 1
9469 1
9470 1
9472 1
9473 1
9477 1
9501 1
9516 1
9530 1
9532 1
9534 1
9535 1
9536 1
9585 1
9600 1
9601 1
9602 1
9603 1
9605 1
9606 1
9607 1
9643 1
9674 1
9676 1
9677 1
9678 1
9680 1
9681 1
9682 1
9683 1
9684 1
9685 1
9686 1
9720 1
9721 1
9730 1
9746 1
9747 1
9751 1
9753 1
9754 1
9757 1
9758 1
9759 1
9760 1
9761 1
9762 1
9763 1
9831 1
9833 1
9834 1
9835 1
9836 1
9838 1
9839 1
9841 1
9842 1
9843 1
9844 1
9846 1
9890 1
9901 1
9909 1
9911 1
9913 1
9917 1
9919 1
9920 1
9922 1
9923 1
9924 1
9925 1
9926 1
9927 1
9928 1
9997 1
9998 1
9999 1
10001 1
10002 1
10003 1
10004 1
10006 1
10007 1
10008 1
10009 1
10051 1
10070 1
10072 1
10075 1
10076 1
10081 1
10082 1
10084 1
10085 1
10086 1
10087 1
10089 1
10090 1
10091 1
10092 1
10154 1
10155 1
10156 1
10157 1
10159 1
10163 1
10164 1
10165 1
10166 1
10167 1
10169 1
10170 1
10171 1
10172 1
10173 1
10175 1
10237 1
10238 1
10239 1
10245 1
10248 1
10250 1
10252 1
10253 1
10254 1
10255 1
10256 1
10257 1
10258 1
10319 1
10320 1
10323 1
10324 1
10326 1
10327 1
10329 1
10332 1
10333 1
10334 1
10336 1
10337 1
10338 1
10339 1
10340 1
10404 1
10405 1
10406 1
10414 1
10415 1
10419 1
10420 1
10423 1
10424 1
10425 1
10427 1
10501 1
10502 1
10506 1
10507 1
10509 1
10510 1
10515 1
10516 1
10518 1
10520 1
10521 1
10522 1
10523 1
10524 1
10599 1
10601 1
10602 1
10603 1
10607 1
10608 1
10610 1
10613 1
10614 1
10615 1
10619 1
10620 1
10621 1
10622 1
10698 1
10699 1
10701 1
10704 1
10705 1
10708 1
10709 1
10710 1
10711 1
10712 1
10715 1
10718 1
10719 1
10721 1
10799 1
10801 1
10806 1
10807 1
10809 1
10812 1
10813 1
10814 1
10815 1
10816 1
10817 1
10818 1
10819 1
10820 1
10821 1
10822 1
10823 1
10902 1
10903 1
10914 1
10915 1
10916 1
10917 1
10918 1
