pt_graph met
9745 4
9747 4
9892 4
9981 4
9984 4
9985 4
10059 4
10067 4
10068 4
10137 4
10144 4
10156 4
10158 4
10218 4
10219 4
10232 4
10238 4
10239 4
10240 4
10305 4
10313 4
10318 4
10322 4
10393 4
10400 4
10407 4
10408 4
10490 4
10491 4
10503 4
10504 4
10591 4
10602 4
10603 4
10690 4
10691 4
10692 4
10700 4
10802 4
10889 4
10903 4
10910 4
10999 4
11012 4
11023 4
11122 4
11129 4
11131 4
11132 4
11227 4
11250 4
11252 4
11253 4
11255 4
11350 4
11364 4
11374 4
11375 4
11376 4
11377 4
11491 4
11501 4
11504 4
11619 4
11627 4
11628 4
11632 4
11756 4
11758 4
11890 4
11892 4
12003 4
12004 4
12125 4
12126 4
12262 4
12380 4
12381 4
12519 4
12522 4
12643 4
12644 4
12879 4
12883 4
12884 4
12999 4
13000 4
13004 4
13008 4
13114 4
13115 4
13121 4
13205 4
13211 4
13220 4
13223 4
13224 4
13316 4
13318 4
13320 4
13321 4
13322 4
13324 4
13399 4
13400 4
13401 4
13402 4
13404 4
13405 4
13481 4
13482 4
13483 4
13484 4
13485 4
13486 4
13551 4
13552 4
13553 4
13555 4
13556 4
13557 4
13612 4
13613 4
13614 4
13617 4
13618 4
13667 4
13668 4
13669 4
13671 4
13674 4
13713 4
13722 4
13724 4
13728 4
13768 4
13778 4
13783 4
13832 4
13889 4
13891 4
13946 4
13949 4
13952 4
13979 4
13980 4
13999 4
14000 4
14002 4
14003 4
14056 4
14058 4
14059 4
14064 4
14088 4
14107 4
14112 4
14113 4
14165 4
14207 4
14211 4
14213 4
14214 4
14217 4
14239 4
14240 4
14254 4
14255 4
14256 4
14257 4
14259 4
14260 4
14261 4
14263 4
14301 4
14302 4
14303 4
14307 4
14308 4
14310 4
14333 4
14347 4
14351 4
14352 4
14353 4
14354 4
14374 4
14377 4
14386 4
14396 4
14397 4
14426 4
14427 4
14428 4
14430 4
14437 4
14464 4
14465 4
14466 4
14467 4
14472 4
14473 4
14474 4
14500 4
14501 4
14503 4
14505 4
14507 4
14535 4
14536 4
14538 4
14539 4
14565 4
14566 4
14572 4
14573 4
14599 4
14601 4
14602 4
14603 4
14607 4
14608 4
14631 4
14633 4
14635 4
14636 4
14637 4
14638 4
14639 4
14640 4
14665 4
14666 4
14667 4
14668 4
14669 4
14670 4
14671 4
14672 4
14700 4
14701 4
14702 4
14703 4
14704 4
14705 4
14706 4
14732 4
14733 4
14734 4
14735 4
14736 4
14737 4
14738 4
14762 4
14763 4
14764 4
14765 4
14766 4
14767 4
14769 4
14794 4
14795 4
14797 4
14798 4
14799 4
14800 4
14801 4
14826 4
14827 4
14829 4
14830 4
14832 4
14861 4
14889 4
14890 4
14914 4
14915 4
15093 4
15094 4
15130 4
15132 4
15171 4
15173 4
15216 4
15217 4
15263 4
15264 4
