pt_graph cpue_kghour
11233 1.11
11233 0
11233 2.82
11233 2.28
11233 2.68
11233 2.54
11233 0
11233 0
11233 0
11234 1.11
11234 0
11234 2.82
11234 2.28
11234 2.68
11234 2.54
11234 0
11234 0
11234 0
11350 1.11
11350 0
11350 2.82
11350 2.28
11350 2.68
11350 2.54
11350 0
11350 0
11350 0
11354 1.11
11354 0
11354 2.82
11354 2.28
11354 2.68
11354 2.54
11354 0
11354 0
11354 0
11355 1.11
11355 0
11355 2.82
11355 2.28
11355 2.68
11355 2.54
11355 0
11355 0
11355 0
11476 1.11
11476 0
11476 2.82
11476 2.28
11476 2.68
11476 2.54
11476 0
11476 0
11476 0
11480 1.11
11480 0
11480 2.82
11480 2.28
11480 2.68
11480 2.54
11480 0
11480 0
11480 0
11481 1.11
11481 0
11481 2.82
11481 2.28
11481 2.68
11481 2.54
11481 0
11481 0
11481 0
11607 1.11
11607 0
11607 2.82
11607 2.28
11607 2.68
11607 2.54
11607 0
11607 0
11607 0
11736 1.11
11736 0
11736 2.82
11736 2.28
11736 2.68
11736 2.54
11736 0
11736 0
11736 0
11866 1.11
11866 0
11866 2.82
11866 2.28
11866 2.68
11866 2.54
11866 0
11866 0
11866 0
11990 1.11
11990 0
11990 2.82
11990 2.28
11990 2.68
11990 2.54
11990 0
11990 0
11990 0
11995 1.11
11995 0
11995 2.82
11995 2.28
11995 2.68
11995 2.54
11995 0
11995 0
11995 0
11997 1.11
11997 0
11997 2.82
11997 2.28
11997 2.68
11997 2.54
11997 0
11997 0
11997 0
12108 1.11
12108 0
12108 2.82
12108 2.28
12108 2.68
12108 2.54
12108 0
12108 0
12108 0
12113 1.11
12113 0
12113 2.82
12113 2.28
12113 2.68
12113 2.54
12113 0
12113 0
12113 0
12120 1.11
12120 0
12120 2.82
12120 2.28
12120 2.68
12120 2.54
12120 0
12120 0
12120 0
12366 1.11
12366 0
12366 2.82
12366 2.28
12366 2.68
12366 2.54
12366 0
12366 0
12366 0
12369 1.11
12369 0
12369 2.82
12369 2.28
12369 2.68
12369 2.54
12369 0
12369 0
12369 0
12493 1.11
12493 0
12493 2.82
12493 2.28
12493 2.68
12493 2.54
12493 0
12493 0
12493 0
12497 1.11
12497 0
12497 2.82
12497 2.28
12497 2.68
12497 2.54
12497 0
12497 0
12497 0
12499 1.11
12499 0
12499 2.82
12499 2.28
12499 2.68
12499 2.54
12499 0
12499 0
12499 0
12500 1.11
12500 0
12500 2.82
12500 2.28
12500 2.68
12500 2.54
12500 0
12500 0
12500 0
12501 1.11
12501 0
12501 2.82
12501 2.28
12501 2.68
12501 2.54
12501 0
12501 0
12501 0
12502 1.11
12502 0
12502 2.82
12502 2.28
12502 2.68
12502 2.54
12502 0
12502 0
12502 0
12626 1.11
12626 0
12626 2.82
12626 2.28
12626 2.68
12626 2.54
12626 0
12626 0
12626 0
12628 1.11
12628 0
12628 2.82
12628 2.28
12628 2.68
12628 2.54
12628 0
12628 0
12628 0
12629 1.11
12629 0
12629 2.82
12629 2.28
12629 2.68
12629 2.54
12629 0
12629 0
12629 0
12630 1.11
12630 0
12630 2.82
12630 2.28
12630 2.68
12630 2.54
12630 0
12630 0
12630 0
12747 1.11
12747 0
12747 2.82
12747 2.28
12747 2.68
12747 2.54
12747 0
12747 0
12747 0
12748 1.11
12748 0
12748 2.82
12748 2.28
12748 2.68
12748 2.54
12748 0
12748 0
12748 0
12750 1.11
12750 0
12750 2.82
12750 2.28
12750 2.68
12750 2.54
12750 0
12750 0
12750 0
12758 1.11
12758 0
12758 2.82
12758 2.28
12758 2.68
12758 2.54
12758 0
12758 0
12758 0
12862 1.11
12862 0
12862 2.82
12862 2.28
12862 2.68
12862 2.54
12862 0
12862 0
