pt_graph shape
11233 1
11233 1
11233 1
11233 1
11233 1
11233 1
11233 1
11233 1
11233 1
11234 1
11234 1
11234 1
11234 1
11234 1
11234 1
11234 1
11234 1
11234 1
11350 1
11350 1
11350 1
11350 1
11350 1
11350 1
11350 1
11350 1
11350 1
11354 1
11354 1
11354 1
11354 1
11354 1
11354 1
11354 1
11354 1
11354 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11355 1
11476 1
11476 1
11476 1
11476 1
11476 1
11476 1
11476 1
11476 1
11476 1
11480 1
11480 1
11480 1
11480 1
11480 1
11480 1
11480 1
11480 1
11480 1
11481 1
11481 1
11481 1
11481 1
11481 1
11481 1
11481 1
11481 1
11481 1
11607 1
11607 1
11607 1
11607 1
11607 1
11607 1
11607 1
11607 1
11607 1
11736 1
11736 1
11736 1
11736 1
11736 1
11736 1
11736 1
11736 1
11736 1
11866 1
11866 1
11866 1
11866 1
11866 1
11866 1
11866 1
11866 1
11866 1
11990 1
11990 1
11990 1
11990 1
11990 1
11990 1
11990 1
11990 1
11990 1
11995 1
11995 1
11995 1
11995 1
11995 1
11995 1
11995 1
11995 1
11995 1
11997 1
11997 1
11997 1
11997 1
11997 1
11997 1
11997 1
11997 1
11997 1
12108 1
12108 1
12108 1
12108 1
12108 1
12108 1
12108 1
12108 1
12108 1
12113 1
12113 1
12113 1
12113 1
12113 1
12113 1
12113 1
12113 1
12113 1
12120 1
12120 1
12120 1
12120 1
12120 1
12120 1
12120 1
12120 1
12120 1
12366 1
12366 1
12366 1
12366 1
12366 1
12366 1
12366 1
12366 1
12366 1
12369 1
12369 1
12369 1
12369 1
12369 1
12369 1
12369 1
12369 1
12369 1
12493 1
12493 1
12493 1
12493 1
12493 1
12493 1
12493 1
12493 1
12493 1
12497 1
12497 1
12497 1
12497 1
12497 1
12497 1
12497 1
12497 1
12497 1
12499 1
12499 1
12499 1
12499 1
12499 1
12499 1
12499 1
12499 1
12499 1
12500 1
12500 1
12500 1
12500 1
12500 1
12500 1
12500 1
12500 1
12500 1
12501 1
12501 1
12501 1
12501 1
12501 1
12501 1
12501 1
12501 1
12501 1
12502 1
12502 1
12502 1
12502 1
12502 1
12502 1
12502 1
12502 1
12502 1
12626 1
12626 1
