pt_graph shape
13769 1
13769 1
13769 1
13769 1
13769 1
13769 1
13769 1
13769 1
13769 1
13926 1
13926 1
13926 1
13926 1
13926 1
13926 1
13926 1
13926 1
13926 1
13927 1
13927 1
13927 1
13927 1
13927 1
13927 1
13927 1
13927 1
13927 1
13987 1
13987 1
13987 1
13987 1
13987 1
13987 1
13987 1
13987 1
13987 1
13998 1
13998 1
13998 1
13998 1
13998 1
13998 1
13998 1
13998 1
13998 1
14000 1
14000 1
14000 1
14000 1
14000 1
14000 1
14000 1
14000 1
14000 1
14037 1
14037 1
14037 1
14037 1
14037 1
14037 1
14037 1
14037 1
14037 1
14047 1
14047 1
14047 1
14047 1
14047 1
14047 1
14047 1
14047 1
14047 1
14051 1
14051 1
14051 1
14051 1
14051 1
14051 1
14051 1
14051 1
14051 1
14057 1
14057 1
14057 1
14057 1
14057 1
14057 1
14057 1
14057 1
14057 1
14109 1
14109 1
14109 1
14109 1
14109 1
14109 1
14109 1
14109 1
14109 1
14147 1
14147 1
14147 1
14147 1
14147 1
14147 1
14147 1
14147 1
14147 1
14166 1
14166 1
14166 1
14166 1
14166 1
14166 1
14166 1
14166 1
14166 1
14196 1
14196 1
14196 1
14196 1
14196 1
14196 1
14196 1
14196 1
14196 1
14198 1
14198 1
14198 1
14198 1
14198 1
14198 1
14198 1
14198 1
14198 1
14243 1
14243 1
14243 1
14243 1
14243 1
14243 1
14243 1
14243 1
14243 1
14262 1
14262 1
14262 1
14262 1
14262 1
14262 1
14262 1
14262 1
14262 1
14377 1
14377 1
14377 1
14377 1
14377 1
14377 1
14377 1
14377 1
14377 1
14429 1
14429 1
14429 1
14429 1
14429 1
14429 1
14429 1
14429 1
14429 1
14492 1
14492 1
14492 1
14492 1
14492 1
14492 1
14492 1
14492 1
14492 1
14537 1
14537 1
14537 1
14537 1
14537 1
14537 1
14537 1
14537 1
14537 1
14568 1
14568 1
14568 1
14568 1
14568 1
14568 1
14568 1
14568 1
14568 1
14639 1
14639 1
14639 1
14639 1
14639 1
14639 1
14639 1
14639 1
14639 1
14659 1
14659 1
14659 1
14659 1
14659 1
14659 1
14659 1
14659 1
14659 1
14821 1
14821 1
14821 1
14821 1
14821 1
14821 1
14821 1
14821 1
14821 1
14822 1
14822 1
14822 1
14822 1
14822 1
14822 1
14822 1
14822 1
14822 1
14885 1
14885 1
14885 1
14885 1
14885 1
14885 1
14885 1
14885 1
14885 1
14912 1
14912 1
14912 1
14912 1
14912 1
14912 1
14912 1
14912 1
14912 1
14962 1
14962 1
14962 1
14962 1
14962 1
14962 1
14962 1
14962 1
14962 1
14989 1
14989 1
14989 1
14989 1
14989 1
14989 1
14989 1
14989 1
14989 1
15005 1
15005 1
15005 1
15005 1
15005 1
15005 1
15005 1
15005 1
15005 1
15059 1
15059 1
15059 1
15059 1
15059 1
15059 1
15059 1
15059 1
15059 1
15064 1
15064 1
15064 1
15064 1
15064 1
15064 1
15064 1
15064 1
15064 1
15065 1
15065 1
15065 1
15065 1
15065 1
15065 1
15065 1
15065 1
15065 1
15092 1
15092 1
15092 1
15092 1
15092 1
15092 1
15092 1
15092 1
15092 1
15093 1
15093 1
15093 1
15093 1
15093 1
15093 1
15093 1
15093 1
15093 1
15094 1
15094 1
15094 1
15094 1
15094 1
15094 1
15094 1
15094 1
15094 1
15127 1
15127 1
15127 1
15127 1
15127 1
15127 1
15127 1
15127 1
15127 1
15132 1
15132 1
15132 1
15132 1
15132 1
15132 1
15132 1
15132 1
15132 1
15164 1
15164 1
15164 1
15164 1
15164 1
15164 1
15164 1
15164 1
15164 1
15216 1
15216 1
15216 1
15216 1
15216 1
15216 1
15216 1
15216 1
15216 1
15220 1
15220 1
15220 1
15220 1
15220 1
15220 1
15220 1
15220 1
15220 1
15255 1
15255 1
15255 1
15255 1
15255 1
15255 1
15255 1
15255 1
15255 1
15264 1
15264 1
15264 1
15264 1
15264 1
15264 1
15264 1
15264 1
15264 1
15265 1
15265 1
15265 1
15265 1
15265 1
15265 1
15265 1
15265 1
15265 1
15266 1
15266 1
15266 1
15266 1
15266 1
15266 1
15266 1
15266 1
15266 1
15306 1
15306 1
15306 1
15306 1
15306 1
15306 1
15306 1
15306 1
15306 1
15307 1
15307 1
15307 1
15307 1
15307 1
15307 1
15307 1
15307 1
15307 1
15312 1
15312 1
15312 1
15312 1
15312 1
15312 1
15312 1
15312 1
15312 1
15354 1
15354 1
15354 1
15354 1
15354 1
15354 1
15354 1
15354 1
15354 1
15418 1
15418 1
15418 1
15418 1
15418 1
15418 1
15418 1
15418 1
15418 1
15422 1
15422 1
15422 1
15422 1
15422 1
15422 1
15422 1
15422 1
15422 1
15486 1
15486 1
15486 1
15486 1
15486 1
15486 1
15486 1
15486 1
15486 1
15544 1
15544 1
15544 1
15544 1
15544 1
15544 1
15544 1
15544 1
15544 1
15550 1
15550 1
15550 1
15550 1
15550 1
15550 1
15550 1
15550 1
15550 1
15553 1
15553 1
15553 1
15553 1
15553 1
15553 1
15553 1
15553 1
15553 1
15619 1
15619 1
15619 1
15619 1
15619 1
15619 1
15619 1
15619 1
15619 1
15620 1
15620 1
15620 1
15620 1
15620 1
15620 1
15620 1
15620 1
15620 1
15669 1
15669 1
15669 1
15669 1
15669 1
15669 1
15669 1
15669 1
15669 1
15674 1
15674 1
15674 1
15674 1
15674 1
15674 1
15674 1
15674 1
15674 1
15735 1
15735 1
15735 1
15735 1
15735 1
15735 1
15735 1
15735 1
15735 1
15749 1
15749 1
15749 1
15749 1
15749 1
15749 1
15749 1
15749 1
15749 1
15801 1
15801 1
15801 1
15801 1
15801 1
15801 1
15801 1
15801 1
15801 1
15818 1
15818 1
15818 1
15818 1
15818 1
15818 1
15818 1
15818 1
15818 1
15867 1
15867 1
15867 1
15867 1
15867 1
15867 1
15867 1
15867 1
15867 1
15872 1
15872 1
15872 1
15872 1
15872 1
15872 1
15872 1
15872 1
15872 1
15883 1
15883 1
15883 1
15883 1
15883 1
15883 1
15883 1
15883 1
15883 1
15884 1
15884 1
15884 1
15884 1
15884 1
15884 1
15884 1
15884 1
15884 1
15948 1
