pt_graph met
13769 3
13926 3
13927 3
13987 3
13998 3
14000 3
14037 3
14047 3
14051 3
14057 3
14109 3
14147 3
14166 3
14196 3
14198 3
14243 3
14262 3
14377 3
14429 3
14492 3
14537 3
14568 3
14639 3
14659 3
14821 3
14822 3
14885 3
14912 3
14962 3
14989 3
15005 3
15059 3
15064 3
15065 3
15092 3
15093 3
15094 3
15127 3
15132 3
15164 3
15216 3
15220 3
15255 3
15264 3
15265 3
15266 3
15306 3
15307 3
15312 3
15354 3
15418 3
15422 3
15486 3
15544 3
15550 3
15553 3
15619 3
15620 3
15669 3
15674 3
15735 3
15749 3
15801 3
15818 3
15867 3
15872 3
15883 3
15884 3
15948 3
15995 3
16153 3
16194 3
16279 3
16284 3
16288 3
16290 3
16294 3
16333 3
16335 3
16411 3
16415 3
16421 3
16465 3
16467 3
16493 3
16498 3
16548 3
16553 3
16581 3
16585 3
16590 3
16594 3
16598 3
16624 3
16715 3
16719 3
16720 3
16721 3
16725 3
16760 3
16767 3
16812 3
16818 3
16819 3
16820 3
16859 3
16869 3
16910 3
16954 3
16998 3
17000 3
17034 3
17080 3
17123 3
17124 3
17166 3
17242 3
17256 3
17276 3
17288 3
17289 3
17351 3
17356 3
17363 3
17392 3
17426 3
17492 3
17497 3
17499 3
17500 3
17529 3
17530 3
17536 3
17561 3
17610 3
17661 3
17664 3
17705 3
17754 3
17840 3
18123 3
18124 3
18168 3
18173 3
18218 3
18314 3
18316 3
18384 3
18419 3
18478 3
18602 3
18744 3
18770 3
18792 3
18824 3
18832 3
18865 3
18866 3
18901 3
18905 3
18946 3
18952 3
18962 3
18997 3
19023 3
19026 3
19065 3
19072 3
19097 3
19140 3
19168 3
19170 3
19173 3
19176 3
19204 3
19205 3
19237 3
19297 3
