pt_graph freq
16182 1
16230 1
16275 1
16409 1
16410 1
16450 1
16451 1
16454 1
16498 1
16540 1
16585 1
16630 1
16631 1
16637 1
16638 1
16671 1
16675 1
16676 1
16677 1
16682 1
16721 1
16727 1
16728 1
16762 1
16767 1
16768 1
16811 1
16813 1
16816 1
16817 1
16861 1
16862 1
16876 1
16959 1
17008 1
17130 1
17131 1
17132 1
17173 1
17174 1
17202 1
17216 1
17217 1
17250 1
17254 1
17255 1
17280 1
17318 1
17330 1
17393 1
17397 1
17427 1
17428 1
17429 1
17458 1
17459 1
17460 1
17461 1
17462 1
17485 1
17492 1
17493 1
17494 1
17495 1
17496 1
17497 1
17498 1
17528 1
17534 1
17535 1
17537 1
17538 1
17539 1
17567 1
17568 1
17569 1
17570 1
17574 1
17575 1
17576 1
17577 1
17579 1
17610 1
17611 1
17612 1
17613 1
17614 1
17616 1
17617 1
17618 1
17619 1
17620 1
17652 1
17653 1
17654 1
17655 1
17656 1
17657 1
17658 1
17659 1
17661 1
17694 1
17698 1
17699 1
17702 1
17703 1
17704 1
17705 1
17706 1
17745 1
17747 1
17748 1
17749 1
17750 1
17751 1
17753 1
17754 1
17755 1
17794 1
17796 1
17798 1
17832 1
17835 1
17841 1
17843 1
17882 1
17889 1
17929 1
17984 1
18026 1
18027 1
18071 1
18073 1
18075 1
18078 1
18118 1
18119 1
18121 1
18122 1
18166 1
18167 1
18169 1
18170 1
18216 1
18220 1
18221 1
18223 1
18267 1
18313 1
18314 1
18316 1
18354 1
