pt_graph cpue_kghour
14692 1.1
14692 0
14692 3.04
14692 2.1
14692 2
14692 2.56
14692 0
14692 0
14692 0
14725 1.1
14725 0
14725 3.04
14725 2.1
14725 2
14725 2.56
14725 0
14725 0
14725 0
14729 1.1
14729 0
14729 3.04
14729 2.1
14729 2
14729 2.56
14729 0
14729 0
14729 0
14819 1.1
14819 0
14819 3.04
14819 2.1
14819 2
14819 2.56
14819 0
14819 0
14819 0
14822 1.1
14822 0
14822 3.04
14822 2.1
14822 2
14822 2.56
14822 0
14822 0
14822 0
14855 1.1
14855 0
14855 3.04
14855 2.1
14855 2
14855 2.56
14855 0
14855 0
14855 0
14910 1.1
14910 0
14910 3.04
14910 2.1
14910 2
14910 2.56
14910 0
14910 0
14910 0
14911 1.1
14911 0
14911 3.04
14911 2.1
14911 2
14911 2.56
14911 0
14911 0
14911 0
15014 1.1
15014 0
15014 3.04
15014 2.1
15014 2
15014 2.56
15014 0
15014 0
15014 0
15039 1.1
15039 0
15039 3.04
15039 2.1
15039 2
15039 2.56
15039 0
15039 0
15039 0
15040 1.1
15040 0
15040 3.04
15040 2.1
15040 2
15040 2.56
15040 0
15040 0
15040 0
15043 1.1
15043 0
15043 3.04
15043 2.1
15043 2
15043 2.56
15043 0
15043 0
15043 0
15060 1.1
15060 0
15060 3.04
15060 2.1
15060 2
15060 2.56
15060 0
15060 0
15060 0
15066 1.1
15066 0
15066 3.04
15066 2.1
15066 2
15066 2.56
15066 0
15066 0
15066 0
15067 1.1
15067 0
15067 3.04
15067 2.1
15067 2
15067 2.56
15067 0
15067 0
15067 0
15068 1.1
15068 0
15068 3.04
15068 2.1
15068 2
15068 2.56
15068 0
15068 0
15068 0
15070 1.1
15070 0
15070 3.04
15070 2.1
15070 2
15070 2.56
15070 0
15070 0
15070 0
15094 1.1
15094 0
15094 3.04
15094 2.1
15094 2
15094 2.56
15094 0
15094 0
15094 0
15095 1.1
15095 0
15095 3.04
15095 2.1
15095 2
15095 2.56
15095 0
15095 0
15095 0
15098 1.1
15098 0
15098 3.04
15098 2.1
15098 2
15098 2.56
15098 0
15098 0
15098 0
15099 1.1
15099 0
15099 3.04
15099 2.1
15099 2
15099 2.56
15099 0
15099 0
15099 0
15100 1.1
15100 0
15100 3.04
15100 2.1
15100 2
15100 2.56
15100 0
15100 0
15100 0
15131 1.1
15131 0
15131 3.04
15131 2.1
15131 2
15131 2.56
15131 0
15131 0
15131 0
15133 1.1
15133 0
15133 3.04
15133 2.1
15133 2
15133 2.56
15133 0
15133 0
15133 0
15134 1.1
15134 0
15134 3.04
15134 2.1
15134 2
15134 2.56
15134 0
15134 0
15134 0
15135 1.1
15135 0
15135 3.04
15135 2.1
15135 2
15135 2.56
15135 0
15135 0
15135 0
15136 1.1
15136 0
15136 3.04
15136 2.1
15136 2
15136 2.56
15136 0
15136 0
15136 0
15137 1.1
15137 0
15137 3.04
15137 2.1
15137 2
15137 2.56
15137 0
15137 0
15137 0
15169 1.1
15169 0
15169 3.04
15169 2.1
15169 2
15169 2.56
15169 0
15169 0
15169 0
15172 1.1
15172 0
15172 3.04
15172 2.1
15172 2
15172 2.56
15172 0
15172 0
15172 0
15173 1.1
15173 0
15173 3.04
15173 2.1
15173 2
15173 2.56
15173 0
15173 0
15173 0
15174 1.1
15174 0
15174 3.04
15174 2.1
15174 2
15174 2.56
15174 0
15174 0
15174 0
15175 1.1
15175 0
15175 3.04
15175 2.1
15175 2
15175 2.56
15175 0
15175 0
15175 0
15176 1.1
15176 0
15176 3.04
15176 2.1
15176 2
15176 2.56
15176 0
15176 0
15176 0
15177 1.1
