pt_graph shape
11043 1
11043 1
11043 1
11043 1
11043 1
11043 1
11043 1
11043 1
11043 1
11408 1
11408 1
11408 1
11408 1
11408 1
11408 1
11408 1
11408 1
11408 1
11405 1
11405 1
11405 1
11405 1
11405 1
11405 1
11405 1
11405 1
11405 1
11537 1
11537 1
11537 1
11537 1
11537 1
11537 1
11537 1
11537 1
11537 1
11536 1
11536 1
11536 1
11536 1
11536 1
11536 1
11536 1
11536 1
11536 1
11666 1
11666 1
11666 1
11666 1
11666 1
11666 1
11666 1
11666 1
11666 1
11665 1
11665 1
11665 1
11665 1
11665 1
11665 1
11665 1
11665 1
11665 1
11664 1
11664 1
11664 1
11664 1
11664 1
11664 1
11664 1
11664 1
11664 1
11796 1
11796 1
11796 1
11796 1
11796 1
11796 1
11796 1
11796 1
11796 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12175 1
12175 1
12175 1
12175 1
12175 1
12175 1
12175 1
12175 1
12175 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12329 1
12329 1
12329 1
12329 1
12329 1
12329 1
12329 1
12329 1
12329 1
12301 1
12301 1
12301 1
12301 1
12301 1
12301 1
12301 1
12301 1
12301 1
12300 1
12300 1
12300 1
12300 1
12300 1
12300 1
12300 1
12300 1
12300 1
12461 1
12461 1
12461 1
12461 1
12461 1
12461 1
12461 1
12461 1
12461 1
12460 1
12460 1
12460 1
12460 1
12460 1
12460 1
12460 1
12460 1
12460 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12458 1
12458 1
12458 1
12458 1
12458 1
12458 1
12458 1
12458 1
12458 1
12593 1
12593 1
12593 1
12593 1
12593 1
12593 1
12593 1
12593 1
12593 1
12592 1
12592 1
12592 1
12592 1
12592 1
12592 1
12592 1
12592 1
12592 1
12591 1
12591 1
12591 1
12591 1
12591 1
12591 1
12591 1
12591 1
12591 1
12588 1
12588 1
12588 1
12588 1
12588 1
12588 1
12588 1
12588 1
12588 1
12718 1
12718 1
12718 1
12718 1
12718 1
12718 1
12718 1
12718 1
12718 1
12717 1
12717 1
12717 1
12717 1
12717 1
12717 1
12717 1
12717 1
12717 1
12716 1
12716 1
12716 1
12716 1
12716 1
12716 1
12716 1
12716 1
12716 1
12715 1
12715 1
12715 1
12715 1
12715 1
12715 1
12715 1
12715 1
12715 1
12712 1
12712 1
12712 1
12712 1
12712 1
12712 1
12712 1
12712 1
12712 1
12711 1
12711 1
12711 1
12711 1
12711 1
12711 1
12711 1
12711 1
12711 1
12698 1
12698 1
12698 1
12698 1
12698 1
12698 1
12698 1
12698 1
12698 1
12697 1
12697 1
12697 1
12697 1
12697 1
12697 1
12697 1
12697 1
12697 1
12696 1
12696 1
12696 1
12696 1
12696 1
12696 1
12696 1
12696 1
12696 1
12690 1
12690 1
12690 1
12690 1
12690 1
12690 1
12690 1
12690 1
12690 1
12836 1
12836 1
12836 1
12836 1
12836 1
12836 1
12836 1
12836 1
12836 1
12835 1
12835 1
12835 1
12835 1
12835 1
12835 1
12835 1
12835 1
12835 1
12834 1
12834 1
12834 1
12834 1
12834 1
12834 1
12834 1
12834 1
12834 1
12833 1
12833 1
12833 1
12833 1
12833 1
12833 1
12833 1
12833 1
12833 1
12832 1
12832 1
12832 1
12832 1
12832 1
12832 1
12832 1
12832 1
12832 1
12831 1
12831 1
12831 1
12831 1
12831 1
12831 1
12831 1
12831 1
12831 1
12830 1
12830 1
12830 1
12830 1
12830 1
12830 1
12830 1
12830 1
12830 1
12829 1
12829 1
12829 1
12829 1
12829 1
12829 1
12829 1
12829 1
12829 1
12826 1
12826 1
12826 1
12826 1
12826 1
12826 1
12826 1
12826 1
12826 1
12820 1
12820 1
12820 1
12820 1
12820 1
12820 1
12820 1
12820 1
12820 1
12819 1
12819 1
12819 1
12819 1
12819 1
12819 1
12819 1
12819 1
12819 1
12817 1
12817 1
12817 1
12817 1
12817 1
12817 1
12817 1
12817 1
12817 1
12816 1
12816 1
12816 1
12816 1
