pt_graph scale
9769 1
9769 0
9769 2
9769 3.5
9769 2
9769 2
9769 0
9769 0
9769 0
9933 1
9933 0
9933 2
9933 3.5
9933 2
9933 2
9933 0
9933 0
9933 0
19520 1
19520 0
19520 2
19520 3.5
19520 2
19520 2
19520 0
19520 0
19520 0
10014 1
10014 0
10014 2
10014 3.5
10014 2
10014 2
10014 0
10014 0
10014 0
10179 1
10179 0
10179 2
10179 3.5
10179 2
10179 2
10179 0
10179 0
10179 0
10178 1
10178 0
10178 2
10178 3.5
10178 2
10178 2
10178 0
10178 0
10178 0
10266 1
10266 0
10266 2
10266 3.5
10266 2
10266 2
10266 0
10266 0
10266 0
10263 1
10263 0
10263 2
10263 3.5
10263 2
10263 2
10263 0
10263 0
10263 0
10358 1
10358 0
10358 2
10358 3.5
10358 2
10358 2
10358 0
10358 0
10358 0
10347 1
10347 0
10347 2
10347 3.5
10347 2
10347 2
10347 0
10347 0
10347 0
10432 1
10432 0
10432 2
10432 3.5
10432 2
10432 2
10432 0
10432 0
10432 0
10431 1
10431 0
10431 2
10431 3.5
10431 2
10431 2
10431 0
10431 0
10431 0
10535 1
10535 0
10535 2
10535 3.5
10535 2
10535 2
10535 0
10535 0
10535 0
10530 1
10530 0
10530 2
10530 3.5
10530 2
10530 2
10530 0
10530 0
10530 0
10631 1
10631 0
10631 2
10631 3.5
10631 2
10631 2
10631 0
10631 0
10631 0
10629 1
10629 0
10629 2
10629 3.5
10629 2
10629 2
10629 0
10629 0
10629 0
10628 1
10628 0
10628 2
10628 3.5
10628 2
10628 2
10628 0
10628 0
10628 0
10747 1
10747 0
10747 2
10747 3.5
10747 2
10747 2
10747 0
10747 0
10747 0
11447 1
11447 0
11447 2
11447 3.5
11447 2
11447 2
11447 0
11447 0
11447 0
11446 1
11446 0
11446 2
11446 3.5
11446 2
11446 2
11446 0
11446 0
11446 0
11445 1
11445 0
11445 2
11445 3.5
11445 2
11445 2
11445 0
11445 0
11445 0
11575 1
11575 0
11575 2
11575 3.5
11575 2
11575 2
11575 0
11575 0
11575 0
11574 1
11574 0
11574 2
11574 3.5
11574 2
11574 2
11574 0
11574 0
11574 0
11536 1
11536 0
11536 2
11536 3.5
11536 2
11536 2
11536 0
11536 0
11536 0
11664 1
11664 0
11664 2
11664 3.5
11664 2
11664 2
11664 0
11664 0
11664 0
11797 1
11797 0
11797 2
11797 3.5
11797 2
11797 2
11797 0
11797 0
11797 0
11796 1
11796 0
11796 2
11796 3.5
11796 2
11796 2
11796 0
11796 0
11796 0
11795 1
11795 0
11795 2
11795 3.5
11795 2
11795 2
11795 0
11795 0
11795 0
11794 1
11794 0
11794 2
11794 3.5
11794 2
11794 2
11794 0
11794 0
11794 0
11925 1
11925 0
11925 2
11925 3.5
11925 2
11925 2
11925 0
11925 0
11925 0
19503 1
19503 0
19503 2
19503 3.5
19503 2
19503 2
19503 0
19503 0
19503 0
12175 1
12175 0
12175 2
12175 3.5
12175 2
12175 2
12175 0
12175 0
12175 0
12173 1
12173 0
12173 2
12173 3.5
12173 2
12173 2
12173 0
12173 0
12173 0
12172 1
12172 0
12172 2
12172 3.5
12172 2
12172 2
12172 0
12172 0
12172 0
12333 1
12333 0
12333 2
12333 3.5
12333 2
12333 2
12333 0
12333 0
12333 0
12299 1
12299 0
12299 2
12299 3.5
12299 2
12299 2
12299 0
12299 0
12299 0
12298 1
12298 0
12298 2
12298 3.5
12298 2
12298 2
12298 0
12298 0
12298 0
12297 1
12297 0
12297 2
12297 3.5
12297 2
12297 2
12297 0
12297 0
12297 0
12463 1
12463 0
12463 2
12463 3.5
12463 2
12463 2
12463 0
12463 0
12463 0
12430 1
12430 0
12430 2
12430 3.5
12430 2
12430 2
12430 0
12430 0
12430 0
12694 1
12694 0
12694 2
12694 3.5
12694 2
12694 2
12694 0
12694 0
12694 0
12679 1
12679 0
12679 2
12679 3.5
12679 2
12679 2
12679 0
12679 0
12679 0
12836 1
12836 0
12836 2
12836 3.5
12836 2
12836 2
12836 0
12836 0
12836 0
12824 1
12824 0
12824 2
