pt_graph freq
9616 1
9617 1
9692 1
9693 1
9694 1
9695 1
9769 1
9773 1
9775 1
9851 1
9852 1
9853 1
9854 1
9857 1
9938 1
9940 1
9941 1
10014 1
10015 1
10022 1
10097 1
10098 1
10179 1
10180 1
10262 1
10432 1
10531 1
10547 1
10549 1
10550 1
10752 1
10753 1
10853 1
10933 1
11041 1
11280 1
11281 1
11312 1
11315 1
11405 1
11441 1
11444 1
11445 1
11446 1
11450 1
11452 1
11534 1
11571 1
11574 1
11576 1
11579 1
11581 1
11661 1
11664 1
11702 1
11703 1
11706 1
11707 1
11708 1
11710 1
11792 1
11793 1
11794 1
11795 1
11796 1
11840 1
11922 1
11923 1
11924 1
11925 1
11926 1
11962 1
11963 1
11964 1
12046 1
12047 1
12048 1
12049 1
12050 1
12054 1
12168 1
12169 1
12170 1
12171 1
12173 1
12174 1
12175 1
12292 1
12293 1
12294 1
12295 1
12296 1
12297 1
12298 1
12300 1
12301 1
12326 1
12327 1
12331 1
12336 1
12423 1
12424 1
12425 1
12426 1
12427 1
12453 1
12458 1
12459 1
12460 1
12461 1
12462 1
12464 1
12554 1
12555 1
12556 1
12557 1
12558 1
12559 1
12576 1
12587 1
12588 1
12591 1
12592 1
12595 1
12598 1
12676 1
12677 1
12678 1
12679 1
12680 1
12681 1
12682 1
12694 1
12710 1
12715 1
12716 1
12717 1
12718 1
12719 1
12720 1
12793 1
12794 1
12795 1
12796 1
12797 1
12798 1
12799 1
12800 1
12804 1
12808 1
12809 1
12818 1
12819 1
12824 1
12831 1
12832 1
12834 1
12835 1
12836 1
12838 1
12909 1
12910 1
12911 1
12912 1
12913 1
12914 1
12916 1
12917 1
12918 1
12919 1
12923 1
12924 1
12932 1
12935 1
12936 1
12939 1
12941 1
12947 1
12951 1
12953 1
12956 1
12957 1
13025 1
13026 1
13027 1
13028 1
13029 1
13030 1
13031 1
13034 1
13035 1
13041 1
13054 1
13061 1
13063 1
13065 1
13138 1
13140 1
13141 1
13144 1
13156 1
13164 1
13165 1
13166 1
13168 1
13169 1
13170 1
13171 1
13242 1
13243 1
13244 1
13245 1
13248 1
13250 1
13255 1
13256 1
13259 1
13260 1
13264 1
13265 1
13336 1
13337 1
13341 1
13343 1
13345 1
13347 1
13348 1
13349 1
13350 1
13351 1
13352 1
13417 1
13418 1
13419 1
13420 1
13421 1
13422 1
13423 1
13424 1
13425 1
13426 1
13427 1
13428 1
13430 1
13431 1
13432 1
13495 1
13496 1
13497 1
13498 1
