pt_graph cpue_kghour
9617 1.08
9617 0
9617 2.9
9617 2.09
9617 2
9617 2.48
9617 0
9617 0
9617 0
9616 1.08
9616 0
9616 2.9
9616 2.09
9616 2
9616 2.48
9616 0
9616 0
9616 0
9695 1.08
9695 0
9695 2.9
9695 2.09
9695 2
9695 2.48
9695 0
9695 0
9695 0
9693 1.08
9693 0
9693 2.9
9693 2.09
9693 2
9693 2.48
9693 0
9693 0
9693 0
9692 1.08
9692 0
9692 2.9
9692 2.09
9692 2
9692 2.48
9692 0
9692 0
9692 0
9774 1.08
9774 0
9774 2.9
9774 2.09
9774 2
9774 2.48
9774 0
9774 0
9774 0
9773 1.08
9773 0
9773 2.9
9773 2.09
9773 2
9773 2.48
9773 0
9773 0
9773 0
9769 1.08
9769 0
9769 2.9
9769 2.09
9769 2
9769 2.48
9769 0
9769 0
9769 0
9855 1.08
9855 0
9855 2.9
9855 2.09
9855 2
9855 2.48
9855 0
9855 0
9855 0
9854 1.08
9854 0
9854 2.9
9854 2.09
9854 2
9854 2.48
9854 0
9854 0
9854 0
9852 1.08
9852 0
9852 2.9
9852 2.09
9852 2
9852 2.48
9852 0
9852 0
9852 0
9851 1.08
9851 0
9851 2.9
9851 2.09
9851 2
9851 2.48
9851 0
9851 0
9851 0
9941 1.08
9941 0
9941 2.9
9941 2.09
9941 2
9941 2.48
9941 0
9941 0
9941 0
9940 1.08
9940 0
9940 2.9
9940 2.09
9940 2
9940 2.48
9940 0
9940 0
9940 0
9939 1.08
9939 0
9939 2.9
9939 2.09
9939 2
9939 2.48
9939 0
9939 0
9939 0
9937 1.08
9937 0
9937 2.9
9937 2.09
9937 2
9937 2.48
9937 0
9937 0
9937 0
9936 1.08
9936 0
9936 2.9
9936 2.09
9936 2
9936 2.48
9936 0
9936 0
9936 0
9934 1.08
9934 0
9934 2.9
9934 2.09
9934 2
9934 2.48
9934 0
9934 0
9934 0
10022 1.08
10022 0
10022 2.9
10022 2.09
10022 2
10022 2.48
10022 0
10022 0
10022 0
10021 1.08
10021 0
10021 2.9
10021 2.09
10021 2
10021 2.48
10021 0
10021 0
10021 0
10019 1.08
10019 0
10019 2.9
10019 2.09
10019 2
10019 2.48
10019 0
10019 0
10019 0
10098 1.08
10098 0
10098 2.9
10098 2.09
10098 2
10098 2.48
10098 0
10098 0
10098 0
10097 1.08
10097 0
10097 2.9
10097 2.09
10097 2
10097 2.48
10097 0
10097 0
10097 0
10262 1.08
10262 0
10262 2.9
10262 2.09
10262 2
10262 2.48
10262 0
10262 0
10262 0
10550 1.08
10550 0
10550 2.9
10550 2.09
10550 2
10550 2.48
10550 0
10550 0
10550 0
10548 1.08
10548 0
10548 2.9
10548 2.09
10548 2
10548 2.48
10548 0
10548 0
10548 0
10547 1.08
10547 0
10547 2.9
10547 2.09
10547 2
10547 2.48
10547 0
10547 0
10547 0
10753 1.08
10753 0
10753 2.9
10753 2.09
10753 2
10753 2.48
10753 0
10753 0
10753 0
10855 1.08
10855 0
10855 2.9
10855 2.09
10855 2
10855 2.48
10855 0
10855 0
10855 0
10853 1.08
10853 0
10853 2.9
10853 2.09
10853 2
10853 2.48
10853 0
10853 0
10853 0
11280 1.08
11280 0
11280 2.9
11280 2.09
11280 2
11280 2.48
11280 0
11280 0
11280 0
11452 1.08
11452 0
11452 2.9
11452 2.09
11452 2
11452 2.48
11452 0
11452 0
11452 0
11450 1.08
11450 0
11450 2.9
11450 2.09
11450 2
11450 2.48
11450 0
11450 0
11450 0
11449 1.08
11449 0
11449 2.9
11449 2.09
11449 2
11449 2.48
11449 0
11449 0
11449 0
11448 1.08
11448 0
11448 2.9
11448 2.09
11448 2
11448 2.48
11448 0
11448 0
11448 0
11441 1.08
11441 0
11441 2.9
11441 2.09
11441 2
11441 2.48
11441 0
11441 0
11441 0
11409 1.08
11409 0
11409 2.9
11409 2.09
11409 2
11409 2.48
11409 0
11409 0
11409 0
11405 1.08
11405 0
11405 2.9
11405 2.09
11405 2
11405 2.48
11405 0
11405 0
11405 0
11404 1.08
11404 0
11404 2.9
11404 2.09
11404 2
11404 2.48
11404 0
11404 0
11404 0
11581 1.08
11581 0
11581 2.9
11581 2.09
11581 2
11581 2.48
11581 0
11581 0
11581 0
11580 1.08
11580 0
11580 2.9
11580 2.09
11580 2
11580 2.48
11580 0
11580 0
11580 0
11578 1.08
11578 0
