pt_graph met
9616 2
9617 2
9692 2
9693 2
9695 2
9769 2
9773 2
9774 2
9851 2
9852 2
9854 2
9855 2
9934 2
9936 2
9937 2
9939 2
9940 2
9941 2
10019 2
10021 2
10022 2
10097 2
10098 2
10262 2
10547 2
10548 2
10550 2
10753 2
10853 2
10855 2
11280 2
11404 2
11405 2
11409 2
11441 2
11448 2
11449 2
11450 2
11452 2
11534 2
11574 2
11578 2
11580 2
11581 2
11661 2
11664 2
11708 2
11792 2
11793 2
11794 2
11796 2
11798 2
11841 2
11922 2
11923 2
11924 2
11925 2
11963 2
11964 2
12046 2
12047 2
12048 2
12049 2
12050 2
12168 2
12169 2
12170 2
12171 2
12174 2
12177 2
12201 2
12293 2
12294 2
12295 2
12296 2
12301 2
12327 2
12423 2
12424 2
12425 2
12426 2
12427 2
12429 2
12432 2
12460 2
12554 2
12555 2
12556 2
12557 2
12558 2
12559 2
12560 2
12574 2
12584 2
12597 2
12598 2
12676 2
12677 2
12678 2
12679 2
12680 2
12681 2
12682 2
12683 2
12696 2
12697 2
12711 2
12715 2
12716 2
12719 2
12720 2
12793 2
12794 2
12795 2
12796 2
12797 2
12798 2
12799 2
12804 2
12810 2
12828 2
12833 2
12834 2
12835 2
12838 2
12909 2
12910 2
12911 2
12912 2
12913 2
12914 2
12916 2
12917 2
12918 2
12928 2
12934 2
12938 2
12948 2
12952 2
12956 2
12957 2
13025 2
13026 2
13027 2
13028 2
13029 2
13030 2
13031 2
13036 2
13037 2
13040 2
13045 2
13049 2
13058 2
13061 2
13063 2
13067 2
13068 2
13142 2
13143 2
13144 2
13145 2
13154 2
13156 2
13164 2
13166 2
13168 2
13169 2
13170 2
13171 2
13238 2
13239 2
13241 2
13242 2
13243 2
13255 2
13256 2
13259 2
13263 2
13265 2
13334 2
13335 2
13336 2
13337 2
13339 2
13342 2
13349 2
13417 2
13419 2
13425 2
13426 2
13427 2
13429 2
13430 2
13432 2
13495 2
13496 2
13497 2
13498 2
