pt_graph cpue_kghour
211 1.09
211 3.9
211 5.65
211 2.56
211 2.62
211 2.8
211 0
211 0
211 0
210 1.09
210 3.9
210 5.65
210 2.56
210 2.62
210 2.8
210 0
210 0
210 0
209 1.09
209 3.9
209 5.65
209 2.56
209 2.62
209 2.8
209 0
209 0
209 0
239 1.09
239 3.9
239 5.65
239 2.56
239 2.62
239 2.8
239 0
239 0
239 0
285 1.09
285 3.9
285 5.65
285 2.56
285 2.62
285 2.8
285 0
285 0
285 0
284 1.09
284 3.9
284 5.65
284 2.56
284 2.62
284 2.8
284 0
284 0
284 0
282 1.09
282 3.9
282 5.65
282 2.56
282 2.62
282 2.8
282 0
282 0
282 0
1282 1.09
1282 3.9
1282 5.65
1282 2.56
1282 2.62
1282 2.8
1282 0
1282 0
1282 0
1347 1.09
1347 3.9
1347 5.65
1347 2.56
1347 2.62
1347 2.8
1347 0
1347 0
1347 0
1567 1.09
1567 3.9
1567 5.65
1567 2.56
1567 2.62
1567 2.8
1567 0
1567 0
1567 0
1566 1.09
1566 3.9
1566 5.65
1566 2.56
1566 2.62
1566 2.8
1566 0
1566 0
1566 0
1565 1.09
1565 3.9
1565 5.65
1565 2.56
1565 2.62
1565 2.8
1565 0
1565 0
1565 0
1636 1.09
1636 3.9
1636 5.65
1636 2.56
1636 2.62
1636 2.8
1636 0
1636 0
1636 0
1635 1.09
1635 3.9
1635 5.65
1635 2.56
1635 2.62
1635 2.8
1635 0
1635 0
1635 0
1634 1.09
1634 3.9
1634 5.65
1634 2.56
1634 2.62
1634 2.8
1634 0
1634 0
1634 0
1633 1.09
1633 3.9
1633 5.65
1633 2.56
1633 2.62
1633 2.8
1633 0
1633 0
1633 0
1712 1.09
1712 3.9
1712 5.65
1712 2.56
1712 2.62
1712 2.8
1712 0
1712 0
1712 0
1711 1.09
1711 3.9
1711 5.65
1711 2.56
1711 2.62
1711 2.8
1711 0
1711 0
1711 0
1790 1.09
1790 3.9
1790 5.65
1790 2.56
1790 2.62
1790 2.8
1790 0
1790 0
1790 0
1878 1.09
1878 3.9
1878 5.65
1878 2.56
1878 2.62
1878 2.8
1878 0
1878 0
1878 0
1877 1.09
1877 3.9
1877 5.65
1877 2.56
1877 2.62
1877 2.8
1877 0
1877 0
1877 0
1875 1.09
1875 3.9
1875 5.65
1875 2.56
1875 2.62
1875 2.8
1875 0
1875 0
1875 0
2205 1.09
2205 3.9
2205 5.65
2205 2.56
2205 2.62
2205 2.8
2205 0
2205 0
2205 0
2288 1.09
2288 3.9
2288 5.65
2288 2.56
2288 2.62
2288 2.8
2288 0
2288 0
2288 0
2286 1.09
2286 3.9
2286 5.65
2286 2.56
2286 2.62
2286 2.8
2286 0
2286 0
2286 0
2367 1.09
2367 3.9
2367 5.65
2367 2.56
2367 2.62
2367 2.8
2367 0
2367 0
2367 0
2451 1.09
2451 3.9
2451 5.65
2451 2.56
2451 2.62
2451 2.8
2451 0
2451 0
2451 0
2450 1.09
2450 3.9
2450 5.65
2450 2.56
2450 2.62
2450 2.8
2450 0
2450 0
2450 0
2536 1.09
2536 3.9
2536 5.65
2536 2.56
2536 2.62
2536 2.8
2536 0
2536 0
2536 0
2624 1.09
2624 3.9
2624 5.65
2624 2.56
2624 2.62
2624 2.8
2624 0
2624 0
2624 0
2580 1.09
2580 3.9
2580 5.65
2580 2.56
2580 2.62
2580 2.8
2580 0
2580 0
2580 0
2579 1.09
2579 3.9
2579 5.65
2579 2.56
2579 2.62
2579 2.8
2579 0
2579 0
2579 0
2709 1.09
2709 3.9
2709 5.65
2709 2.56
2709 2.62
2709 2.8
2709 0
2709 0
2709 0
2708 1.09
2708 3.9
2708 5.65
2708 2.56
2708 2.62
2708 2.8
2708 0
2708 0
2708 0
2663 1.09
2663 3.9
2663 5.65
2663 2.56
2663 2.62
2663 2.8
2663 0
2663 0
2663 0
2662 1.09
2662 3.9
2662 5.65
2662 2.56
2662 2.62
2662 2.8
2662 0
2662 0
2662 0
2661 1.09
2661 3.9
2661 5.65
2661 2.56
2661 2.62
2661 2.8
2661 0
2661 0
2661 0
2794 1.09
2794 3.9
2794 5.65
2794 2.56
2794 2.62
2794 2.8
2794 0
2794 0
2794 0
2749 1.09
2749 3.9
2749 5.65
2749 2.56
2749 2.62
2749 2.8
2749 0
2749 0
2749 0
2748 1.09
2748 3.9
2748 5.65
