pt_graph freq
1843 1
2346 1
2347 1
2602 1
2685 1
2687 1
2688 1
2772 1
2859 1
2883 1
2943 1
2944 1
2945 1
2968 1
3028 1
3029 1
3030 1
3053 1
3054 1
3114 1
3115 1
3131 1
3137 1
3277 1
3297 1
3358 1
3359 1
3360 1
3378 1
3379 1
3440 1
3441 1
3442 1
3458 1
3459 1
3460 1
3461 1
3538 1
3539 1
3540 1
3601 1
3602 1
3603 1
3617 1
3618 1
3677 1
3679 1
3680 1
3681 1
3684 1
3756 1
3904 1
3905 1
3906 1
3908 1
3918 1
3919 1
3974 1
3975 1
3976 1
3985 1
3987 1
4041 1
4044 1
4050 1
4053 1
4054 1
4106 1
4107 1
4108 1
4109 1
4110 1
4113 1
4116 1
4118 1
4119 1
4168 1
4170 1
4171 1
4173 1
4176 1
4177 1
4179 1
4180 1
4181 1
4182 1
4230 1
4231 1
4232 1
4233 1
4234 1
4235 1
4236 1
4237 1
4239 1
4240 1
4241 1
4242 1
4288 1
4290 1
4291 1
4292 1
4293 1
4294 1
4295 1
4296 1
4297 1
4298 1
4299 1
4300 1
4301 1
4349 1
4351 1
4352 1
4353 1
4523 1
