pt_graph shape
1291 1
1291 1
1291 1
1291 1
1291 1
1291 1
1291 1
1291 1
1291 1
1556 1
1556 1
1556 1
1556 1
1556 1
1556 1
1556 1
1556 1
1556 1
1555 1
1555 1
1555 1
1555 1
1555 1
1555 1
1555 1
1555 1
1555 1
1528 1
1528 1
1528 1
1528 1
1528 1
1528 1
1528 1
1528 1
1528 1
1622 1
1622 1
1622 1
1622 1
1622 1
1622 1
1622 1
1622 1
1622 1
1699 1
1699 1
1699 1
1699 1
1699 1
1699 1
1699 1
1699 1
1699 1
1783 1
1783 1
1783 1
1783 1
1783 1
1783 1
1783 1
1783 1
1783 1
2127 1
2127 1
2127 1
2127 1
2127 1
2127 1
2127 1
2127 1
2127 1
2210 1
2210 1
2210 1
2210 1
2210 1
2210 1
2210 1
2210 1
2210 1
2290 1
2290 1
2290 1
2290 1
2290 1
2290 1
2290 1
2290 1
2290 1
2452 1
2452 1
2452 1
2452 1
2452 1
2452 1
2452 1
2452 1
2452 1
2630 1
2630 1
2630 1
2630 1
2630 1
2630 1
2630 1
2630 1
2630 1
2604 1
2604 1
2604 1
2604 1
2604 1
2604 1
2604 1
2604 1
2604 1
2773 1
2773 1
2773 1
2773 1
2773 1
2773 1
2773 1
2773 1
2773 1
2885 1
2885 1
2885 1
2885 1
2885 1
2885 1
2885 1
2885 1
2885 1
2883 1
2883 1
2883 1
2883 1
2883 1
2883 1
2883 1
2883 1
2883 1
3137 1
3137 1
3137 1
3137 1
3137 1
3137 1
3137 1
3137 1
3137 1
3296 1
3296 1
3296 1
3296 1
3296 1
3296 1
3296 1
3296 1
3296 1
3376 1
3376 1
3376 1
3376 1
3376 1
3376 1
3376 1
3376 1
3376 1
3374 1
3374 1
3374 1
3374 1
3374 1
3374 1
3374 1
3374 1
3374 1
3359 1
3359 1
3359 1
3359 1
3359 1
3359 1
3359 1
3359 1
3359 1
3358 1
3358 1
3358 1
3358 1
3358 1
3358 1
3358 1
3358 1
3358 1
3602 1
3602 1
3602 1
3602 1
3602 1
3602 1
3602 1
3602 1
3602 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3847 1
3847 1
3847 1
3847 1
3847 1
3847 1
3847 1
3847 1
3847 1
3917 1
3917 1
3917 1
3917 1
3917 1
3917 1
3917 1
3917 1
3917 1
3906 1
3906 1
3906 1
3906 1
3906 1
3906 1
3906 1
3906 1
3906 1
3988 1
3988 1
3988 1
3988 1
3988 1
3988 1
3988 1
3988 1
3988 1
3978 1
3978 1
3978 1
3978 1
3978 1
3978 1
3978 1
3978 1
3978 1
4045 1
4045 1
4045 1
4045 1
4045 1
4045 1
4045 1
4045 1
4045 1
4019 1
4019 1
4019 1
4019 1
4019 1
4019 1
4019 1
4019 1
4019 1
4118 1
4118 1
4118 1
4118 1
4118 1
4118 1
4118 1
4118 1
4118 1
4168 1
4168 1
4168 1
4168 1
4168 1
4168 1
4168 1
4168 1
4168 1
4233 1
4233 1
4233 1
4233 1
4233 1
4233 1
4233 1
4233 1
4233 1
4211 1
4211 1
4211 1
4211 1
4211 1
4211 1
4211 1
4211 1
4211 1
4297 1
4297 1
4297 1
4297 1
4297 1
4297 1
4297 1
4297 1
4297 1
4349 1
4349 1
4349 1
4349 1
4349 1
4349 1
4349 1
4349 1
4349 1
4549 1
4549 1
4549 1
4549 1
4549 1
4549 1
4549 1
4549 1
4549 1
4592 1
4592 1
4592 1
4592 1
4592 1
4592 1
4592 1
4592 1
4592 1
4808 1
4808 1
4808 1
4808 1
4808 1
4808 1
4808 1
4808 1
4808 1
4845 1
4845 1
4845 1
4845 1
4845 1
4845 1
4845 1
4845 1
4845 1
4884 1
4884 1
4884 1
4884 1
4884 1
4884 1
4884 1
4884 1
4884 1
4876 1
4876 1
4876 1
4876 1
4876 1
4876 1
4876 1
4876 1
4876 1
4932 1
4932 1
4932 1
4932 1
4932 1
4932 1
4932 1
4932 1
4932 1
4921 1
4921 1
4921 1
4921 1
4921 1
4921 1
4921 1
4921 1
4921 1
4976 1
4976 1
4976 1
4976 1
4976 1
4976 1
4976 1
4976 1
4976 1
4974 1
4974 1
4974 1
4974 1
4974 1
4974 1
4974 1
4974 1
4974 1
4975 1
4975 1
4975 1
4975 1
4975 1
4975 1
4975 1
4975 1
4975 1
5030 1
5030 1
5030 1
5030 1
5030 1
5030 1
5030 1
5030 1
5030 1
5029 1
5029 1
5029 1
5029 1
5029 1
5029 1
5029 1
5029 1
5029 1
5096 1
5096 1
5096 1
5096 1
5096 1
5096 1
5096 1
5096 1
5096 1
5095 1
5095 1
5095 1
5095 1
5095 1
5095 1
5095 1
5095 1
5095 1
5092 1
5092 1
5092 1
5092 1
5092 1
5092 1
5092 1
5092 1
5092 1
5091 1
5091 1
5091 1
5091 1
5091 1
5091 1
5091 1
5091 1
5091 1
5090 1
5090 1
5090 1
5090 1
5090 1
5090 1
5090 1
5090 1
5090 1
5152 1
5152 1
5152 1
5152 1
5152 1
5152 1
5152 1
5152 1
5152 1
5149 1
5149 1
5149 1
5149 1
5149 1
5149 1
5149 1
5149 1
5149 1
