pt_graph met
802 2
1040 2
1291 2
1327 2
1356 2
1421 2
1422 2
1423 2
1487 2
1488 2
1489 2
1490 2
1529 2
1554 2
1556 2
1557 2
1558 2
1593 2
1594 2
1595 2
1622 2
1673 2
1674 2
1755 2
1840 2
1843 2
1925 2
1926 2
1930 2
1955 2
1958 2
2017 2
2042 2
2043 2
2044 2
2045 2
2046 2
2100 2
2125 2
2126 2
2127 2
2128 2
2129 2
2130 2
2184 2
2207 2
2210 2
2211 2
2265 2
2290 2
2372 2
2430 2
2454 2
2455 2
2456 2
2516 2
2541 2
2542 2
2543 2
2602 2
2629 2
2630 2
2685 2
2687 2
2689 2
2709 2
2712 2
2713 2
2714 2
2769 2
2771 2
2772 2
2798 2
2799 2
2859 2
2862 2
2883 2
2885 2
2943 2
2944 2
2966 2
2967 2
2968 2
2969 2
3028 2
3029 2
3031 2
3051 2
3053 2
3054 2
3114 2
3115 2
3132 2
3136 2
3137 2
3197 2
3217 2
3277 2
3278 2
3297 2
3329 2
3358 2
3359 2
3360 2
3376 2
3378 2
3379 2
3440 2
3441 2
3458 2
3459 2
3460 2
3461 2
3492 2
3524 2
3538 2
3539 2
3540 2
3572 2
3601 2
3605 2
3617 2
3618 2
3649 2
3650 2
3651 2
3677 2
3679 2
3682 2
3695 2
3725 2
3726 2
3756 2
3802 2
3805 2
3806 2
3833 2
3834 2
3846 2
3847 2
3877 2
3902 2
3904 2
3905 2
3906 2
3907 2
3917 2
3918 2
3919 2
3948 2
3951 2
3952 2
3956 2
3973 2
3974 2
3975 2
3976 2
3977 2
3987 2
3988 2
4017 2
4018 2
4019 2
4020 2
4041 2
4042 2
4050 2
4053 2
4054 2
4084 2
4086 2
4087 2
4106 2
4107 2
4108 2
4114 2
4115 2
4116 2
4119 2
4148 2
4168 2
4170 2
4172 2
4173 2
4174 2
4176 2
4177 2
4178 2
4180 2
4181 2
4182 2
4210 2
4228 2
4230 2
4231 2
4232 2
4233 2
4234 2
4237 2
4238 2
4239 2
4240 2
4241 2
4242 2
4270 2
4290 2
4291 2
4292 2
4293 2
4294 2
4295 2
4296 2
4297 2
4298 2
4299 2
4300 2
4301 2
4325 2
4326 2
4349 2
4351 2
4352 2
4353 2
4376 2
4377 2
4421 2
4462 2
4463 2
4505 2
4506 2
4550 2
4563 2
4566 2
4592 2
4634 2
4638 2
4647 2
4648 2
4649 2
4678 2
4679 2
4681 2
4690 2
4717 2
4718 2
4720 2
4728 2
4757 2
4758 2
4759 2
4767 2
4768 2
4797 2
4798 2
4802 2
4805 2
4808 2
4836 2
4837 2
4841 2
4842 2
4843 2
4844 2
4845 2
4847 2
4875 2
4876 2
4877 2
4878 2
4879 2
4880 2
4881 2
4883 2
4884 2
4885 2
4886 2
4887 2
4921 2
4922 2
4923 2
4924 2
4925 2
4927 2
4928 2
4929 2
4972 2
4973 2
4974 2
4975 2
4976 2
4977 2
4982 2
4984 2
5029 2
5030 2
5031 2
5032 2
5033 2
5034 2
5035 2
5036 2
5037 2
5038 2
5039 2
5040 2
5089 2
5090 2
5091 2
5092 2
5093 2
5094 2
5095 2
5096 2
5097 2
5147 2
5148 2
5149 2
5150 2
5151 2
5152 2
19516 2
