pt_graph met
16230 4
16275 4
16322 4
16324 4
16409 4
16450 4
16451 4
16495 4
16497 4
16585 4
16592 4
16630 4
16631 4
16637 4
16638 4
16674 4
16675 4
16676 4
16682 4
16762 4
16768 4
16811 4
16812 4
16817 4
16861 4
16862 4
16911 4
16912 4
16915 4
16959 4
17008 4
17131 4
17173 4
17202 4
17211 4
17216 4
17250 4
17254 4
17255 4
17284 4
17330 4
17360 4
17388 4
17393 4
17425 4
17427 4
17428 4
17429 4
17430 4
17456 4
17458 4
17459 4
17460 4
17461 4
17462 4
17485 4
17489 4
17492 4
17493 4
17494 4
17495 4
17497 4
17498 4
17527 4
17530 4
17533 4
17534 4
17535 4
17537 4
17538 4
17539 4
17567 4
17568 4
17569 4
17570 4
17571 4
17572 4
17574 4
17575 4
17576 4
17577 4
17579 4
17611 4
17612 4
17616 4
17617 4
17618 4
17619 4
17620 4
17652 4
17653 4
17654 4
17655 4
17656 4
17658 4
17659 4
17694 4
17699 4
17702 4
17703 4
17704 4
17705 4
17706 4
17745 4
17746 4
17748 4
17749 4
17751 4
17752 4
17754 4
17755 4
17793 4
17794 4
17796 4
17798 4
17832 4
17835 4
17841 4
17843 4
17882 4
18027 4
18031 4
18073 4
18075 4
18078 4
18118 4
18121 4
18122 4
18166 4
18167 4
18168 4
18169 4
18170 4
18216 4
18220 4
18221 4
18223 4
18267 4
18269 4
18313 4
18314 4
18354 4
