pt_graph shape
16498 1
16498 1
16498 1
16498 1
16498 1
16498 1
16498 1
16498 1
16498 1
16501 1
16501 1
16501 1
16501 1
16501 1
16501 1
16501 1
16501 1
16501 1
16550 1
16550 1
16550 1
16550 1
16550 1
16550 1
16550 1
16550 1
16550 1
16580 1
16580 1
16580 1
16580 1
16580 1
16580 1
16580 1
16580 1
16580 1
16624 1
16624 1
16624 1
16624 1
16624 1
16624 1
16624 1
16624 1
16624 1
16631 1
16631 1
16631 1
16631 1
16631 1
16631 1
16631 1
16631 1
16631 1
16722 1
16722 1
16722 1
16722 1
16722 1
16722 1
16722 1
16722 1
16722 1
16728 1
16728 1
16728 1
16728 1
16728 1
16728 1
16728 1
16728 1
16728 1
16816 1
16816 1
16816 1
16816 1
16816 1
16816 1
16816 1
16816 1
16816 1
16818 1
16818 1
16818 1
16818 1
16818 1
16818 1
16818 1
16818 1
16818 1
16820 1
16820 1
16820 1
16820 1
16820 1
16820 1
16820 1
16820 1
16820 1
16865 1
16865 1
16865 1
16865 1
16865 1
16865 1
16865 1
16865 1
16865 1
16879 1
16879 1
16879 1
16879 1
16879 1
16879 1
16879 1
16879 1
16879 1
16923 1
16923 1
16923 1
16923 1
16923 1
16923 1
16923 1
16923 1
16923 1
17038 1
17038 1
17038 1
17038 1
17038 1
17038 1
17038 1
17038 1
17038 1
17043 1
17043 1
17043 1
17043 1
17043 1
17043 1
17043 1
17043 1
17043 1
17044 1
17044 1
17044 1
17044 1
17044 1
17044 1
17044 1
17044 1
17044 1
17075 1
17075 1
17075 1
17075 1
17075 1
17075 1
17075 1
17075 1
17075 1
17126 1
17126 1
17126 1
17126 1
17126 1
17126 1
17126 1
17126 1
17126 1
17203 1
17203 1
17203 1
17203 1
17203 1
17203 1
17203 1
17203 1
17203 1
17244 1
17244 1
17244 1
17244 1
17244 1
17244 1
17244 1
17244 1
17244 1
17245 1
17245 1
17245 1
17245 1
17245 1
17245 1
17245 1
17245 1
17245 1
17247 1
17247 1
17247 1
17247 1
17247 1
17247 1
17247 1
17247 1
17247 1
17252 1
17252 1
17252 1
17252 1
17252 1
17252 1
17252 1
17252 1
17252 1
17282 1
17282 1
17282 1
17282 1
17282 1
17282 1
17282 1
17282 1
17282 1
17284 1
17284 1
17284 1
17284 1
17284 1
17284 1
17284 1
17284 1
17284 1
17285 1
17285 1
17285 1
17285 1
17285 1
17285 1
17285 1
17285 1
17285 1
17286 1
17286 1
17286 1
17286 1
17286 1
17286 1
17286 1
17286 1
17286 1
17317 1
17317 1
17317 1
17317 1
17317 1
17317 1
17317 1
17317 1
17317 1
17320 1
17320 1
17320 1
17320 1
17320 1
17320 1
17320 1
17320 1
17320 1
17322 1
17322 1
17322 1
17322 1
