pt_graph freq
16674 1
16825 1
16852 1
16854 1
16872 1
16875 1
16876 1
16878 1
16960 1
16965 1
16993 1
17007 1
17035 1
17039 1
17042 1
17047 1
17079 1
17122 1
17125 1
17157 1
17161 1
17166 1
17201 1
17203 1
17204 1
17205 1
17206 1
17244 1
17245 1
17247 1
17251 1
17284 1
17285 1
17286 1
17287 1
17316 1
17317 1
17319 1
17320 1
17321 1
17322 1
17325 1
17326 1
17327 1
17328 1
17352 1
17353 1
17354 1
17355 1
17356 1
17357 1
17386 1
17387 1
17388 1
17389 1
17418 1
17420 1
17421 1
17422 1
17424 1
17451 1
17452 1
17453 1
17454 1
17456 1
17457 1
17486 1
17487 1
17488 1
17489 1
17490 1
17491 1
17496 1
17523 1
17524 1
17525 1
17530 1
17563 1
17565 1
17566 1
17567 1
17568 1
17571 1
17573 1
17604 1
17605 1
17606 1
17607 1
17609 1
17610 1
17612 1
17615 1
17620 1
17648 1
17650 1
17652 1
17655 1
17656 1
17660 1
17661 1
17663 1
17665 1
17666 1
17696 1
17706 1
17709 1
17743 1
17746 1
17747 1
17748 1
17755 1
17756 1
17757 1
17788 1
17790 1
17791 1
17792 1
17794 1
17795 1
17800 1
17833 1
17835 1
17836 1
17838 1
17840 1
17841 1
17842 1
17844 1
17846 1
17882 1
17883 1
17884 1
17885 1
17887 1
17888 1
17891 1
17893 1
17929 1
17930 1
17931 1
17934 1
17936 1
17940 1
17976 1
17977 1
17978 1
17979 1
17980 1
17984 1
18022 1
18023 1
18024 1
18026 1
18028 1
18069 1
18070 1
18071 1
18073 1
18074 1
18082 1
18115 1
18116 1
18117 1
18119 1
18120 1
18122 1
18123 1
18125 1
18127 1
18164 1
18165 1
18167 1
18168 1
18169 1
18171 1
18212 1
18213 1
18214 1
18215 1
18217 1
18218 1
18219 1
18220 1
18221 1
18225 1
18260 1
18261 1
18262 1
18263 1
18264 1
18265 1
18266 1
18268 1
18269 1
18270 1
18308 1
18309 1
18310 1
18311 1
18312 1
18313 1
18314 1
18315 1
18316 1
18352 1
18354 1
18355 1
18356 1
18357 1
18392 1
18426 1
18461 1
18494 1
