pt_graph freq
10219 1
10306 1
10309 1
10405 1
10486 1
10487 1
10488 1
10489 1
10497 1
10698 1
11011 1
11113 1
11117 1
11354 1
11482 1
11753 1
11754 1
11884 1
12009 1
12131 1
12133 1
12135 1
12252 1
12255 1
12256 1
12260 1
12376 1
12389 1
12507 1
12518 1
12522 1
12637 1
12641 1
12651 1
12755 1
12756 1
12767 1
12768 1
12862 1
12864 1
12867 1
12879 1
12884 1
12885 1
12888 1
12889 1
12988 1
13001 1
13005 1
13008 1
13010 1
13115 1
13123 1
13213 1
13226 1
13298 1
13316 1
13323 1
13324 1
13392 1
13399 1
13407 1
13408 1
13409 1
13482 1
13488 1
13534 1
13535 1
13555 1
13559 1
13606 1
13612 1
13619 1
13657 1
13711 1
13716 1
13723 1
13764 1
13812 1
13865 1
13879 1
13936 1
13947 1
13999 1
14001 1
14089 1
14091 1
14106 1
14145 1
14146 1
14161 1
14166 1
14243 1
14246 1
14247 1
14257 1
14285 1
14287 1
14299 1
14308 1
14337 1
14349 1
14389 1
14391 1
14392 1
14422 1
14427 1
14430 1
14431 1
14432 1
14464 1
14469 1
14472 1
14499 1
14500 1
14501 1
14508 1
14531 1
14533 1
14534 1
14536 1
14561 1
14568 1
14598 1
14633 1
14665 1
14670 1
