pt_graph cpue_kghour
10221 1.24
10221 0
10221 3.05
10221 2.53
10221 3.51
10221 2.95
10221 0
10221 0
10221 0
10391 1.24
10391 0
10391 3.05
10391 2.53
10391 3.51
10391 2.95
10391 0
10391 0
10391 0
10395 1.24
10395 0
10395 3.05
10395 2.53
10395 3.51
10395 2.95
10395 0
10395 0
10395 0
10502 1.24
10502 0
10502 3.05
10502 2.53
10502 3.51
10502 2.95
10502 0
10502 0
10502 0
10599 1.24
10599 0
10599 3.05
10599 2.53
10599 3.51
10599 2.95
10599 0
10599 0
10599 0
10700 1.24
10700 0
10700 3.05
10700 2.53
10700 3.51
10700 2.95
10700 0
10700 0
10700 0
11114 1.24
11114 0
11114 3.05
11114 2.53
11114 3.51
11114 2.95
11114 0
11114 0
11114 0
11115 1.24
11115 0
11115 3.05
11115 2.53
11115 3.51
11115 2.95
11115 0
11115 0
11115 0
11240 1.24
11240 0
11240 3.05
11240 2.53
11240 3.51
11240 2.95
11240 0
11240 0
11240 0
11483 1.24
11483 0
11483 3.05
11483 2.53
11483 3.51
11483 2.95
11483 0
11483 0
11483 0
11486 1.24
11486 0
11486 3.05
11486 2.53
11486 3.51
11486 2.95
11486 0
11486 0
11486 0
11498 1.24
11498 0
11498 3.05
11498 2.53
11498 3.51
11498 2.95
11498 0
11498 0
11498 0
11866 1.24
11866 0
11866 3.05
11866 2.53
11866 3.51
11866 2.95
11866 0
11866 0
11866 0
11994 1.24
11994 0
11994 3.05
11994 2.53
11994 3.51
11994 2.95
11994 0
11994 0
11994 0
12250 1.24
12250 0
12250 3.05
12250 2.53
12250 3.51
12250 2.95
12250 0
12250 0
12250 0
12380 1.24
12380 0
12380 3.05
12380 2.53
12380 3.51
12380 2.95
12380 0
12380 0
12380 0
12522 1.24
12522 0
12522 3.05
12522 2.53
12522 3.51
12522 2.95
12522 0
12522 0
12522 0
12626 1.24
12626 0
12626 3.05
12626 2.53
12626 3.51
12626 2.95
12626 0
12626 0
12626 0
12629 1.24
12629 0
12629 3.05
12629 2.53
12629 3.51
12629 2.95
12629 0
12629 0
12629 0
12643 1.24
12643 0
12643 3.05
12643 2.53
12643 3.51
12643 2.95
12643 0
12643 0
12643 0
12648 1.24
12648 0
12648 3.05
12648 2.53
12648 3.51
12648 2.95
12648 0
12648 0
12648 0
12651 1.24
12651 0
12651 3.05
12651 2.53
12651 3.51
12651 2.95
12651 0
12651 0
12651 0
12761 1.24
12761 0
12761 3.05
12761 2.53
12761 3.51
12761 2.95
12761 0
12761 0
12761 0
12766 1.24
12766 0
12766 3.05
12766 2.53
12766 3.51
12766 2.95
12766 0
12766 0
12766 0
12877 1.24
12877 0
12877 3.05
12877 2.53
12877 3.51
12877 2.95
12877 0
12877 0
12877 0
12887 1.24
12887 0
12887 3.05
12887 2.53
12887 3.51
12887 2.95
12887 0
12887 0
12887 0
12889 1.24
12889 0
12889 3.05
12889 2.53
12889 3.51
12889 2.95
12889 0
12889 0
12889 0
12989 1.24
12989 0
12989 3.05
12989 2.53
12989 3.51
12989 2.95
12989 0
12989 0
12989 0
12997 1.24
12997 0
12997 3.05
12997 2.53
12997 3.51
12997 2.95
12997 0
12997 0
12997 0
13097 1.24
13097 0
13097 3.05
13097 2.53
13097 3.51
13097 2.95
13097 0
13097 0
13097 0
13112 1.24
13112 0
13112 3.05
13112 2.53
13112 3.51
13112 2.95
13112 0
13112 0
13112 0
13116 1.24
13116 0
13116 3.05
13116 2.53
13116 3.51
13116 2.95
13116 0
13116 0
13116 0
13119 1.24
13119 0
13119 3.05
13119 2.53
13119 3.51
13119 2.95
13119 0
13119 0
13119 0
13223 1.24
13223 0
13223 3.05
13223 2.53
13223 3.51
13223 2.95
13223 0
13223 0
13223 0
13224 1.24
13224 0
13224 3.05
13224 2.53
13224 3.51
13224 2.95
13224 0
13224 0
13224 0
13313 1.24
13313 0
13313 3.05
13313 2.53
13313 3.51
13313 2.95
13313 0
13313 0
13313 0
13319 1.24
13319 0
13319 3.05
13319 2.53
13319 3.51
13319 2.95
13319 0
13319 0
13319 0
13401 1.24
13401 0
13401 3.05
13401 2.53
13401 3.51
13401 2.95
13401 0
13401 0
13401 0
13407 1.24
13407 0
13407 3.05
13407 2.53
