pt_graph met
8997 2
8998 2
9036 2
9037 2
9038 2
9074 2
9076 2
9077 2
9078 2
9080 2
9115 2
9116 2
9117 2
9160 2
9199 2
9200 2
9202 2
9218 2
9239 2
9242 2
9248 2
9256 2
9261 2
9293 2
9301 2
9363 2
9364 2
9397 2
9418 2
9420 2
9452 2
9459 2
9474 2
9475 2
9476 2
9477 2
9478 2
9479 2
9533 2
9535 2
9536 2
9537 2
9540 2
9541 2
9542 2
9543 2
9604 2
9606 2
9607 2
9608 2
9609 2
9610 2
9611 2
9612 2
9613 2
9653 2
9656 2
9658 2
9680 2
9683 2
9686 2
9687 2
9688 2
9689 2
9735 2
9739 2
9757 2
9759 2
9762 2
9764 2
9766 2
9806 2
9815 2
9827 2
9838 2
9841 2
9842 2
9843 2
9846 2
9847 2
9848 2
9849 2
9900 2
9919 2
9922 2
9925 2
9926 2
9927 2
9929 2
9930 2
9931 2
9977 2
9979 2
9980 2
9991 2
10002 2
10004 2
10005 2
10007 2
10008 2
10009 2
10010 2
10011 2
10012 2
10013 2
10051 2
10058 2
10061 2
10071 2
10085 2
10086 2
10091 2
10093 2
10094 2
10095 2
10096 2
10137 2
10143 2
10146 2
10147 2
10171 2
10172 2
10173 2
10174 2
10175 2
10176 2
10177 2
10215 2
10216 2
10221 2
10223 2
10224 2
10231 2
10254 2
10255 2
10256 2
10259 2
10260 2
10261 2
10300 2
10302 2
10303 2
10304 2
10305 2
10307 2
10309 2
10313 2
10336 2
10338 2
10339 2
10340 2
10341 2
10343 2
10387 2
10393 2
10395 2
10422 2
10425 2
10428 2
10429 2
10430 2
10474 2
10475 2
10482 2
10484 2
10486 2
10487 2
10488 2
10489 2
10497 2
10519 2
10520 2
10524 2
10525 2
10526 2
10586 2
10588 2
10589 2
10590 2
10596 2
10619 2
10623 2
10624 2
10625 2
10626 2
10690 2
10691 2
10692 2
10719 2
10722 2
10723 2
10724 2
10725 2
10783 2
10788 2
10789 2
10790 2
10791 2
10821 2
10824 2
10825 2
10826 2
10890 2
10896 2
10897 2
10920 2
10921 2
10922 2
10924 2
10925 2
10926 2
10927 2
10928 2
10996 2
10997 2
11003 2
11008 2
11030 2
11032 2
11033 2
11034 2
11035 2
11036 2
11037 2
11108 2
11121 2
11140 2
11145 2
11146 2
11147 2
11262 2
11265 2
11266 2
11267 2
11355 2
11358 2
11373 2
11374 2
11375 2
11382 2
11386 2
11387 2
11388 2
11389 2
11497 2
11499 2
11505 2
11509 2
11510 2
11512 2
11513 2
11514 2
11515 2
11626 2
11627 2
11628 2
11630 2
11631 2
11634 2
11637 2
11638 2
11640 2
11641 2
11642 2
11644 2
11645 2
11755 2
11756 2
11758 2
11762 2
11764 2
11766 2
11769 2
11770 2
11771 2
11772 2
11773 2
11774 2
11775 2
11776 2
11884 2
11885 2
11888 2
11889 2
11890 2
11892 2
11893 2
11894 2
11895 2
11896 2
11897 2
11898 2
11900 2
11901 2
11902 2
11903 2
11904 2
11905 2
11990 2
12008 2
12009 2
12010 2
12012 2
12017 2
12018 2
12019 2
12020 2
12022 2
12023 2
12024 2
12025 2
12029 2
12128 2
12130 2
12133 2
12134 2
12136 2
12137 2
12139 2
12147 2
12148 2
12150 2
12252 2
12254 2
12256 2
12257 2
12259 2
12261 2
12262 2
12263 2
12264 2
12265 2
12266 2
12267 2
12269 2
12271 2
12272 2
12273 2
12274 2
12276 2
12360 2
12366 2
12388 2
12390 2
12391 2
12393 2
12397 2
12398 2
12400 2
12401 2
12402 2
12405 2
12406 2
12407 2
12408 2
12409 2
12501 2
12502 2
12518 2
12520 2
12522 2
12523 2
12524 2
12525 2
12526 2
12527 2
12528 2
12529 2
12530 2
12531 2
12532 2
12533 2
12534 2
12535 2
12537 2
12538 2
12539 2
12540 2
12628 2
12630 2
12647 2
12648 2
12649 2
12650 2
12651 2
12652 2
12654 2
12655 2
12656 2
12658 2
12659 2
12660 2
12661 2
12662 2
12663 2
12664 2
12665 2
12747 2
12757 2
12765 2
12766 2
12767 2
12768 2
12769 2
12862 2
12863 2
12864 2
12867 2
12881 2
12887 2
12888 2
12889 2
12986 2
12989 2
12997 2
13003 2
13005 2
13007 2
13008 2
13009 2
13010 2
13098 2
13103 2
13106 2
13118 2
13120 2
13122 2
13123 2
13206 2
13207 2
13225 2
13226 2
13297 2
13299 2
13318 2
13320 2
13323 2
13324 2
13396 2
13404 2
13406 2
13407 2
13408 2
13409 2
13469 2
13477 2
13485 2
13486 2
13487 2
13490 2
13534 2
13535 2
13555 2
13556 2
13597 2
13611 2
13617 2
13618 2
13619 2
13663 2
13667 2
13670 2
13671 2
13674 2
13675 2
13676 2
13725 2
13726 2
13727 2
13729 2
13731 2
13784 2
13819 2
13822 2
13832 2
13833 2
13836 2
13837 2
13838 2
13869 2
13870 2
13880 2
13882 2
13889 2
13892 2
13924 2
13945 2
13946 2
13947 2
13948 2
13949 2
13950 2
13951 2
13952 2
14001 2
14002 2
14003 2
14004 2
14006 2
14007 2
14008 2
14009 2
14042 2
14054 2
14058 2
14059 2
14060 2
14061 2
14062 2
14064 2
14097 2
14104 2
14107 2
14109 2
14111 2
14112 2
14115 2
14142 2
14150 2
14159 2
14162 2
14163 2
14164 2
14166 2
14167 2
14169 2
14210 2
14215 2
14216 2
14237 2
14241 2
14257 2
14258 2
14259 2
14260 2
14261 2
14262 2
14263 2
14264 2
14290 2
14291 2
14300 2
14303 2
14306 2
14307 2
14309 2
14310 2
14337 2
14338 2
14345 2
14349 2
14350 2
14351 2
14352 2
14354 2
14355 2
14380 2
14381 2
14385 2
14386 2
14391 2
14392 2
14394 2
14397 2
14423 2
14426 2
14427 2
14428 2
14432 2
14433 2
14435 2
14438 2
14464 2
14466 2
14470 2
14472 2
14475 2
14499 2
14500 2
14501 2
14507 2
14508 2
14509 2
14531 2
14533 2
14535 2
14540 2
14561 2
14564 2
14568 2
14569 2
14570 2
14571 2
14572 2
14573 2
14591 2
14596 2
14598 2
14599 2
14604 2
14605 2
14606 2
14607 2
14627 2
14632 2
14633 2
14634 2
14635 2
14640 2
14641 2
14662 2
14663 2
14665 2
14666 2
14667 2
14672 2
14674 2
14703 2
14704 2
14707 2
14762 2
14764 2
14793 2
14795 2
14796 2
14799 2
14802 2
14825 2
14826 2
14827 2
14828 2
14829 2
14830 2
14831 2
14857 2
14881 2
14886 2
14887 2
14913 2
14915 2
14964 2
14966 2
14988 2
15013 2
15014 2
15038 2
15039 2
15040 2
15043 2
15061 2
15064 2
15065 2
15066 2
15067 2
15068 2
15070 2
15092 2
15095 2
15096 2
15097 2
15098 2
15099 2
15100 2
15128 2
15129 2
15131 2
15132 2
15134 2
15135 2
15136 2
15137 2
15168 2
15170 2
15171 2
15173 2
15174 2
15175 2
15176 2
15177 2
15178 2
15216 2
15217 2
15218 2
15219 2
15220 2
15221 2
15222 2
15261 2
15264 2
15266 2
15268 2
15269 2
15270 2
15310 2
15312 2
15313 2
15314 2
15315 2
15316 2
15317 2
15318 2
15364 2
15365 2
15366 2
15367 2
15368 2
15369 2
15370 2
15371 2
15372 2
15426 2
15428 2
15429 2
15430 2
15431 2
