pt_graph shape
8999 1
8999 1
8999 1
8999 1
8999 1
8999 1
8999 1
8999 1
8999 1
9075 1
9075 1
9075 1
9075 1
9075 1
9075 1
9075 1
9075 1
9075 1
9076 1
9076 1
9076 1
9076 1
9076 1
9076 1
9076 1
9076 1
9076 1
9128 1
9128 1
9128 1
9128 1
9128 1
9128 1
9128 1
9128 1
9128 1
9158 1
9158 1
9158 1
9158 1
9158 1
9158 1
9158 1
9158 1
9158 1
9198 1
9198 1
9198 1
9198 1
9198 1
9198 1
9198 1
9198 1
9198 1
9249 1
9249 1
9249 1
9249 1
9249 1
9249 1
9249 1
9249 1
9249 1
9258 1
9258 1
9258 1
9258 1
9258 1
9258 1
9258 1
9258 1
9258 1
9262 1
9262 1
9262 1
9262 1
9262 1
9262 1
9262 1
9262 1
9262 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9300 1
9300 1
9300 1
9300 1
9300 1
9300 1
9300 1
9300 1
9300 1
9339 1
9339 1
9339 1
9339 1
9339 1
9339 1
9339 1
9339 1
9339 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9403 1
9403 1
9403 1
9403 1
9403 1
9403 1
9403 1
9403 1
9403 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9477 1
9477 1
9477 1
9477 1
9477 1
9477 1
9477 1
9477 1
9477 1
9520 1
9520 1
9520 1
9520 1
9520 1
9520 1
9520 1
9520 1
9520 1
9538 1
9538 1
9538 1
9538 1
9538 1
9538 1
9538 1
9538 1
9538 1
9685 1
9685 1
9685 1
9685 1
9685 1
9685 1
9685 1
9685 1
9685 1
9689 1
9689 1
9689 1
9689 1
9689 1
9689 1
9689 1
9689 1
9689 1
9806 1
9806 1
9806 1
9806 1
9806 1
9806 1
9806 1
9806 1
9806 1
9843 1
9843 1
9843 1
9843 1
9843 1
9843 1
9843 1
9843 1
9843 1
9889 1
9889 1
9889 1
9889 1
9889 1
9889 1
9889 1
9889 1
9889 1
9897 1
9897 1
9897 1
9897 1
9897 1
9897 1
9897 1
9897 1
9897 1
9921 1
9921 1
9921 1
9921 1
9921 1
9921 1
9921 1
9921 1
9921 1
9928 1
9928 1
9928 1
9928 1
9928 1
9928 1
9928 1
9928 1
9928 1
9929 1
9929 1
9929 1
9929 1
9929 1
9929 1
9929 1
9929 1
9929 1
10013 1
10013 1
10013 1
10013 1
10013 1
10013 1
10013 1
10013 1
10013 1
10060 1
10060 1
10060 1
10060 1
10060 1
10060 1
10060 1
10060 1
10060 1
10064 1
10064 1
10064 1
10064 1
10064 1
10064 1
10064 1
10064 1
10064 1
10092 1
10092 1
10092 1
10092 1
10092 1
10092 1
10092 1
10092 1
10092 1
10142 1
10142 1
10142 1
10142 1
10142 1
10142 1
10142 1
10142 1
10142 1
10255 1
10255 1
10255 1
10255 1
10255 1
10255 1
10255 1
10255 1
10255 1
10256 1
10256 1
10256 1
10256 1
10256 1
10256 1
10256 1
10256 1
10256 1
10294 1
10294 1
10294 1
10294 1
10294 1
10294 1
10294 1
10294 1
10294 1
10310 1
10310 1
10310 1
10310 1
10310 1
10310 1
10310 1
10310 1
10310 1
10317 1
10317 1
10317 1
10317 1
10317 1
10317 1
10317 1
10317 1
10317 1
10386 1
10386 1
10386 1
10386 1
10386 1
10386 1
10386 1
10386 1
10386 1
10424 1
10424 1
10424 1
10424 1
10424 1
10424 1
10424 1
10424 1
10424 1
10486 1
10486 1
10486 1
10486 1
10486 1
10486 1
10486 1
10486 1
10486 1
10521 1
10521 1
10521 1
10521 1
10521 1
10521 1
10521 1
10521 1
10521 1
10583 1
10583 1
10583 1
10583 1
10583 1
10583 1
10583 1
10583 1
10583 1
10595 1
10595 1
10595 1
10595 1
10595 1
10595 1
10595 1
10595 1
10595 1
10621 1
10621 1
10621 1
10621 1
10621 1
10621 1
10621 1
10621 1
10621 1
10625 1
10625 1
10625 1
10625 1
10625 1
10625 1
10625 1
10625 1
10625 1
10681 1
10681 1
10681 1
10681 1
10681 1
10681 1
10681 1
10681 1
10681 1
10688 1
10688 1
10688 1
10688 1
10688 1
10688 1
10688 1
10688 1
10688 1
10691 1
10691 1
10691 1
10691 1
10691 1
10691 1
10691 1
10691 1
10691 1
10821 1
10821 1
10821 1
10821 1
10821 1
10821 1
10821 1
10821 1
10821 1
10885 1
10885 1
10885 1
10885 1
10885 1
10885 1
10885 1
10885 1
10885 1
10887 1
10887 1
10887 1
10887 1
10887 1
10887 1
10887 1
10887 1
10887 1
10928 1
10928 1
10928 1
10928 1
10928 1
10928 1
10928 1
10928 1
10928 1
11034 1
11034 1
11034 1
11034 1
11034 1
11034 1
11034 1
11034 1
11034 1
11114 1
11114 1
11114 1
11114 1
11114 1
11114 1
11114 1
11114 1
11114 1
11141 1
11141 1
11141 1
11141 1
11141 1
11141 1
11141 1
11141 1
11141 1
11147 1
11147 1
11147 1
11147 1
11147 1
11147 1
11147 1
11147 1
11147 1
11226 1
11226 1
11226 1
11226 1
11226 1
11226 1
11226 1
11226 1
11226 1
11238 1
11238 1
11238 1
11238 1
11238 1
11238 1
11238 1
11238 1
11238 1
11239 1
11239 1
11239 1
11239 1
11239 1
11239 1
11239 1
11239 1
11239 1
11262 1
11262 1
11262 1
11262 1
11262 1
11262 1
11262 1
11262 1
11262 1
11263 1
11263 1
11263 1
11263 1
11263 1
11263 1
11263 1
11263 1
11263 1
11266 1
11266 1
11266 1
11266 1
11266 1
11266 1
11266 1
11266 1
11266 1
11383 1
11383 1
11383 1
11383 1
11383 1
11383 1
11383 1
11383 1
11383 1
11511 1
11511 1
11511 1
11511 1
11511 1
11511 1
11511 1
11511 1
11511 1
11761 1
11761 1
11761 1
11761 1
11761 1
11761 1
11761 1
11761 1
11761 1
11764 1
11764 1
11764 1
11764 1
11764 1
11764 1
11764 1
11764 1
11764 1
11885 1
11885 1
11885 1
11885 1
11885 1
11885 1
11885 1
11885 1
11885 1
11891 1
11891 1
11891 1
11891 1
11891 1
11891 1
11891 1
11891 1
11891 1
11893 1
11893 1
11893 1
11893 1
11893 1
11893 1
11893 1
11893 1
11893 1
11895 1
11895 1
11895 1
11895 1
11895 1
11895 1
11895 1
11895 1
11895 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11902 1
11902 1
11902 1
11902 1
11902 1
11902 1
11902 1
11902 1
11902 1
11990 1
11990 1
11990 1
11990 1
11990 1
11990 1
11990 1
11990 1
11990 1
11998 1
11998 1
11998 1
11998 1
11998 1
11998 1
11998 1
11998 1
11998 1
12025 1
12025 1
12025 1
12025 1
12025 1
12025 1
12025 1
12025 1
12025 1
12135 1
12135 1
12135 1
12135 1
12135 1
12135 1
12135 1
12135 1
12135 1
12141 1
12141 1
12141 1
12141 1
12141 1
12141 1
12141 1
12141 1
12141 1
12143 1
12143 1
12143 1
12143 1
12143 1
12143 1
12143 1
12143 1
12143 1
12238 1
12238 1
12238 1
12238 1
12238 1
12238 1
12238 1
12238 1
12238 1
12266 1
12266 1
12266 1
12266 1
12266 1
12266 1
12266 1
12266 1
12266 1
12271 1
12271 1
12271 1
12271 1
12271 1
12271 1
12271 1
12271 1
12271 1
12393 1
12393 1
12393 1
12393 1
12393 1
12393 1
12393 1
12393 1
12393 1
12497 1
12497 1
12497 1
12497 1
12497 1
12497 1
12497 1
12497 1
12497 1
12529 1
12529 1
12529 1
12529 1
12529 1
12529 1
12529 1
12529 1
12529 1
12531 1
12531 1
12531 1
12531 1
12531 1
12531 1
12531 1
12531 1
12531 1
12537 1
12537 1
12537 1
12537 1
12537 1
12537 1
12537 1
12537 1
12537 1
12635 1
12635 1
12635 1
12635 1
12635 1
12635 1
12635 1
12635 1
12635 1
12651 1
12651 1
12651 1
12651 1
12651 1
12651 1
12651 1
12651 1
12651 1
12655 1
12655 1
12655 1
12655 1
12655 1
12655 1
12655 1
12655 1
12655 1
12657 1
12657 1
12657 1
12657 1
12657 1
12657 1
12657 1
12657 1
12657 1
12762 1
12762 1
12762 1
12762 1
12762 1
12762 1
12762 1
12762 1
12762 1
12877 1
12877 1
12877 1
12877 1
12877 1
12877 1
12877 1
12877 1
12877 1
12983 1
12983 1
12983 1
12983 1
12983 1
12983 1
12983 1
12983 1
12983 1
12989 1
12989 1
12989 1
12989 1
12989 1
12989 1
12989 1
12989 1
12989 1
13098 1
13098 1
13098 1
13098 1
13098 1
13098 1
13098 1
13098 1
13098 1
13114 1
13114 1
13114 1
13114 1
13114 1
13114 1
13114 1
13114 1
13114 1
13116 1
13116 1
13116 1
13116 1
13116 1
13116 1
13116 1
13116 1
13116 1
13123 1
13123 1
13123 1
13123 1
13123 1
13123 1
13123 1
13123 1
13123 1
13205 1
13205 1
13205 1
13205 1
13205 1
13205 1
13205 1
13205 1
13205 1
13293 1
13293 1
13293 1
13293 1
13293 1
13293 1
13293 1
13293 1
13293 1
13376 1
13376 1
13376 1
13376 1
13376 1
13376 1
13376 1
13376 1
13376 1
13470 1
13470 1
13470 1
13470 1
13470 1
13470 1
13470 1
13470 1
13470 1
13477 1
13477 1
13477 1
13477 1
13477 1
13477 1
13477 1
13477 1
13477 1
13486 1
13486 1
13486 1
13486 1
13486 1
13486 1
13486 1
13486 1
13486 1
13536 1
13536 1
13536 1
13536 1
13536 1
13536 1
13536 1
13536 1
13536 1
13558 1
13558 1
13558 1
13558 1
13558 1
13558 1
13558 1
13558 1
13558 1
13606 1
13606 1
13606 1
13606 1
13606 1
13606 1
13606 1
13606 1
13606 1
13619 1
13619 1
13619 1
13619 1
13619 1
13619 1
13619 1
13619 1
13619 1
13655 1
13655 1
13655 1
13655 1
13655 1
13655 1
13655 1
13655 1
13655 1
13662 1
13662 1
13662 1
13662 1
13662 1
13662 1
13662 1
13662 1
13662 1
13675 1
13675 1
13675 1
13675 1
13675 1
13675 1
13675 1
13675 1
13675 1
13709 1
13709 1
13709 1
13709 1
13709 1
13709 1
13709 1
13709 1
13709 1
13715 1
13715 1
13715 1
13715 1
13715 1
13715 1
13715 1
13715 1
13715 1
13722 1
13722 1
13722 1
13722 1
13722 1
13722 1
13722 1
13722 1
13722 1
13731 1
13731 1
13731 1
13731 1
13731 1
13731 1
13731 1
13731 1
13731 1
13834 1
13834 1
13834 1
13834 1
13834 1
13834 1
13834 1
13834 1
13834 1
13837 1
13837 1
13837 1
13837 1
