pt_graph met
10555 3
10556 3
10654 3
10655 3
10656 3
10657 3
10658 3
10659 3
10660 3
10756 3
10757 3
10758 3
10759 3
10761 3
10762 3
10856 3
10954 3
10955 3
10966 3
10968 3
10971 3
11070 3
11071 3
11073 3
11074 3
11075 3
11076 3
11078 3
11079 3
11080 3
11081 3
11082 3
11187 3
11188 3
11190 3
11191 3
11194 3
11195 3
11196 3
11198 3
11199 3
11274 3
11291 3
11311 3
11314 3
11394 3
11396 3
11397 3
11398 3
11399 3
11400 3
11413 3
11414 3
11415 3
11420 3
11526 3
11527 3
11528 3
11529 3
11530 3
11531 3
11645 3
11650 3
11651 3
11652 3
11654 3
11655 3
11656 3
11657 3
11659 3
11660 3
11668 3
11673 3
11770 3
11778 3
11779 3
11780 3
11781 3
11782 3
11783 3
11784 3
11785 3
11786 3
11787 3
11788 3
11789 3
11790 3
11791 3
11808 3
11811 3
11813 3
11814 3
11816 3
11819 3
11821 3
11901 3
11907 3
11908 3
11909 3
11910 3
11911 3
11912 3
11913 3
11914 3
11915 3
11916 3
11917 3
11918 3
11919 3
11920 3
11921 3
11931 3
11932 3
11933 3
11935 3
11936 3
11937 3
11939 3
11940 3
11942 3
11943 3
11944 3
11945 3
11948 3
11960 3
12025 3
12026 3
12027 3
12029 3
12030 3
12031 3
12032 3
12033 3
12034 3
12035 3
12036 3
12038 3
12039 3
12043 3
12044 3
12045 3
12046 3
12055 3
12057 3
12058 3
12062 3
12064 3
12065 3
12069 3
12072 3
12148 3
12149 3
12150 3
12152 3
12154 3
12155 3
12156 3
12157 3
12161 3
12162 3
12165 3
12166 3
12167 3
12168 3
12178 3
12179 3
12180 3
12181 3
12182 3
12187 3
12189 3
12192 3
12193 3
12194 3
12195 3
12198 3
12199 3
12200 3
12201 3
12204 3
12206 3
12274 3
12275 3
12276 3
12277 3
12278 3
12279 3
12287 3
12288 3
12289 3
12290 3
12291 3
12292 3
12293 3
12303 3
12304 3
12305 3
12306 3
12307 3
12308 3
12310 3
12312 3
12314 3
12315 3
12316 3
12318 3
12319 3
12322 3
12327 3
12328 3
12330 3
12332 3
12333 3
12408 3
12417 3
12419 3
12420 3
12421 3
12422 3
12424 3
12435 3
12437 3
12438 3
12440 3
12441 3
12446 3
12448 3
12451 3
12453 3
12462 3
12463 3
12464 3
12465 3
12468 3
12549 3
12550 3
12551 3
12552 3
12553 3
12554 3
12555 3
12556 3
12557 3
12562 3
12563 3
12565 3
12567 3
12572 3
12574 3
12575 3
12576 3
12577 3
12581 3
12583 3
12584 3
12585 3
12586 3
12587 3
12588 3
12593 3
12594 3
12672 3
12673 3
12674 3
12675 3
12676 3
12678 3
12679 3
12680 3
12685 3
12686 3
12687 3
12688 3
12689 3
12690 3
12695 3
12697 3
12706 3
12707 3
12708 3
12710 3
12711 3
12789 3
12790 3
12791 3
12792 3
12793 3
12794 3
12796 3
12806 3
12808 3
12809 3
12811 3
12817 3
12818 3
12819 3
12821 3
12822 3
12823 3
12824 3
12826 3
12827 3
12828 3
12829 3
12830 3
12831 3
12909 3
12927 3
12928 3
12929 3
12930 3
12931 3
12938 3
12939 3
12943 3
12948 3
12949 3
12951 3
12953 3
13038 3
13039 3
13040 3
13041 3
13042 3
13043 3
13044 3
13046 3
13063 3
13064 3
13065 3
13066 3
13068 3
13145 3
13147 3
13148 3
13149 3
13150 3
13151 3
13152 3
13165 3
13166 3
13243 3
13246 3
13247 3
13248 3
13249 3
13250 3
13251 3
13260 3
13261 3
13339 3
13340 3
13341 3
13418 3
19528 3
