pt_graph shape
11280 1
11280 1
11280 1
11280 1
11280 1
11280 1
11280 1
11280 1
11280 1
11410 1
11410 1
11410 1
11410 1
11410 1
11410 1
11410 1
11410 1
11410 1
11409 1
11409 1
11409 1
11409 1
11409 1
11409 1
11409 1
11409 1
11409 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11795 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11794 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11926 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
11925 1
12053 1
12053 1
12053 1
12053 1
12053 1
12053 1
12053 1
12053 1
12053 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12050 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12049 1
12175 1
12175 1
12175 1
12175 1
12175 1
12175 1
12175 1
12175 1
12175 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12174 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12173 1
12333 1
12333 1
12333 1
12333 1
12333 1
12333 1
12333 1
12333 1
12333 1
12301 1
12301 1
12301 1
12301 1
12301 1
12301 1
12301 1
12301 1
12301 1
12299 1
12299 1
12299 1
12299 1
12299 1
12299 1
12299 1
12299 1
12299 1
12298 1
12298 1
12298 1
12298 1
12298 1
12298 1
12298 1
12298 1
12298 1
12464 1
12464 1
12464 1
12464 1
12464 1
12464 1
12464 1
12464 1
12464 1
12462 1
12462 1
12462 1
12462 1
12462 1
12462 1
12462 1
12462 1
12462 1
12460 1
12460 1
12460 1
12460 1
12460 1
12460 1
12460 1
12460 1
12460 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12459 1
12458 1
12458 1
12458 1
12458 1
12458 1
12458 1
12458 1
12458 1
12458 1
12598 1
12598 1
12598 1
12598 1
12598 1
12598 1
12598 1
12598 1
12598 1
12597 1
12597 1
12597 1
12597 1
12597 1
12597 1
