pt_graph freq
9692 1
9693 1
9694 1
9769 1
9770 1
9771 1
9773 1
9851 1
9853 1
9855 1
9856 1
9934 1
9937 1
9939 1
9940 1
10014 1
10021 1
10022 1
10097 1
10098 1
10099 1
10180 1
10264 1
10432 1
10628 1
10649 1
10652 1
10753 1
10853 1
10962 1
11041 1
11043 1
11157 1
11320 1
11405 1
11406 1
11409 1
11441 1
11445 1
11446 1
11448 1
11449 1
11450 1
11452 1
11572 1
11576 1
11578 1
11664 1
11665 1
11702 1
11703 1
11705 1
11707 1
11708 1
11710 1
11794 1
11795 1
11925 1
11926 1
11964 1
12049 1
12050 1
12173 1
12174 1
12175 1
12176 1
12177 1
12209 1
12296 1
12300 1
12302 1
12426 1
12427 1
12432 1
12453 1
12459 1
12460 1
12461 1
12462 1
12464 1
12468 1
12557 1
12558 1
12559 1
12560 1
12563 1
12571 1
12573 1
12591 1
12592 1
12596 1
12598 1
12680 1
12681 1
12682 1
12683 1
12687 1
12688 1
12692 1
12696 1
12697 1
12705 1
12711 1
12712 1
12715 1
12716 1
12717 1
12718 1
12719 1
12720 1
12796 1
12797 1
12798 1
12799 1
12800 1
12804 1
12814 1
12815 1
12816 1
12820 1
12833 1
12834 1
12835 1
12838 1
12912 1
12913 1
12914 1
12916 1
12917 1
12918 1
12919 1
12923 1
12924 1
12935 1
12936 1
12937 1
12938 1
12943 1
12950 1
12952 1
12953 1
12956 1
12957 1
13028 1
13029 1
13030 1
13032 1
13036 1
13040 1
13053 1
13054 1
13059 1
13061 1
13063 1
13067 1
13138 1
13140 1
13156 1
13157 1
13167 1
13170 1
13171 1
13238 1
13239 1
13241 1
13242 1
13243 1
13249 1
13250 1
13251 1
13252 1
13255 1
13256 1
13259 1
13260 1
13261 1
13263 1
13264 1
13265 1
13334 1
13337 1
13338 1
13339 1
13340 1
13342 1
13343 1
13344 1
13347 1
13348 1
13349 1
13351 1
13352 1
13417 1
13418 1
13420 1
13421 1
13422 1
13423 1
13425 1
13426 1
13427 1
13428 1
13429 1
13430 1
13431 1
13432 1
13495 1
13496 1
13497 1
13498 1
