pt_graph cpue_kghour
9855 1.22
9855 0
9855 4.43
9855 2.24
9855 2
9855 3.31
9855 0
9855 0
9855 0
9935 1.22
9935 0
9935 4.43
9935 2.24
9935 2
9935 3.31
9935 0
9935 0
9935 0
10016 1.22
10016 0
10016 4.43
10016 2.24
10016 2
10016 3.31
10016 0
10016 0
10016 0
10180 1.22
10180 0
10180 4.43
10180 2.24
10180 2
10180 3.31
10180 0
10180 0
10180 0
10530 1.22
10530 0
10530 4.43
10530 2.24
10530 2
10530 3.31
10530 0
10530 0
10530 0
10935 1.22
10935 0
10935 4.43
10935 2.24
10935 2
10935 3.31
10935 0
10935 0
10935 0
10934 1.22
10934 0
10934 4.43
10934 2.24
10934 2
10934 3.31
10934 0
10934 0
10934 0
10933 1.22
10933 0
10933 4.43
10933 2.24
10933 2
10933 3.31
10933 0
10933 0
10933 0
11080 1.22
11080 0
11080 4.43
11080 2.24
11080 2
11080 3.31
11080 0
11080 0
11080 0
11198 1.22
11198 0
11198 4.43
11198 2.24
11198 2
11198 3.31
11198 0
11198 0
11198 0
11318 1.22
11318 0
11318 4.43
11318 2.24
11318 2
11318 3.31
11318 0
11318 0
11318 0
11796 1.22
11796 0
11796 4.43
11796 2.24
11796 2
11796 3.31
11796 0
11796 0
11796 0
11964 1.22
11964 0
11964 4.43
11964 2.24
11964 2
11964 3.31
11964 0
11964 0
11964 0
11930 1.22
11930 0
11930 4.43
11930 2.24
11930 2
11930 3.31
11930 0
11930 0
11930 0
12207 1.22
12207 0
12207 4.43
12207 2.24
12207 2
12207 3.31
12207 0
12207 0
12207 0
12327 1.22
12327 0
12327 4.43
12327 2.24
12327 2
12327 3.31
12327 0
12327 0
12327 0
12439 1.22
12439 0
12439 4.43
12439 2.24
12439 2
12439 3.31
12439 0
12439 0
12439 0
12577 1.22
12577 0
12577 4.43
12577 2.24
12577 2
12577 3.31
12577 0
12577 0
12577 0
12558 1.22
12558 0
12558 4.43
12558 2.24
12558 2
12558 3.31
12558 0
12558 0
12558 0
12717 1.22
12717 0
12717 4.43
12717 2.24
12717 2
12717 3.31
12717 0
12717 0
12717 0
12820 1.22
12820 0
12820 4.43
12820 2.24
12820 2
12820 3.31
12820 0
12820 0
12820 0
12799 1.22
12799 0
12799 4.43
12799 2.24
12799 2
12799 3.31
12799 0
12799 0
12799 0
12796 1.22
12796 0
12796 4.43
12796 2.24
12796 2
12796 3.31
12796 0
12796 0
12796 0
12916 1.22
12916 0
12916 4.43
12916 2.24
12916 2
12916 3.31
12916 0
12916 0
12916 0
12914 1.22
12914 0
12914 4.43
12914 2.24
12914 2
12914 3.31
12914 0
12914 0
12914 0
12912 1.22
12912 0
12912 4.43
12912 2.24
12912 2
12912 3.31
12912 0
12912 0
12912 0
12913 1.22
12913 0
12913 4.43
12913 2.24
12913 2
12913 3.31
12913 0
12913 0
12913 0
13038 1.22
13038 0
13038 4.43
13038 2.24
13038 2
13038 3.31
13038 0
13038 0
13038 0
13037 1.22
13037 0
13037 4.43
13037 2.24
13037 2
13037 3.31
13037 0
13037 0
13037 0
13028 1.22
13028 0
13028 4.43
13028 2.24
13028 2
13028 3.31
13028 0
13028 0
13028 0
13164 1.22
13164 0
13164 4.43
13164 2.24
13164 2
13164 3.31
13164 0
13164 0
13164 0
13145 1.22
13145 0
13145 4.43
13145 2.24
13145 2
13145 3.31
13145 0
13145 0
13145 0
13251 1.22
13251 0
13251 4.43
13251 2.24
13251 2
13251 3.31
13251 0
13251 0
13251 0
13243 1.22
13243 0
13243 4.43
13243 2.24
13243 2
13243 3.31
13243 0
13243 0
13243 0
13337 1.22
13337 0
13337 4.43
13337 2.24
13337 2
13337 3.31
13337 0
13337 0
13337 0
13427 1.22
13427 0
13427 4.43
13427 2.24
13427 2
13427 3.31
13427 0
13427 0
13427 0
13424 1.22
13424 0
13424 4.43
13424 2.24
13424 2
13424 3.31
13424 0
13424 0
13424 0
13423 1.22
13423 0
13423 4.43
13423 2.24
13423 2
13423 3.31
13423 0
13423 0
13423 0
