pt_graph met
4021 3
4330 3
4331 3
4382 3
4426 3
4427 3
4468 3
4469 3
4512 3
4555 3
4556 3
4598 3
4599 3
4641 3
4684 3
4722 3
4761 3
4762 3
4843 3
4976 3
4977 3
5389 3
5441 3
5701 3
5754 3
5860 3
5861 3
5914 3
6080 3
6138 3
6196 3
6201 3
6260 3
6261 3
6262 3
6264 3
6320 3
6321 3
6322 3
6376 3
6381 3
6382 3
6383 3
6436 3
6442 3
6443 3
6444 3
6504 3
6505 3
6506 3
6559 3
6560 3
6567 3
6568 3
6619 3
6620 3
6627 3
6628 3
6687 3
6739 3
6747 3
6748 3
6806 3
6807 3
6864 3
6865 3
6921 3
6922 3
6980 3
6981 3
7041 3
7102 3
7164 3
7227 3
7289 3
7290 3
7335 3
7353 3
7354 3
7417 3
7467 3
7468 3
7481 3
7545 3
7598 3
7599 3
7609 3
7665 3
7666 3
7673 3
7674 3
7738 3
7739 3
7802 3
7803 3
7857 3
7866 3
7867 3
7868 3
7926 3
7927 3
7928 3
7929 3
7930 3
7931 3
7990 3
7991 3
7992 3
7993 3
7994 3
8052 3
8055 3
8056 3
8057 3
8119 3
