pt_graph freq
3735 1
3948 1
3949 1
4017 1
4019 1
4084 1
4087 1
4147 1
4212 1
4215 1
4328 1
4419 1
4420 1
4438 1
4505 1
4506 1
4551 1
4564 1
4566 1
4592 1
4593 1
4634 1
4649 1
4679 1
4690 1
4758 1
4759 1
4797 1
4798 1
4808 1
4836 1
4838 1
4839 1
4875 1
4876 1
4877 1
4878 1
4879 1
4887 1
4921 1
4922 1
4923 1
4924 1
4932 1
4972 1
4973 1
4974 1
4975 1
4976 1
4978 1
4983 1
4984 1
5029 1
5030 1
5031 1
5032 1
5033 1
5034 1
5035 1
5039 1
5040 1
5089 1
5090 1
5091 1
5092 1
5093 1
5094 1
5095 1
5096 1
5097 1
5147 1
5148 1
5149 1
5150 1
5151 1
5152 1
19516 1
