pt_graph cpue_kghour
2861 1.18
2861 0
2861 3.96
2861 2.2
2861 2
2861 3.06
2861 0
2861 0
2861 0
3031 1.18
3031 0
3031 3.96
3031 2.2
3031 2
3031 3.06
3031 0
3031 0
3031 0
3028 1.18
3028 0
3028 3.96
3028 2.2
3028 2
3028 3.06
3028 0
3028 0
3028 0
3027 1.18
3027 0
3027 3.96
3027 2.2
3027 2
3027 3.06
3027 0
3027 0
3027 0
3115 1.18
3115 0
3115 3.96
3115 2.2
3115 2
3115 3.06
3115 0
3115 0
3115 0
3198 1.18
3198 0
3198 3.96
3198 2.2
3198 2
3198 3.06
3198 0
3198 0
3198 0
3277 1.18
3277 0
3277 3.96
3277 2.2
3277 2
3277 3.06
3277 0
3277 0
3277 0
3679 1.18
3679 0
3679 3.96
3679 2.2
3679 2
3679 3.06
3679 0
3679 0
3679 0
3652 1.18
3652 0
3652 3.96
3652 2.2
3652 2
3652 3.06
3652 0
3652 0
3652 0
3649 1.18
3649 0
3649 3.96
3649 2.2
3649 2
3649 3.06
3649 0
3649 0
3649 0
3647 1.18
3647 0
3647 3.96
3647 2.2
3647 2
3647 3.06
3647 0
3647 0
3647 0
3904 1.18
3904 0
3904 3.96
3904 2.2
3904 2
3904 3.06
3904 0
3904 0
3904 0
3872 1.18
3872 0
3872 3.96
3872 2.2
3872 2
3872 3.06
3872 0
3872 0
3872 0
4040 1.18
4040 0
4040 3.96
4040 2.2
4040 2
4040 3.06
4040 0
4040 0
4040 0
4021 1.18
4021 0
4021 3.96
4021 2.2
4021 2
4021 3.06
4021 0
4021 0
4021 0
4149 1.18
4149 0
4149 3.96
4149 2.2
4149 2
4149 3.06
4149 0
4149 0
4149 0
4205 1.18
4205 0
4205 3.96
4205 2.2
4205 2
4205 3.06
4205 0
4205 0
4205 0
4292 1.18
4292 0
4292 3.96
4292 2.2
4292 2
4292 3.06
4292 0
4292 0
4292 0
4349 1.18
4349 0
4349 3.96
4349 2.2
4349 2
4349 3.06
4349 0
4349 0
4349 0
4322 1.18
4322 0
4322 3.96
4322 2.2
4322 2
4322 3.06
4322 0
4322 0
4322 0
4373 1.18
4373 0
4373 3.96
4373 2.2
4373 2
4373 3.06
4373 0
4373 0
4373 0
4425 1.18
4425 0
4425 3.96
4425 2.2
4425 2
4425 3.06
4425 0
4425 0
4425 0
4506 1.18
4506 0
4506 3.96
4506 2.2
4506 2
4506 3.06
4506 0
4506 0
4506 0
4554 1.18
4554 0
4554 3.96
4554 2.2
4554 2
4554 3.06
4554 0
4554 0
4554 0
4597 1.18
4597 0
4597 3.96
4597 2.2
4597 2
4597 3.06
4597 0
4597 0
4597 0
4633 1.18
4633 0
4633 3.96
4633 2.2
4633 2
4633 3.06
4633 0
4633 0
4633 0
4631 1.18
4631 0
4631 3.96
4631 2.2
4631 2
4631 3.06
4631 0
4631 0
4631 0
4717 1.18
4717 0
4717 3.96
4717 2.2
4717 2
4717 3.06
4717 0
4717 0
4717 0
4759 1.18
4759 0
4759 3.96
4759 2.2
4759 2
4759 3.06
4759 0
4759 0
4759 0
4757 1.18
4757 0
4757 3.96
4757 2.2
4757 2
4757 3.06
4757 0
4757 0
4757 0
4887 1.18
4887 0
4887 3.96
4887 2.2
4887 2
4887 3.06
4887 0
4887 0
4887 0
4872 1.18
4872 0
4872 3.96
4872 2.2
4872 2
4872 3.06
4872 0
4872 0
4872 0
5031 1.18
5031 0
5031 3.96
5031 2.2
5031 2
5031 3.06
5031 0
5031 0
5031 0
5092 1.18
5092 0
5092 3.96
5092 2.2
5092 2
5092 3.06
5092 0
5092 0
5092 0
5091 1.18
5091 0
5091 3.96
5091 2.2
5091 2
5091 3.06
5091 0
5091 0
5091 0
5090 1.18
5090 0
5090 3.96
5090 2.2
5090 2
5090 3.06
5090 0
5090 0
5090 0
5083 1.18
5083 0
5083 3.96
5083 2.2
5083 2
5083 3.06
5083 0
5083 0
5083 0
5150 1.18
5150 0
5150 3.96
5150 2.2
5150 2
5150 3.06
5150 0
5150 0
5150 0
5149 1.18
5149 0
5149 3.96
5149 2.2
5149 2
5149 3.06
5149 0
5149 0
5149 0
5148 1.18
5148 0
5148 3.96
5148 2.2
5148 2
5148 3.06
5148 0
5148 0
5148 0
5142 1.18
5142 0
5142 3.96
5142 2.2
5142 2
5142 3.06
5142 0
5142 0
5142 0
5200 1.18
5200 0
5200 3.96
5200 2.2
5200 2
5200 3.06
5200 0
5200 0
5200 0
5295 1.18
5295 0
5295 3.96
5295 2.2
5295 2
5295 3.06
5295 0
5295 0
5295 0
5392 1.18
5392 0
5392 3.96
5392 2.2
5392 2
5392 3.06
5392 0
5392 0
5392 0
5495 1.18
5495 0
