pt_graph shape
420 1
420 1
420 1
420 1
420 1
420 1
420 1
420 1
420 1
415 1
415 1
415 1
415 1
415 1
415 1
415 1
415 1
415 1
519 1
519 1
519 1
519 1
519 1
519 1
519 1
519 1
519 1
573 1
573 1
573 1
573 1
573 1
573 1
573 1
573 1
573 1
917 1
917 1
917 1
917 1
917 1
917 1
917 1
917 1
917 1
1291 1
1291 1
1291 1
1291 1
1291 1
1291 1
1291 1
1291 1
1291 1
1422 1
1422 1
1422 1
1422 1
1422 1
1422 1
1422 1
1422 1
1422 1
1421 1
1421 1
1421 1
1421 1
1421 1
1421 1
1421 1
1421 1
1421 1
1487 1
1487 1
1487 1
1487 1
1487 1
1487 1
1487 1
1487 1
1487 1
1556 1
1556 1
1556 1
1556 1
1556 1
1556 1
1556 1
1556 1
1556 1
1958 1
1958 1
1958 1
1958 1
1958 1
1958 1
1958 1
1958 1
1958 1
2130 1
2130 1
2130 1
2130 1
2130 1
2130 1
2130 1
2130 1
2130 1
