pt_graph freq
419 1
420 1
465 1
466 1
467 1
468 1
469 1
520 1
521 1
573 1
628 1
686 1
745 1
802 1
978 1
1101 1
1163 1
1291 1
1356 1
1357 1
1421 1
1422 1
1460 1
1487 1
1488 1
1489 1
1526 1
1527 1
1529 1
1553 1
1554 1
1556 1
1557 1
1595 1
1596 1
1620 1
1622 1
1623 1
1672 1
1673 1
1674 1
1698 1
1699 1
1700 1
1703 1
1753 1
1754 1
1784 1
1838 1
1839 1
1840 1
1843 1
1870 1
1872 1
1925 1
1927 1
1930 1
1956 1
1957 1
1958 1
1959 1
2013 1
2014 1
2017 1
2042 1
2043 1
2044 1
2045 1
2046 1
2126 1
2127 1
2128 1
2129 1
2130 1
2184 1
2208 1
2210 1
2211 1
2265 1
2290 1
2346 1
2370 1
2372 1
2452 1
2453 1
2455 1
2456 1
2516 1
2539 1
2541 1
2542 1
2543 1
2602 1
2603 1
2605 1
2628 1
2629 1
2630 1
2687 1
2713 1
2714 1
2798 1
2799 1
2860 1
2884 1
2885 1
2945 1
2966 1
2967 1
2968 1
2969 1
3047 1
3052 1
3053 1
3054 1
3136 1
3137 1
3200 1
3214 1
3216 1
3217 1
3297 1
3378 1
3379 1
3458 1
3459 1
3460 1
3461 1
3537 1
3538 1
3539 1
3540 1
3616 1
3617 1
3618 1
3694 1
